Rk,Team,BOS,CIN,DET,MNL,NYK,PHW,STL,SYR
1,Boston Celtics,,8-1,9-0,8-1,12-1,8-5,6-3,8-5
2,Cincinnati Royals,1-8,,5-8,5-8,2-7,0-9,4-9,2-7
3,Detroit Pistons,0-9,8-5,,7-6,4-5,2-7,5-8,4-5
4,Minneapolis Lakers,1-8,8-5,6-7,,4-5,2-7,3-10,1-8
5,New York Knicks,1-12,7-2,5-4,5-4,,4-9,3-6,2-11
6,Philadelphia Warriors,5-8,9-0,7-2,7-2,9-4,,4-5,8-5
7,St. Louis Hawks,3-6,9-4,8-5,10-3,6-3,5-4,,5-4
8,Syracuse Nationals,5-8,7-2,5-4,8-1,11-2,5-8,4-5,
