Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
328,Mason Plumlee,34,PHO,C,19,4,16.9,1.8,3.2,.574,0.0,0.0,,1.8,3.2,.574,.574,0.9,1.7,.563,1.5,4.2,5.6,1.6,0.3,0.6,0.9,1.9,4.6,,plumlma01
329,Lonzo Ball,27,CHI,PG,6,0,16.2,1.7,4.3,.385,1.2,3.7,.318,0.5,0.7,.750,.519,0.0,0.0,,0.2,2.3,2.5,3.5,1.2,0.5,0.8,0.8,4.5,,balllo01
330,Luke Kornet,29,BOS,C,17,3,17.5,1.8,2.8,.638,0.0,0.0,,1.8,2.8,.638,.638,1.0,1.1,.895,1.8,2.5,4.4,1.6,0.6,1.2,0.4,1.4,4.5,,kornelu01
331,Ricky Council IV,23,PHI,SG,17,0,11.8,1.5,3.6,.410,0.4,1.6,.259,1.1,2.0,.529,.467,1.1,1.2,.857,0.3,1.2,1.5,0.8,0.2,0.2,0.2,0.7,4.4,,councri01
332,Julian Phillips,21,CHI,SF,21,1,14.3,1.6,3.9,.407,0.7,2.3,.286,0.9,1.5,.594,.494,0.6,1.0,.619,0.8,1.4,2.2,0.5,0.7,0.2,0.4,1.4,4.4,,phillju01
333,Blake Wesley,21,SAS,SG,17,0,11.8,1.7,3.9,.439,0.2,1.2,.200,1.5,2.7,.543,.470,0.7,1.0,.706,0.3,0.6,0.9,1.6,0.5,0.1,1.1,0.6,4.4,,weslebl01
334,Thomas Bryant,27,MIA,C,9,0,12.0,1.3,3.1,.429,0.7,1.9,.353,0.7,1.2,.545,.536,1.0,1.0,1.000,0.7,2.8,3.4,0.4,0.1,0.8,0.2,0.9,4.3,,bryanth01
335,Reggie Jackson,34,PHI,PG,10,0,11.9,1.6,3.9,.410,1.1,2.5,.440,0.5,1.4,.357,.551,0.0,0.0,,0.1,0.8,0.9,2.1,0.6,0.3,0.7,0.8,4.3,,jacksre01
336,Kris Murray,24,POR,SF,19,0,12.9,1.7,3.7,.457,0.5,1.7,.313,1.2,2.0,.579,.529,0.4,1.0,.368,1.1,1.3,2.3,0.6,0.5,0.2,0.6,1.0,4.3,,murrakr01
337,Svi Mykhailiuk,27,UTA,SF,4,1,12.3,1.3,3.8,.333,1.0,3.3,.308,0.3,0.5,.500,.467,0.8,1.0,.750,0.0,0.3,0.3,1.0,1.0,0.3,1.8,1.3,4.3,,mykhasv01
338,Seth Curry,34,CHO,SG,20,4,12.5,1.6,3.6,.437,0.8,1.9,.405,0.8,1.7,.471,.542,0.4,0.5,.778,0.5,0.9,1.3,0.4,0.5,0.2,0.3,1.0,4.2,,curryse01
339,Drew Eubanks,27,UTA,C,18,0,13.6,1.7,3.0,.556,0.1,0.2,.333,1.6,2.8,.569,.565,0.7,1.2,.571,1.2,2.7,3.9,1.2,0.2,0.6,0.9,1.2,4.1,,eubandr01
340,Gary Harris,30,ORL,SG,17,2,16.6,1.4,3.5,.400,1.0,2.7,.370,0.4,0.8,.500,.542,0.2,0.4,.667,0.5,0.8,1.4,0.4,0.5,0.3,0.4,0.8,4.1,,harriga01
341,Tre Jones,25,SAS,PG,8,0,17.5,1.3,3.8,.333,0.4,1.5,.250,0.9,2.3,.389,.383,1.3,1.8,.714,0.6,1.8,2.4,3.3,0.6,0.3,0.6,1.5,4.1,,jonestr01
342,Dalen Terry,22,CHI,SG,22,0,13.2,1.4,3.0,.477,0.4,1.0,.364,1.0,2.0,.535,.538,1.0,1.2,.778,0.7,0.7,1.4,1.0,0.6,0.3,0.9,1.4,4.1,,terryda01
343,Luka Garza,26,MIN,PF,6,0,5.2,1.7,3.0,.556,0.2,0.8,.200,1.5,2.2,.692,.583,0.5,1.0,.500,0.5,0.8,1.3,0.0,0.2,0.0,0.3,0.5,4.0,,garzalu01
344,Aaron Holiday,28,HOU,PG,12,0,8.4,1.3,2.8,.485,0.9,2.1,.440,0.4,0.7,.625,.652,0.4,0.6,.714,0.0,0.9,0.9,1.2,0.1,0.1,0.3,0.4,4.0,,holidaa01
