Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
198,Sam Hauser,27,BOS,PF,18,2,409,12.6,.589,.829,.016,4.1,13.2,8.6,6.8,1.8,0.9,5.8,14.6,0.5,0.5,1.0,.120,0.3,-0.1,0.3,0.2,,hausesa01
199,Brandin Podziemski,21,GSW,SG,19,6,460,10.3,.462,.442,.156,4.4,15.1,9.7,19.4,1.6,1.4,12.7,16.9,0.0,0.6,0.6,.067,-3.3,0.5,-2.9,-0.1,,podzibr01
200,Tristan Da Silva,23,ORL,SF,20,14,475,9.8,.521,.518,.117,3.7,14.4,8.9,10.2,0.8,0.6,6.5,14.1,0.3,0.6,0.9,.093,-1.9,0.0,-1.9,0.0,,dasiltr01
201,Isaiah Stewart,23,DET,C,24,2,522,15.0,.628,.190,.314,12.3,18.9,15.7,11.9,1.1,5.9,19.0,12.1,0.9,0.7,1.6,.143,-1.7,1.8,0.1,0.3,,stewais01
202,Jaime Jaquez Jr.,23,MIA,SF,16,1,351,14.1,.509,.250,.328,7.7,19.8,13.7,16.5,2.4,0.6,14.1,21.2,0.0,0.5,0.5,.072,-2.1,0.4,-1.7,0.0,,jaqueja01
203,Patrick Williams,23,CHI,PF,15,15,433,9.2,.517,.534,.188,4.0,14.3,9.2,10.3,1.6,1.6,16.8,16.7,-0.2,0.2,0.0,-0.003,-2.5,-0.9,-3.4,-0.2,,willipa01
204,Mike Conley,37,MIN,PG,17,17,433,12.9,.528,.693,.220,2.2,11.0,6.6,25.0,3.0,0.6,14.7,16.6,0.4,0.7,1.1,.120,-1.3,1.7,0.4,0.3,,conlemi01
205,Javonte Green,31,NOP,SG,22,12,535,11.1,.544,.449,.331,4.5,11.5,7.8,5.3,2.3,2.8,8.2,11.6,0.4,0.2,0.6,.057,-2.6,0.0,-2.6,-0.1,,greenja02
206,Garrison Mathews,28,ATL,SG,18,1,323,13.4,.682,.832,.305,1.0,5.3,3.1,10.6,1.9,0.9,8.5,14.7,0.7,0.1,0.9,.127,0.3,-0.4,-0.1,0.2,,mathega01
207,Jalen Smith,24,CHI,C,19,0,275,17.6,.583,.558,.248,10.1,27.5,18.9,7.1,1.3,3.4,9.4,21.0,0.4,0.3,0.6,.110,0.5,-1.5,-1.0,0.1,,smithja04
208,Paolo Banchero,22,ORL,PF,5,5,182,25.3,.590,.330,.608,7.3,21.1,13.9,28.5,0.8,2.2,8.2,31.9,0.6,0.3,0.9,.225,5.7,0.7,6.4,0.4,,banchpa01
209,Jordan Hawkins,22,NOP,SG,11,3,302,10.2,.516,.524,.246,1.7,13.9,7.5,7.2,0.5,1.2,9.1,21.5,0.0,0.0,0.0,-0.005,-2.6,-3.6,-6.2,-0.3,,hawkijo01
210,Terance Mann,28,LAC,SG,23,11,484,11.0,.520,.367,.188,5.5,10.9,8.2,11.6,2.2,1.1,8.6,13.5,0.4,0.7,1.1,.106,-2.4,1.3,-1.1,0.1,,mannte01
211,Brandon Clarke,28,MEM,PF,21,12,377,15.0,.599,.144,.171,9.6,17.9,13.9,6.3,2.0,1.7,6.3,13.6,0.7,0.6,1.3,.164,-1.4,0.8,-0.5,0.1,,clarkbr01
212,Kyshawn George,21,WAS,SG,19,6,497,7.3,.446,.651,.174,2.8,14.0,8.4,14.0,1.2,2.4,10.6,15.0,-0.4,0.1,-0.3,-0.027,-4.4,-1.2,-5.6,-0.5,,georgky01
213,Jusuf Nurkić,30,PHO,C,16,16,385,12.0,.530,.420,.464,8.5,36.6,22.9,7.8,1.9,2.4,21.5,19.8,-0.4,0.6,0.3,.034,-4.2,0.3,-4.0,-0.2,,nurkiju01
214,Cason Wallace,21,OKC,SG,21,11,554,11.5,.498,.440,.043,4.9,8.5,6.7,10.4,3.0,2.4,4.6,11.6,0.4,1.1,1.5,.131,-2.2,2.5,0.3,0.3,,wallaca01
215,Keon Ellis,25,SAC,SG,20,4,433,12.2,.664,.708,.260,4.3,6.8,5.6,5.7,2.4,4.2,14.4,12.6,0.5,0.4,1.0,.106,0.0,0.9,0.8,0.3,,elliske01
216,Simone Fontecchio,29,DET,SF,22,0,397,9.1,.546,.672,.241,3.4,15.3,9.5,6.0,0.7,1.2,11.1,15.6,0.1,0.3,0.4,.050,-2.4,-1.0,-3.4,-0.1,,fontesi01
217,Cameron Payne,30,NYK,PG,17,0,303,16.5,.580,.591,.096,2.4,10.0,6.3,25.2,2.0,2.0,7.7,18.8,0.8,0.3,1.0,.161,1.6,0.4,2.0,0.3,,payneca01
218,Andre Drummond,31,PHI,C,17,11,346,16.3,.545,.057,.448,15.3,32.4,23.3,4.7,3.2,2.3,18.7,19.7,0.0,0.6,0.6,.081,-2.6,-0.3,-2.9,-0.1,,drumman01
219,Jonathan Isaac,27,ORL,PF,21,0,355,17.3,.543,.513,.248,11.6,20.9,16.1,2.1,2.5,8.3,6.7,16.4,0.4,0.9,1.3,.171,-0.5,1.8,1.3,0.3,,isaacjo01
220,Zion Williamson,24,NOP,PF,6,6,186,20.0,.521,.058,.577,8.9,19.6,14.0,31.2,1.1,3.5,14.4,34.7,0.0,0.1,0.1,.028,0.5,-1.6,-1.1,0.0,,willizi01
221,Josh Green,24,CHO,SG,19,18,513,8.0,.573,.536,.116,3.5,6.9,5.1,8.7,1.3,1.0,11.3,10.9,0.4,0.2,0.7,.064,-3.6,-0.4,-4.0,-0.3,,greenjo02
222,Ron Holland,19,DET,SF,24,1,378,8.2,.492,.400,.224,4.2,16.9,10.7,6.5,1.6,1.2,14.3,18.2,-0.3,0.4,0.0,.005,-5.3,-0.6,-5.9,-0.4,,hollaro01
223,Aaron Gordon,29,DEN,PF,9,8,269,18.7,.682,.337,.398,7.9,15.2,11.6,15.9,1.1,0.7,11.0,17.3,0.8,0.2,1.0,.180,4.3,-0.5,3.8,0.4,,gordoaa01
224,Jaden Hardy,22,DAL,SG,21,2,315,6.4,.476,.441,.189,1.4,8.4,5.0,11.3,2.1,0.3,18.4,22.6,-0.6,0.3,-0.3,-0.047,-6.1,-1.3,-7.5,-0.4,,hardyja02
225,Haywood Highsmith,28,MIA,SF,18,12,455,11.8,.627,.551,.133,3.3,9.3,6.3,6.8,2.4,3.2,8.8,10.9,0.5,0.6,1.1,.116,-2.0,1.4,-0.6,0.2,,highsha01
226,Zach Collins,27,SAS,C,21,3,305,15.0,.584,.358,.326,8.7,16.3,12.6,18.5,1.6,3.0,15.5,18.2,0.5,0.4,0.8,.131,-1.1,1.5,0.4,0.2,,colliza01
227,Jamison Battle,23,TOR,SF,21,0,294,13.3,.637,.745,.117,4.5,11.7,8.1,8.9,0.5,1.3,5.7,14.8,0.6,0.1,0.7,.119,1.6,-1.2,0.4,0.2,,battlja01
228,Sam Merrill,28,CLE,SG,18,1,355,10.4,.571,.887,.075,1.6,7.8,4.8,11.0,1.3,1.3,6.8,14.3,0.4,0.3,0.7,.098,-0.7,0.0,-0.7,0.1,,merrisa01
229,Devin Vassell,24,SAS,SG,7,0,163,21.3,.686,.506,.165,1.4,5.2,3.3,21.5,1.8,1.7,12.5,27.6,0.4,0.1,0.5,.150,4.2,-0.5,3.8,0.2,,vassede01
230,Isaac Okoro,24,CLE,SG,20,13,427,11.9,.618,.565,.185,5.1,7.5,6.4,10.1,1.7,2.0,6.6,10.8,0.8,0.4,1.2,.140,-0.2,0.8,0.6,0.3,,okorois01
231,Jeremy Sochan,21,SAS,PF,8,7,227,17.6,.552,.135,.344,11.7,19.5,15.7,16.8,1.7,1.6,12.6,24.1,0.2,0.3,0.5,.106,0.9,0.9,1.8,0.2,,sochaje01
232,Max Christie,21,LAL,SG,21,1,385,10.7,.555,.451,.407,4.1,8.9,6.5,8.7,1.8,1.9,10.8,13.7,0.3,0.1,0.4,.054,-2.2,-0.6,-2.7,-0.1,,chrisma02
233,Keon Johnson,22,BRK,SG,21,2,352,7.2,.462,.629,.089,4.3,17.4,10.7,10.1,1.4,2.0,12.9,18.8,-0.5,0.3,-0.2,-0.027,-4.6,-0.7,-5.3,-0.3,,johnske07
234,Jarace Walker,21,IND,PF,23,1,412,9.4,.524,.540,.310,3.1,19.4,11.3,11.0,3.4,1.8,22.5,15.4,-0.4,0.5,0.0,.004,-3.5,0.9,-2.5,-0.1,,walkeja02
235,Jose Alvarado,26,NOP,PG,11,7,282,14.4,.544,.594,.168,2.2,7.3,4.6,26.2,3.0,1.0,11.4,18.4,0.4,0.1,0.5,.079,-0.4,-0.4,-0.9,0.1,,alvarjo01
236,Talen Horton-Tucker,24,CHI,SG,16,0,174,22.1,.695,.425,.370,4.9,13.3,9.1,20.7,0.5,1.5,8.6,22.3,0.7,0.0,0.7,.193,5.5,-1.7,3.8,0.3,,hortota01
237,Brice Sensabaugh,21,UTA,SF,15,0,246,11.2,.600,.645,.129,5.0,10.7,7.9,7.0,1.6,0.4,18.3,20.6,0.0,0.0,0.0,.000,-0.4,-2.0,-2.3,0.0,,sensabr01
238,Malaki Branham,21,SAS,SG,16,0,214,12.7,.588,.427,.225,1.6,12.8,7.3,14.9,1.4,0.8,17.0,23.8,0.0,0.2,0.1,.033,-0.9,-1.0,-1.9,0.0,,branhma01
239,Ryan Dunn,22,PHO,SF,19,9,339,8.5,.502,.645,.073,4.0,12.5,8.3,6.4,1.5,2.7,8.1,16.1,-0.1,0.3,0.2,.023,-3.8,-0.3,-4.1,-0.2,,dunnry01
240,Shake Milton,28,BRK,SG,19,0,311,12.5,.586,.461,.191,3.4,7.9,5.5,19.9,1.3,0.3,10.2,15.5,0.5,0.1,0.6,.090,-0.4,-0.9,-1.2,0.1,,miltosh01
241,Neemias Queta,25,BOS,C,18,5,328,16.2,.667,.027,.293,11.8,20.6,16.2,6.0,0.6,4.9,12.4,12.8,0.8,0.5,1.2,.182,-1.1,0.6,-0.5,0.1,,quetane01
242,Noah Clowney,20,BRK,PF,15,1,248,11.5,.542,.649,.223,6.5,16.3,11.3,6.2,1.0,3.7,9.6,20.6,0.0,0.2,0.2,.043,-2.1,-1.2,-3.4,-0.1,,clownno01
243,Ajay Mitchell,22,OKC,SG,21,0,336,9.9,.546,.305,.137,2.8,7.2,5.0,12.5,2.6,0.3,14.4,14.9,0.1,0.6,0.6,.089,-4.0,1.0,-3.0,-0.1,,mitchaj01
244,Jonathan Mogbo,23,TOR,PF,22,1,342,15.9,.556,.181,.434,16.1,14.6,15.4,14.3,2.7,2.2,16.1,14.3,0.6,0.4,0.9,.129,-0.5,0.8,0.3,0.2,,mogbojo01
245,Marcus Smart,30,MEM,PG,12,5,254,14.0,.515,.606,.309,5.2,6.8,6.0,26.0,3.3,2.2,17.7,20.5,0.2,0.4,0.6,.107,-0.7,1.0,0.3,0.2,,smartma01
246,Malcolm Brogdon,32,WAS,PG,8,7,189,16.6,.604,.218,.333,4.5,14.8,9.6,18.2,1.0,1.0,11.8,22.4,0.3,0.0,0.3,.075,0.5,-0.9,-0.5,0.1,,brogdma01
247,Nikola Jović,21,MIA,PF,14,8,255,14.3,.564,.506,.230,3.4,18.7,11.0,10.7,2.5,0.4,7.7,17.8,0.3,0.4,0.6,.118,-1.3,0.7,-0.6,0.1,,jovicni01
248,Bogdan Bogdanović,32,ATL,SG,9,0,224,10.7,.541,.656,.156,3.3,11.4,7.3,12.1,2.1,1.3,13.5,20.0,0.0,0.2,0.2,.040,-2.5,0.0,-2.5,0.0,,bogdabo01
249,Matas Buzelis,20,CHI,SF,21,0,244,10.1,.534,.528,.213,3.9,17.2,10.6,2.7,1.5,4.9,13.3,19.2,-0.2,0.2,0.0,.002,-4.3,-1.3,-5.6,-0.2,,buzelma01
250,Jamal Shead,22,TOR,PG,22,0,313,6.9,.476,.385,.115,0.7,6.4,3.5,27.1,1.5,0.6,21.0,18.3,-0.2,0.1,-0.1,-0.020,-5.1,-1.7,-6.8,-0.4,,sheadja01
251,Kyle Filipowski,21,UTA,C,14,8,266,13.8,.575,.395,.382,5.5,21.9,13.8,17.2,1.5,0.7,13.6,16.2,0.3,0.1,0.4,.072,-0.7,-0.3,-1.0,0.1,,filipky01
252,Cole Anthony,24,ORL,PG,21,0,208,11.9,.510,.447,.376,3.7,21.3,12.2,26.1,2.1,0.5,18.8,25.4,-0.2,0.4,0.2,.050,-3.6,1.2,-2.4,0.0,,anthoco01
253,Johnny Juzang,23,UTA,SG,17,0,277,9.5,.528,.722,.144,4.1,11.1,7.6,10.6,1.1,1.4,8.6,15.9,0.2,0.0,0.2,.036,-2.3,-1.6,-3.9,-0.1,,juzanjo01
254,Marcus Sasser,24,DET,PG,16,0,211,16.8,.642,.421,.079,3.2,5.7,4.5,17.8,3.0,0.9,13.2,18.4,0.4,0.2,0.6,.133,0.5,0.8,1.3,0.2,,sassema01
255,KJ Martin,24,PHI,PF,17,3,309,13.2,.672,.190,.413,4.6,12.9,8.4,7.5,1.1,4.3,8.6,11.6,0.6,0.2,0.9,.136,-2.0,0.5,-1.5,0.0,,martike04
256,Lindy Waters III,27,GSW,SG,17,8,291,10.7,.542,.689,.056,2.8,12.0,7.3,10.0,1.5,1.6,4.2,13.6,0.3,0.4,0.7,.114,-2.0,0.6,-1.3,0.0,,waterli01
257,Donovan Clingan,20,POR,C,17,6,289,18.6,.578,.118,.289,19.5,23.7,21.5,2.5,1.5,12.3,16.6,14.7,0.3,0.5,0.8,.135,-1.9,1.6,-0.3,0.1,,clingdo01
258,Kevon Looney,28,GSW,C,18,1,279,19.7,.531,.000,.481,23.8,27.5,25.7,14.1,2.7,1.7,13.9,16.0,0.6,0.6,1.2,.209,-0.3,0.5,0.2,0.2,,looneke01
259,Trey Lyles,29,SAC,PF,18,2,353,9.7,.504,.725,.154,5.0,17.9,11.6,6.2,1.4,3.2,9.3,13.2,0.1,0.3,0.4,.056,-1.8,-0.7,-2.5,0.0,,lylestr01
260,Jordan Miller,25,LAC,SF,13,0,196,13.8,.546,.238,.275,7.9,8.6,8.3,12.9,1.3,1.0,12.7,22.6,0.1,0.2,0.3,.081,-1.0,-1.0,-2.0,0.0,,millejo02
261,Quenton Jackson,26,IND,PG,14,7,240,13.8,.603,.315,.233,4.8,8.2,6.5,16.4,1.8,2.0,12.0,16.5,0.4,0.1,0.4,.090,-1.5,-0.9,-2.4,0.0,,jacksqu01
262,Kyle Anderson,31,GSW,SF,19,0,289,14.4,.466,.347,.189,3.8,18.1,10.9,22.6,3.0,3.3,8.9,16.1,0.2,0.6,0.8,.129,-1.0,3.1,2.1,0.3,,anderky01
263,Tidjane Salaün,19,CHO,PF,19,7,374,7.0,.447,.680,.170,5.1,18.9,11.7,7.2,1.5,0.8,13.0,13.9,-0.2,0.3,0.1,.013,-4.5,-0.4,-4.9,-0.3,,salauti01
264,Trendon Watford,24,BRK,PF,10,0,185,11.2,.550,.338,.405,2.5,19.2,10.6,11.2,1.3,2.2,15.5,24.9,-0.1,0.1,0.0,.010,-4.9,-0.6,-5.5,-0.2,,watfotr01
265,Luke Kennard,28,MEM,SG,14,0,276,12.6,.601,.722,.194,2.8,10.0,6.5,18.0,1.3,0.7,11.3,12.8,0.5,0.3,0.8,.139,0.2,0.2,0.5,0.2,,kennalu01
266,Ben Simmons,28,BRK,PG,17,13,408,14.3,.606,.000,.108,5.1,24.3,14.4,40.6,1.8,2.7,35.1,13.1,0.5,0.4,0.9,.105,-1.0,2.8,1.8,0.4,,simmobe01
267,Gary Payton II,32,GSW,PG,20,2,244,15.7,.624,.268,.113,7.0,10.9,8.9,13.3,2.5,2.3,10.8,14.1,0.4,0.4,0.8,.162,-0.8,2.0,1.2,0.2,,paytoga02
268,Julian Phillips,21,CHI,SF,21,1,301,9.1,.515,.605,.259,6.0,10.1,8.1,4.2,2.3,1.1,9.1,13.7,0.0,0.2,0.2,.032,-3.3,-0.4,-3.7,-0.1,,phillju01
269,Dalen Terry,22,CHI,SG,22,0,290,9.7,.592,.338,.415,5.5,5.8,5.7,9.5,2.1,2.1,19.8,13.8,0.1,0.1,0.3,.043,-3.3,-0.3,-3.7,-0.1,,terryda01
270,Pelle Larsson,23,MIA,SG,15,0,245,12.4,.627,.460,.317,4.4,8.8,6.6,13.3,1.8,0.0,10.0,14.2,0.4,0.2,0.6,.124,-2.7,0.5,-2.3,0.0,,larsspe01
271,Nicolas Batum,36,LAC,PF,24,0,423,9.2,.539,.785,.101,5.0,12.0,8.4,11.6,0.9,2.7,10.8,9.4,0.4,0.5,0.9,.103,-1.3,1.0,-0.3,0.2,,batumni01
272,Nick Richards,27,CHO,C,7,6,192,22.8,.680,.021,.894,13.7,26.7,19.9,9.8,1.0,8.3,13.2,16.6,0.6,0.3,0.9,.224,0.7,1.0,1.7,0.2,,richani01
273,Mason Plumlee,34,PHO,C,19,4,321,13.6,.586,.000,.525,9.9,26.7,18.5,13.5,0.9,3.5,18.5,12.7,0.4,0.4,0.8,.114,-2.4,0.8,-1.6,0.0,,plumlma01
274,Josh Okogie,26,PHO,SG,10,1,158,18.5,.636,.328,.345,10.0,14.4,12.3,6.1,2.8,0.6,11.9,21.3,0.3,0.2,0.4,.129,2.4,0.2,2.6,0.2,,okogijo01
275,Wendell Carter Jr.,25,ORL,C,11,11,281,14.8,.581,.400,.467,8.7,26.4,17.2,12.8,1.9,2.4,12.1,12.7,0.4,0.6,1.0,.175,-1.5,2.0,0.5,0.2,,cartewe01
276,Seth Curry,34,CHO,SG,20,4,250,10.0,.560,.521,.127,3.8,7.7,5.7,4.8,1.8,1.2,7.4,13.7,0.2,0.2,0.4,.073,-2.2,-0.1,-2.3,0.0,,curryse01
277,Kristaps Porziņģis,29,BOS,C,4,4,109,26.7,.626,.439,.404,6.1,25.8,15.9,10.7,1.8,3.3,4.3,27.9,0.4,0.2,0.6,.261,4.5,0.1,4.7,0.2,,porzikr01
278,Reed Sheppard,20,HOU,SG,22,0,257,9.0,.467,.539,.022,2.8,6.1,4.4,16.0,2.2,2.1,13.5,16.5,-0.1,0.4,0.3,.065,-3.0,1.5,-1.5,0.0,,sheppre01
279,Jett Howard,21,ORL,SF,22,0,225,8.5,.501,.793,.024,4.9,9.6,7.2,6.0,0.7,2.6,7.8,17.3,0.0,0.3,0.3,.055,-2.1,-0.7,-2.7,0.0,,howarje01
280,Kris Murray,24,POR,SF,19,0,245,10.3,.517,.457,.271,8.5,11.2,9.8,7.1,1.8,1.2,13.3,15.2,0.0,0.1,0.1,.028,-1.9,-0.7,-2.5,0.0,,murrakr01
281,Isaiah Hartenstein,26,OKC,C,6,5,180,19.4,.588,.033,.262,9.3,33.9,21.6,20.0,1.1,5.1,16.0,19.2,0.3,0.5,0.7,.197,-0.3,3.1,2.8,0.2,,harteis01
282,Kyle Lowry,38,PHI,PG,14,10,327,11.0,.553,.766,.297,2.0,9.9,5.7,19.3,2.4,1.5,13.2,11.2,0.3,0.3,0.6,.092,-2.1,1.5,-0.6,0.1,,lowryky01
283,Joel Embiid,30,PHI,C,4,4,125,17.1,.548,.310,.552,4.3,24.9,13.9,18.8,0.8,3.2,15.3,30.0,0.1,0.1,0.2,.068,-0.6,0.0,-0.6,0.0,,embiijo01
284,Eric Gordon,36,PHI,SG,16,1,264,6.6,.444,.545,.286,1.2,5.7,3.3,11.8,1.9,1.9,13.0,16.6,-0.3,0.2,-0.2,-0.028,-4.3,-0.6,-4.9,-0.2,,gordoer01
285,Luke Kornet,29,BOS,C,17,3,298,17.9,.695,.000,.404,11.5,16.2,13.9,12.0,1.6,6.3,11.2,9.1,0.9,0.5,1.4,.230,0.9,2.9,3.8,0.4,,kornelu01
286,Gabe Vincent,28,LAL,PG,22,1,395,3.6,.421,.625,.091,1.7,5.2,3.5,4.9,2.0,0.2,9.0,11.2,-0.4,0.1,-0.3,-0.040,-6.8,-1.0,-7.8,-0.6,,vincega01
287,Ricky Council IV,23,PHI,SG,17,0,200,11.6,.534,.443,.344,2.7,13.1,7.5,10.8,0.7,1.5,5.4,16.3,0.2,0.1,0.3,.075,-1.3,-1.4,-2.7,0.0,,councri01
288,Monte Morris,29,PHO,PG,15,0,166,17.1,.603,.464,.250,2.0,9.8,6.0,20.8,2.1,1.7,7.4,17.9,0.4,0.1,0.5,.146,2.0,1.1,3.1,0.2,,morrimo01
289,David Roddy,23,ATL,PF,13,1,200,13.0,.711,.489,.277,2.1,18.7,10.3,12.6,1.4,1.0,19.8,13.2,0.2,0.2,0.4,.097,-0.6,0.0,-0.5,0.1,,roddyda01
290,Ben Sheppard,23,IND,SG,13,5,272,7.7,.568,.712,.000,2.1,10.2,6.2,8.2,0.9,1.4,7.0,11.3,0.2,0.0,0.2,.041,-2.6,-1.0,-3.5,-0.1,,sheppbe01
291,Pat Connaughton,32,MIL,SG,15,0,255,8.7,.491,.629,.171,3.5,15.2,9.6,13.6,0.6,1.8,12.7,14.9,0.0,0.2,0.2,.034,-2.8,-0.9,-3.7,-0.1,,connapa01
292,Blake Wesley,21,SAS,SG,17,0,200,8.8,.504,.303,.258,2.8,5.3,4.1,20.0,2.0,0.5,19.7,19.8,-0.2,0.1,0.0,-0.010,-4.4,-1.1,-5.5,-0.2,,weslebl01
293,Drew Eubanks,27,UTA,C,18,0,244,13.1,.577,.056,.389,10.1,21.7,16.0,13.3,0.8,4.2,20.2,13.7,0.2,0.1,0.3,.055,-2.0,0.2,-1.8,0.0,,eubandr01
294,Sandro Mamukelashvili,25,SAS,PF,15,0,137,19.3,.744,.674,.152,6.5,27.0,17.0,5.8,1.1,3.3,15.5,18.3,0.2,0.2,0.4,.157,3.3,0.6,3.9,0.2,,mamuksa01
295,Larry Nance Jr.,32,ATL,PF,9,1,140,20.6,.809,.512,.047,7.5,9.2,8.3,11.4,2.3,2.1,8.4,13.8,0.5,0.1,0.6,.198,4.7,0.3,5.1,0.3,,nancela02
296,Andrew Nembhard,25,IND,SG,9,9,220,9.5,.479,.279,.206,0.5,7.9,4.2,25.0,2.0,0.0,13.9,16.9,0.0,0.1,0.1,.012,-3.4,-1.3,-4.6,-0.1,,nembhan01
297,Dean Wade,28,CLE,PF,14,7,304,9.5,.492,.848,.212,3.0,18.2,10.9,8.0,2.2,1.5,5.3,10.8,0.1,0.4,0.6,.091,-1.6,1.4,-0.1,0.1,,wadede01
298,Jaxson Hayes,24,LAL,C,11,1,192,17.1,.759,.000,.639,12.5,17.2,14.8,6.6,1.0,4.4,14.8,12.4,0.6,0.1,0.7,.172,-1.1,-0.5,-1.6,0.0,,hayesja02
299,Oso Ighodaro,22,PHO,PF,15,2,256,12.1,.652,.000,.271,7.1,19.1,13.2,7.2,1.3,2.2,15.7,11.0,0.3,0.2,0.6,.107,-2.5,0.7,-1.9,0.0,,ighodos01
300,Andre Jackson Jr.,23,MIL,SG,20,12,365,4.8,.476,.500,.114,4.6,14.1,9.5,9.5,1.9,1.5,28.3,12.4,-0.5,0.4,-0.1,-0.017,-6.7,0.0,-6.7,-0.4,,jacksan01
301,Gary Harris,30,ORL,SG,17,2,282,7.6,.551,.767,.100,3.5,6.0,4.7,3.5,1.6,1.7,10.1,10.7,0.1,0.4,0.5,.077,-2.9,0.6,-2.3,0.0,,harriga01
302,Kevin Love,36,MIA,PF,10,4,125,22.1,.508,.594,.141,10.4,36.4,23.4,18.0,5.2,1.6,9.3,26.2,0.1,0.4,0.4,.160,2.5,2.4,4.9,0.2,,loveke01
303,Rayan Rupert,20,POR,SG,19,0,205,9.6,.528,.450,.200,8.1,8.3,8.2,5.7,1.6,0.9,14.4,15.3,0.0,0.1,0.1,.022,-2.1,-1.6,-3.7,-0.1,,ruperra01
304,Jaylen Nowell,25,NOP,SG,8,0,168,7.9,.430,.370,.151,3.7,9.5,6.5,16.5,0.3,2.2,9.3,21.6,-0.2,0.0,-0.2,-0.063,-3.1,-2.7,-5.8,-0.2,,nowelja01
305,Robert Williams,27,POR,C,7,1,131,28.1,.766,.053,.342,11.9,23.5,17.5,12.5,2.9,9.5,13.8,16.0,0.5,0.2,0.7,.264,4.9,3.6,8.5,0.4,,williro04
306,Jared Butler,24,WAS,SG,14,0,118,18.2,.539,.154,.404,1.8,5.5,3.6,41.7,2.4,1.5,10.3,24.1,0.2,0.0,0.2,.085,1.3,-0.2,1.1,0.1,,butleja02
307,Jamal Cain,25,NOP,SF,13,0,191,12.7,.588,.500,.280,6.0,14.9,10.2,6.9,1.8,2.9,11.1,14.0,0.2,0.1,0.3,.069,-2.0,-0.1,-2.1,0.0,,cainja01
308,Dejounte Murray,28,NOP,PG,5,5,156,8.5,.371,.346,.222,1.3,21.1,10.8,31.9,3.8,1.2,16.8,29.0,-0.6,0.2,-0.4,-0.127,-6.4,-0.2,-6.6,-0.2,,murrade01
309,Alex Caruso,30,OKC,SG,13,0,256,10.8,.427,.534,.096,3.7,11.9,7.8,13.9,4.5,3.6,10.6,14.2,-0.1,0.6,0.5,.097,-4.2,4.2,0.0,0.1,,carusal01
310,Moussa Diabaté,23,CHO,PF,21,4,423,13.7,.528,.000,.273,19.4,24.2,21.7,5.2,1.8,4.7,24.5,8.1,0.4,0.6,0.9,.108,-2.5,0.3,-2.2,0.0,,diabamo01
311,Tyrese Martin,25,BRK,SG,9,2,132,16.7,.703,.750,.114,3.5,14.8,9.0,12.0,1.1,1.5,8.0,17.0,0.3,0.1,0.4,.147,2.9,-1.2,1.8,0.1,,martity01
312,Antonio Reeves,24,NOP,SG,12,0,130,11.1,.499,.492,.115,3.2,10.5,6.7,6.3,1.5,0.0,5.9,22.2,0.0,0.0,0.0,-0.004,-2.2,-2.8,-5.0,-0.1,,reevean01
313,Alec Burks,33,MIA,SG,12,0,181,14.4,.636,.696,.174,2.4,11.4,6.9,12.7,1.6,1.6,3.9,12.4,0.4,0.2,0.6,.152,0.9,1.6,2.5,0.2,,burksal01
314,De'Anthony Melton,26,GSW,SG,6,2,121,13.4,.539,.648,.148,5.0,11.9,8.4,20.1,2.8,1.6,14.8,23.0,0.0,0.2,0.2,.090,-1.4,0.6,-0.8,0.0,,meltode01
315,Daniel Theis,32,NOP,C,17,7,243,9.9,.497,.321,.179,5.1,21.5,12.9,12.3,1.0,4.2,15.4,12.4,0.0,0.1,0.1,.027,-4.7,-0.2,-4.9,-0.2,,theisda01
316,Ousmane Dieng,21,OKC,SF,16,0,186,10.6,.439,.610,.186,5.1,18.7,11.9,8.9,2.8,2.2,5.9,15.5,-0.1,0.4,0.4,.096,-3.4,1.8,-1.6,0.0,,diengou01
317,Keaton Wallace,25,ATL,PG,12,1,194,8.4,.493,.473,.073,1.1,8.8,4.9,14.6,2.4,3.0,17.5,14.3,-0.1,0.2,0.0,.011,-4.4,0.7,-3.7,-0.1,,wallake01
318,Bones Hyland,24,LAC,PG,9,0,76,14.6,.536,.674,.261,2.9,11.8,7.3,12.8,3.9,2.7,16.3,34.7,-0.1,0.1,0.0,.028,0.2,1.1,1.4,0.1,,hylanbo01
319,Isaac Jones,24,SAC,PF,12,0,113,15.0,.692,.059,.382,7.3,13.0,10.2,2.7,0.4,4.5,15.0,18.0,0.2,0.1,0.2,.100,-2.7,-1.4,-4.1,-0.1,,jonesis01
320,Jock Landale,29,HOU,C,14,0,156,14.4,.497,.128,.404,13.1,17.4,15.2,12.4,0.9,3.5,11.2,16.3,0.1,0.3,0.4,.134,-1.3,0.7,-0.6,0.1,,landajo01
321,Vasilije Micić,31,CHO,PG,10,3,179,4.8,.401,.431,.123,4.7,13.3,8.9,18.1,1.4,0.0,19.9,20.2,-0.4,0.1,-0.3,-0.077,-6.6,-1.8,-8.4,-0.3,,micicva01
322,Aaron Nesmith,25,IND,SF,6,6,136,12.1,.659,.306,.361,3.4,17.0,10.2,6.1,1.4,1.4,10.7,14.9,0.2,0.1,0.3,.100,-2.2,-0.4,-2.5,0.0,,nesmiaa01
