Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
118,Naji Marshall,27,DAL,SF,20,7,482,15.9,.621,.298,.199,5.3,9.6,7.5,14.0,1.9,0.4,13.5,18.8,0.8,0.5,1.3,.128,0.6,0.0,0.6,0.3,,marshna01
119,T.J. McConnell,32,IND,PG,22,0,432,19.0,.581,.043,.123,3.2,12.3,7.8,31.9,3.2,1.1,15.4,23.3,0.5,0.3,0.8,.090,0.4,0.2,0.6,0.3,,mccontj01
120,Klay Thompson,34,DAL,SF,18,18,505,11.1,.516,.650,.084,2.6,10.6,6.8,9.0,1.1,1.2,7.5,20.1,0.2,0.4,0.6,.057,0.3,-1.2,-0.9,0.1,,thompkl01
121,Jonas Valančiūnas,32,WAS,C,19,4,379,22.9,.641,.051,.312,12.3,29.2,20.7,18.2,1.0,3.1,14.8,23.0,0.9,0.2,1.1,.141,2.7,-0.6,2.1,0.4,,valanjo01
122,Brandon Boston Jr.,23,NOP,SG,19,10,541,13.5,.524,.389,.222,2.9,12.4,7.4,19.9,2.7,0.7,12.5,19.4,0.2,0.3,0.5,.044,-2.0,0.0,-2.0,0.0,,bostobr01
123,Terry Rozier,30,MIA,PG,18,12,528,11.3,.542,.523,.179,2.0,10.9,6.5,16.3,1.0,1.1,12.8,20.0,0.1,0.4,0.5,.050,-2.0,-1.4,-3.5,-0.2,,roziete01
124,De'Andre Hunter,27,ATL,SF,12,2,330,17.4,.641,.470,.358,2.2,13.9,8.0,6.8,1.4,0.6,7.9,23.2,0.7,0.2,0.9,.138,1.3,-1.2,0.2,0.2,,huntede01
125,Russell Westbrook,36,DEN,PG,19,3,466,14.9,.498,.375,.380,3.6,13.7,8.7,33.4,2.8,2.1,16.7,24.5,0.1,0.5,0.6,.060,-0.6,0.3,-0.3,0.2,,westbru01
126,Deandre Ayton,26,POR,C,15,15,461,17.0,.586,.094,.105,9.3,26.2,17.4,7.3,1.4,2.1,12.5,19.4,0.4,0.5,0.9,.092,-0.4,-1.4,-1.9,0.0,,aytonde01
127,Rudy Gobert,32,MIN,C,21,21,715,16.5,.706,.000,.563,11.8,25.4,18.7,8.8,1.0,4.0,17.8,11.8,1.7,1.3,2.9,.195,-0.6,1.6,1.0,0.5,,goberru01
128,Jrue Holiday,34,BOS,PG,19,19,592,12.8,.574,.536,.184,3.7,11.4,7.5,17.6,1.2,0.9,13.8,16.4,0.8,0.6,1.4,.111,-0.5,-0.1,-0.6,0.2,,holidjr01
129,Bilal Coulibaly,20,WAS,SF,18,18,628,11.5,.562,.327,.339,4.7,12.0,8.3,11.9,1.8,1.6,14.4,15.2,0.3,0.1,0.4,.029,-2.2,-0.8,-3.1,-0.2,,coulibi01
