Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
92,Don Adams,25,ATL,SF,4,,19.0,2.0,9.5,.211,1.8,2.0,.875,5.5,1.3,2.8,5.8,,adamsdo01
92,Don Adams,25,DET,SF,70,,25.7,3.7,9.1,.402,2.0,2.5,.784,6.0,1.6,3.1,9.3,,adamsdo01
93,Matt Guokas,28,KCO,SG,79,,36.0,4.1,7.2,.570,0.9,1.1,.822,3.1,5.1,2.4,9.1,,guokama02
94,Curtis Perry,24,MIL,PF,67,,31.3,4.0,8.6,.461,1.2,1.9,.659,9.6,1.8,3.7,9.1,,perrycu01
95,Keith Erickson,28,LAL,SF,76,,25.3,3.9,9.2,.430,1.2,1.4,.809,4.4,3.2,2.5,9.0,,erickke01
96,Charlie Davis,23,2TM,SG,75,,18.9,3.5,8.4,.417,1.7,2.2,.774,1.5,2.5,2.6,8.7,,davisch01
96,Charlie Davis,23,CLE,SG,6,,14.3,3.3,6.8,.488,0.7,1.2,.571,0.8,1.7,3.3,7.3,,davisch01
96,Charlie Davis,23,POR,SG,69,,19.3,3.5,8.6,.412,1.8,2.3,.783,1.6,2.5,2.5,8.9,,davisch01
97,Zaid Abdul-Aziz,26,HOU,C,48,,18.8,3.1,7.8,.397,2.5,3.4,.735,6.3,1.1,2.3,8.7,,abdulza01
98,Fred Foster,26,DET,SF,63,,23.2,3.9,10.0,.388,1.0,1.4,.701,2.9,1.5,2.4,8.7,,fostefr01
99,Bob Weiss,30,CHI,PG,82,19,25.4,3.4,8.0,.426,1.9,2.3,.841,1.8,3.6,1.8,8.7,,weissbo01
100,Clifford Ray,24,CHI,C,73,50,27.5,3.5,7.1,.492,1.6,2.6,.619,10.9,3.7,3.2,8.6,,raycl01
101,Don Kojis,34,KCO,SF,77,,16.1,3.6,7.5,.480,1.4,1.8,.774,2.6,1.0,1.7,8.5,,kojisdo01
102,Rich Rinaldi,23,BAL,SG,33,,19.6,3.5,8.6,.408,1.5,1.9,.750,2.1,1.5,1.2,8.5,,rinalri01
103,Ron Riley,22,KCO,PF,74,,22.1,3.7,8.6,.431,1.1,1.6,.681,6.9,1.0,3.1,8.4,,rileyro01
104,Willie Norwood,25,DET,SF,79,,16.2,3.2,6.4,.494,1.9,2.8,.684,4.1,0.7,2.3,8.3,,norwowi01
105,Bingo Smith,26,CLE,SG,73,,14.6,3.7,8.3,.444,0.9,1.1,.790,2.7,1.5,1.1,8.2,,smithbi02
106,Phil Jackson,27,NYK,PF,80,4,17.4,3.1,6.9,.443,1.9,2.4,.790,4.3,1.2,2.7,8.1,,jacksph01
