Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
62,Shane Battier,23,MEM,SF,78,78,39.7,5.3,12.3,.429,1.3,3.5,.373,4.0,8.8,.451,.482,2.5,3.6,.700,2.3,3.1,5.4,2.8,1.6,1.0,2.0,2.8,14.4,,battish01
63,Jason Richardson,21,GSW,SG,80,75,32.9,5.8,13.6,.426,1.0,3.1,.333,4.8,10.6,.453,.463,1.8,2.6,.671,1.6,2.7,4.3,3.0,1.3,0.4,2.0,2.4,14.4,ROY-3,richaja01
64,David Wesley,31,CHH,SG,67,63,37.1,5.4,13.6,.400,1.3,3.8,.332,4.2,9.8,.427,.447,2.1,2.8,.734,0.7,1.5,2.1,3.5,1.1,0.2,1.8,2.2,14.2,,wesleda01
65,Vin Baker,30,SEA,C,55,41,31.1,5.7,11.8,.485,0.0,0.1,.125,5.7,11.7,.490,.486,2.6,4.1,.633,3.1,3.3,6.4,1.3,0.4,0.7,2.3,3.6,14.1,,bakervi01
66,Kenny Thomas,24,HOU,PF,72,71,34.5,5.5,11.5,.478,0.0,0.2,.000,5.5,11.3,.487,.478,3.1,4.7,.664,2.2,5.0,7.2,1.9,1.2,0.9,2.0,2.7,14.1,,thomake01
67,Morris Peterson,24,TOR,SF,63,56,31.6,5.3,12.2,.438,1.3,3.7,.364,4.0,8.5,.469,.492,2.0,2.7,.751,1.4,2.1,3.5,2.4,1.2,0.2,1.4,2.8,14.0,,petermo01
68,Ron Mercer,25,2TM,SG,53,41,32.4,5.9,14.8,.397,0.3,1.2,.290,5.5,13.6,.406,.408,1.8,2.2,.798,0.9,2.4,3.4,2.4,0.6,0.2,1.7,2.0,13.9,,mercero01
68,Ron Mercer,25,CHI,SG,40,40,37.6,7.2,17.9,.399,0.4,1.4,.298,6.7,16.5,.408,.411,2.1,2.7,.778,1.1,2.8,3.9,3.0,0.8,0.3,2.0,2.2,16.8,,mercero01
68,Ron Mercer,25,IND,SG,13,1,16.4,1.9,5.2,.373,0.1,0.4,.200,1.8,4.8,.387,.381,0.8,0.8,1.000,0.5,1.3,1.8,0.8,0.2,0.2,0.7,1.7,4.8,,mercero01
69,Elden Campbell,33,CHH,PF,77,74,28.0,5.0,10.3,.484,0.0,0.0,.000,5.0,10.3,.485,.484,4.0,5.0,.797,1.7,5.2,6.9,1.3,0.8,1.8,1.8,3.4,13.9,,campbel01
70,Kurt Thomas,29,NYK,C,82,82,33.8,5.6,11.4,.494,0.0,0.1,.167,5.6,11.4,.496,.494,2.6,3.2,.815,2.6,6.5,9.1,1.1,0.9,1.0,1.9,4.2,13.9,,thomaku01
71,Mike Bibby,23,SAC,PG,80,80,33.2,5.6,12.3,.453,0.6,1.7,.370,4.9,10.6,.466,.479,1.9,2.4,.803,0.5,2.3,2.8,5.0,1.1,0.2,1.7,1.7,13.7,MVP-16,bibbymi01
72,Brad Miller,25,2TM,C,76,75,29.8,4.8,9.6,.499,0.0,0.1,.429,4.8,9.6,.500,.501,3.9,5.0,.775,3.3,4.9,8.2,2.0,1.0,0.5,1.5,3.2,13.6,,millebr01
72,Brad Miller,25,CHI,C,48,47,29.0,4.3,9.4,.460,0.0,0.1,.500,4.3,9.3,.460,.462,4.0,5.3,.751,3.7,4.7,8.4,2.1,1.1,0.6,1.5,3.3,12.7,,millebr01
72,Brad Miller,25,IND,C,28,28,31.1,5.6,10.0,.562,0.0,0.1,.333,5.6,9.9,.565,.564,3.8,4.6,.823,2.7,5.1,7.9,1.8,0.9,0.4,1.5,3.1,15.1,,millebr01
73,Corliss Williamson,28,DET,SF,78,7,21.8,5.3,10.3,.510,0.0,0.1,.200,5.3,10.3,.512,.511,3.1,3.8,.805,1.5,2.6,4.1,1.2,0.6,0.3,1.8,2.9,13.6,6MOY-1,willico02
74,Raef LaFrentz,25,2TM,C,78,76,31.5,5.4,11.8,.458,1.3,3.4,.388,4.1,8.4,.486,.514,1.3,1.9,.695,2.3,5.2,7.4,1.1,0.7,2.7,1.2,3.6,13.5,,lafrera01
74,Raef LaFrentz,25,DEN,C,51,51,32.7,6.0,12.9,.466,1.5,3.4,.434,4.5,9.5,.477,.523,1.4,2.1,.667,2.3,5.1,7.4,1.2,0.6,3.0,1.2,3.4,14.9,,lafrera01
74,Raef LaFrentz,25,DAL,C,27,25,29.1,4.2,9.7,.437,1.1,3.5,.305,3.1,6.1,.512,.492,1.3,1.7,.761,2.2,5.2,7.4,1.1,0.9,2.2,1.3,4.0,10.8,,lafrera01
75,Damon Stoudamire,28,POR,PG,75,71,37.3,4.9,12.2,.402,1.4,3.9,.353,3.5,8.3,.425,.459,2.3,2.6,.888,1.0,2.9,3.9,6.5,0.9,0.1,2.0,2.0,13.5,,stoudda01
76,Kerry Kittles,27,NJN,SG,82,82,31.7,5.3,11.5,.466,1.2,3.0,.405,4.1,8.5,.487,.518,1.6,2.1,.744,0.8,2.5,3.4,2.6,1.6,0.4,1.3,1.3,13.4,,kittlke01
77,John Stockton,39,UTA,PG,82,82,31.3,4.9,9.5,.517,0.3,1.0,.321,4.6,8.5,.539,.534,3.4,3.9,.857,0.7,2.5,3.2,8.2,1.9,0.3,2.5,2.5,13.4,,stockjo01
78,Quentin Richardson,21,LAC,SG,81,0,26.6,4.9,11.4,.432,1.6,4.3,.381,3.3,7.1,.463,.504,1.8,2.3,.765,1.4,2.7,4.1,1.6,1.0,0.3,1.3,1.8,13.3,6MOY-3,richaqu01
79,Metta World Peace,22,2TM,SF,55,50,29.9,4.9,11.6,.423,1.0,3.1,.312,3.9,8.5,.464,.465,2.5,3.7,.667,1.3,3.6,4.9,2.3,2.6,0.7,2.1,3.9,13.2,,artesro01
79,Metta World Peace,22,CHI,SF,27,26,30.5,5.6,13.0,.433,1.3,3.4,.396,4.3,9.6,.446,.484,3.0,4.8,.628,1.5,3.4,4.9,2.9,2.8,0.9,2.6,4.0,15.6,,artesro01
79,Metta World Peace,22,IND,SF,28,24,29.3,4.2,10.2,.411,0.6,2.8,.215,3.6,7.4,.485,.440,2.0,2.7,.733,1.2,3.8,5.0,1.8,2.4,0.6,1.8,3.9,10.9,,artesro01
80,Al Harrington,21,IND,PF,44,1,29.8,5.2,11.0,.475,0.0,0.1,.333,5.2,10.9,.476,.476,2.6,3.3,.799,2.2,4.1,6.3,1.2,0.9,0.5,1.8,3.8,13.1,,harrial01
81,Lamar Odom,22,LAC,SF,29,25,34.4,5.2,12.4,.419,0.6,2.9,.190,4.7,9.5,.489,.442,2.1,3.2,.656,1.1,5.0,6.1,5.9,0.8,1.2,3.3,3.1,13.1,,odomla01
82,Chauncey Billups,25,MIN,PG,82,54,28.7,4.2,10.0,.423,1.5,3.8,.394,2.7,6.2,.441,.498,2.5,2.9,.885,0.4,2.3,2.8,5.5,0.8,0.2,1.7,2.1,12.5,,billuch01
83,Darrell Armstrong,33,ORL,PG,82,79,33.3,4.2,10.1,.419,1.7,4.9,.349,2.5,5.2,.484,.503,2.2,2.5,.888,1.0,2.9,3.9,5.5,1.9,0.1,2.1,2.0,12.4,,armstda01
84,Terrell Brandon,31,MIN,PG,32,28,30.1,4.8,11.4,.425,0.1,0.7,.174,4.7,10.7,.442,.430,2.6,2.6,.988,0.5,2.4,2.9,8.3,1.6,0.2,1.3,1.5,12.4,,brandte01
85,Desmond Mason,24,SEA,SF,75,20,32.3,4.8,10.3,.464,0.2,0.8,.271,4.5,9.5,.480,.475,2.7,3.2,.848,1.2,3.5,4.7,1.4,0.9,0.4,1.4,2.3,12.4,6MOY-5,masonde01
86,Marcus Fizer,23,CHI,PF,76,20,25.8,4.9,11.2,.438,0.1,0.5,.171,4.8,10.6,.451,.442,2.5,3.7,.668,1.7,3.9,5.6,1.6,0.6,0.3,1.7,2.4,12.3,,fizerma01
87,Larry Hughes,23,GSW,SG,73,56,28.1,4.7,11.1,.423,0.2,1.3,.194,4.5,9.8,.453,.435,2.6,3.5,.737,1.1,2.2,3.4,4.3,1.5,0.3,2.3,2.1,12.3,,hughela01
88,Aaron McKie,29,PHI,SG,48,16,30.6,4.6,10.2,.449,1.1,2.7,.398,3.5,7.5,.467,.501,2.0,2.5,.787,0.5,3.5,4.0,3.7,1.2,0.3,1.9,1.5,12.2,,mckieaa01
89,David Robinson,36,SAS,C,78,78,29.5,4.4,8.6,.507,0.0,0.0,,4.4,8.6,.507,.507,3.4,5.1,.681,2.4,5.8,8.3,1.2,1.1,1.8,1.3,2.5,12.2,,robinda01
90,Chucky Atkins,27,DET,PG,79,62,28.9,4.7,10.0,.466,1.7,4.3,.411,2.9,5.7,.507,.553,1.1,1.5,.692,0.4,1.6,2.0,3.3,0.9,0.1,1.6,2.2,12.1,,atkinch01
91,Eric Snow,28,PHI,PG,61,61,36.5,4.5,10.2,.442,0.0,0.4,.111,4.5,9.8,.457,.445,3.0,3.7,.806,0.5,3.0,3.5,6.6,1.6,0.1,2.3,2.7,12.1,,snower01
92,Doug Christie,31,SAC,SG,81,81,34.5,4.2,9.1,.460,1.1,3.2,.352,3.1,5.9,.518,.521,2.5,3.0,.851,0.9,3.7,4.6,4.2,2.0,0.3,2.0,2.6,12.0,,chrisdo01
93,Anfernee Hardaway,30,PHO,SG,80,55,30.8,4.9,11.6,.418,0.3,1.0,.277,4.6,10.6,.432,.430,2.0,2.4,.810,1.2,3.2,4.4,4.1,1.5,0.4,2.4,2.3,12.0,,hardaan01
94,Lorenzen Wright,26,MEM,C,43,33,29.1,5.2,11.3,.459,0.0,0.0,.000,5.2,11.3,.461,.459,1.6,2.9,.569,3.0,6.4,9.4,1.0,0.7,0.5,1.7,2.9,12.0,,wrighlo02
95,Rodney Rogers,30,2TM,SF,77,8,24.4,4.6,9.8,.471,1.1,3.1,.374,3.5,6.8,.514,.529,1.5,1.9,.785,1.7,2.8,4.5,1.5,0.9,0.4,1.4,2.9,11.9,,rogerro01
95,Rodney Rogers,30,PHO,SF,50,7,25.1,5.0,10.7,.466,1.0,2.8,.350,4.0,7.9,.508,.512,1.6,2.0,.828,1.9,2.9,4.8,1.4,1.0,0.3,1.3,3.0,12.6,,rogerro01
95,Rodney Rogers,30,BOS,SF,27,1,23.2,4.0,8.2,.482,1.4,3.5,.411,2.5,4.7,.535,.570,1.3,1.9,.700,1.3,2.7,4.0,1.5,0.6,0.4,1.6,2.9,10.7,,rogerro01
96,Matt Harpring,25,PHI,SF,81,81,31.4,4.8,10.3,.461,0.3,0.9,.304,4.5,9.5,.475,.473,2.0,2.7,.743,2.5,4.6,7.1,1.3,0.9,0.1,1.6,2.5,11.8,,harprma01
97,Stromile Swift,22,MEM,PF,68,14,26.5,4.3,9.0,.480,0.0,0.0,.000,4.3,8.9,.482,.480,3.2,4.5,.711,2.4,4.0,6.3,0.7,0.8,1.7,1.8,2.6,11.8,,swiftst01
98,Alvin Williams,27,TOR,PG,82,82,35.7,4.9,11.8,.415,0.8,2.4,.321,4.2,9.5,.438,.447,1.3,1.7,.736,0.7,2.7,3.4,5.7,1.6,0.3,1.8,2.3,11.8,,willial02
99,Ricky Davis,22,CLE,SF,82,8,23.8,4.6,9.5,.481,0.1,0.4,.314,4.5,9.1,.489,.488,2.4,3.0,.790,0.8,2.2,3.0,2.2,0.8,0.3,1.8,1.8,11.7,6MOY-8,davisri01
