Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Allen Iverson,26,PHI,SG,60,59,43.7,11.1,27.8,.398,1.3,4.5,.291,9.8,23.4,.419,.422,7.9,9.8,.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,MVP-9ASNBA2,iversal01
2,Shaquille O'Neal,29,LAL,C,67,66,36.1,10.6,18.3,.579,0.0,0.0,.000,10.6,18.3,.580,.579,5.9,10.7,.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,MVP-3ASNBA1,onealsh01
3,Paul Pierce,24,BOS,SG,82,82,40.3,8.6,19.5,.442,2.6,6.3,.404,6.1,13.1,.461,.508,6.3,7.8,.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,MVP-11ASNBA3,piercpa01
4,Tracy McGrady,22,ORL,SG,76,76,38.3,9.4,20.9,.451,1.4,3.7,.364,8.1,17.1,.470,.483,5.5,7.3,.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,MVP-4ASNBA1,mcgratr01
5,Tim Duncan,25,SAS,PF,82,82,40.6,9.3,18.3,.508,0.0,0.1,.100,9.3,18.2,.511,.508,6.8,8.5,.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,MVP-1ASNBA1,duncati01
6,Kobe Bryant,23,LAL,SG,80,80,38.3,9.4,20.0,.469,0.4,1.7,.250,9.0,18.3,.489,.479,6.1,7.4,.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,MVP-5DPOY-3ASNBA1,bryanko01
7,Vince Carter,25,TOR,SG,60,60,39.8,9.3,21.8,.428,2.0,5.2,.387,7.3,16.6,.441,.474,4.1,5.1,.798,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2,24.7,AS,cartevi01
8,Chris Webber,28,SAC,PF,54,54,38.4,9.9,19.9,.495,0.1,0.4,.263,9.8,19.6,.499,.497,4.7,6.3,.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5,MVP-7ASNBA2,webbech01
9,Dirk Nowitzki,23,DAL,C,76,76,38.0,7.9,16.6,.477,1.8,4.6,.397,6.1,11.9,.508,.532,5.8,6.8,.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,MVP-8ASNBA2,nowitdi01
10,Michael Jordan,38,WAS,SF,60,53,34.9,9.2,22.1,.416,0.2,0.9,.189,9.0,21.2,.426,.420,4.4,5.6,.790,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,MVP-13AS,jordami01
11,Karl Malone,38,UTA,PF,80,80,38.0,7.9,17.5,.454,0.1,0.3,.360,7.8,17.2,.456,.457,6.4,8.0,.797,1.8,6.8,8.6,4.3,1.9,0.7,3.3,2.9,22.4,AS,malonka01
12,Gary Payton,33,SEA,PG,82,82,40.3,9.0,19.2,.467,0.9,2.9,.314,8.1,16.4,.494,.490,3.3,4.1,.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1,MVP-6ASNBA2,paytoga01
13,Antoine Walker,25,BOS,PF,81,81,42.0,8.2,20.9,.394,2.7,8.0,.344,5.5,12.9,.425,.460,3.0,4.0,.741,1.9,7.0,8.8,5.0,1.5,0.5,3.1,2.9,22.1,AS,walkean02
14,Ray Allen,26,MIL,SG,69,67,36.6,7.7,16.6,.462,3.3,7.7,.434,4.4,9.0,.485,.561,3.1,3.6,.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8,AS,allenra02
15,Cuttino Mobley,26,HOU,SG,74,74,42.1,8.0,18.4,.438,2.0,5.1,.395,6.0,13.3,.455,.493,3.6,4.2,.850,0.9,3.2,4.1,2.5,1.5,0.5,2.4,2.6,21.7,,moblecu01
16,Steve Francis,24,HOU,PG,57,56,41.1,7.4,17.7,.417,1.2,3.7,.324,6.2,14.0,.442,.451,5.7,7.4,.773,1.8,5.2,7.0,6.4,1.2,0.4,3.9,3.0,21.6,AS,francst01
17,Jamal Mashburn,29,CHH,SF,40,40,40.0,7.6,18.6,.407,1.0,2.8,.366,6.6,15.8,.415,.435,5.3,6.0,.876,0.8,5.3,6.1,4.3,1.1,0.2,2.8,2.0,21.5,,mashbja01
18,Jerry Stackhouse,27,DET,SF,76,76,35.3,6.9,17.4,.397,1.1,3.9,.287,5.8,13.4,.430,.430,6.5,7.6,.858,1.0,3.1,4.1,5.3,1.0,0.5,3.5,2.1,21.4,MVP-15,stackje01
19,Shareef Abdur-Rahim,25,ATL,PF,77,77,38.7,7.8,16.8,.461,0.3,0.9,.300,7.5,15.9,.470,.469,5.4,6.8,.801,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8,21.2,AS,abdursh01
20,Kevin Garnett,25,MIN,PF,81,81,39.2,8.1,17.3,.470,0.5,1.4,.319,7.7,15.9,.484,.484,4.4,5.5,.801,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,MVP-12DPOY-2ASNBA2,garneke01
21,Peja Stojaković,24,SAC,SF,71,71,37.3,7.7,15.9,.484,1.8,4.4,.416,5.9,11.5,.510,.541,4.0,4.5,.876,1.0,4.2,5.3,2.5,1.1,0.2,2.0,1.7,21.2,MVP-16AS,stojape01
22,Glenn Robinson,29,MIL,SF,66,63,35.5,8.1,17.4,.467,0.9,2.7,.326,7.2,14.7,.493,.493,3.6,4.3,.837,1.1,5.1,6.2,2.5,1.5,0.6,2.6,2.6,20.7,,robingl01
23,Michael Finley,28,DAL,SF,69,69,39.9,8.2,17.8,.463,1.1,3.2,.339,7.1,14.6,.491,.494,3.0,3.6,.837,1.3,3.9,5.2,3.3,0.9,0.4,1.7,2.1,20.6,,finlemi01
24,Jalen Rose,29,2TM,SF,83,83,38.0,8.0,17.6,.455,1.1,3.0,.362,6.9,14.6,.474,.485,3.4,4.0,.839,0.5,4.0,4.5,4.3,0.9,0.5,2.4,3.0,20.4,,roseja01
24,Jalen Rose,29,IND,SF,53,53,36.5,7.3,16.4,.444,1.0,2.8,.356,6.3,13.7,.462,.474,2.9,3.5,.839,0.5,4.2,4.7,3.7,0.8,0.5,2.0,2.8,18.5,,roseja01
24,Jalen Rose,29,CHI,SF,30,30,40.5,9.2,19.6,.470,1.2,3.3,.370,8.0,16.2,.491,.502,4.2,5.0,.839,0.5,3.7,4.1,5.3,1.1,0.5,3.2,3.4,23.8,,roseja01
25,Allan Houston,30,NYK,SG,77,77,37.8,7.4,16.9,.437,1.8,4.5,.393,5.6,12.4,.452,.489,3.8,4.4,.870,0.5,2.8,3.3,2.5,0.7,0.1,2.2,2.4,20.4,,houstal01
26,Stephon Marbury,24,PHO,PG,82,80,38.9,7.6,17.2,.442,0.9,3.0,.286,6.8,14.2,.476,.467,4.3,5.5,.781,0.9,2.3,3.2,8.1,0.9,0.2,3.5,2.3,20.4,,marbust01
27,Richard Hamilton,23,WAS,SG,63,57,35.0,7.5,17.2,.435,0.3,0.7,.381,7.2,16.5,.438,.443,4.8,5.3,.890,1.2,2.3,3.4,2.7,0.6,0.2,2.1,2.2,20.0,,hamilri01
28,Sam Cassell,32,MIL,PG,74,73,35.2,7.5,16.2,.463,1.0,2.8,.348,6.5,13.4,.486,.492,3.8,4.4,.860,0.7,3.5,4.2,6.7,1.2,0.2,2.4,2.8,19.7,,cassesa01
29,Antawn Jamison,25,GSW,SF,82,82,37.0,7.5,16.8,.447,0.8,2.6,.324,6.7,14.2,.469,.471,3.9,5.4,.734,2.6,4.2,6.8,2.0,0.9,0.5,2.0,2.3,19.7,,jamisan01
30,Latrell Sprewell,31,NYK,SF,81,81,41.1,7.1,17.5,.404,1.8,5.0,.360,5.3,12.5,.421,.455,3.5,4.3,.821,0.7,3.0,3.7,3.9,1.2,0.2,2.8,2.0,19.4,,sprewla01
31,Jason Terry,24,ATL,SG,78,78,38.0,6.7,15.6,.430,2.2,5.7,.387,4.5,9.9,.454,.500,3.6,4.4,.835,0.5,2.9,3.5,5.7,1.8,0.2,2.3,2.0,19.3,,terryja01
32,Rasheed Wallace,27,POR,PF,79,79,37.5,7.6,16.3,.469,1.4,4.0,.360,6.2,12.3,.504,.513,2.5,3.5,.734,1.7,6.4,8.2,1.9,1.3,1.3,1.7,2.7,19.3,,wallara01
33,Shawn Marion,23,PHO,SF,81,81,38.4,8.1,17.2,.469,0.6,1.5,.393,7.5,15.7,.476,.486,2.4,2.8,.845,2.6,7.3,9.9,2.0,1.8,1.1,1.8,2.6,19.1,,mariosh01
34,Jermaine O'Neal,23,IND,PF,72,72,37.6,7.5,15.7,.479,0.0,0.2,.071,7.5,15.5,.484,.480,3.9,5.7,.688,2.6,7.9,10.5,1.6,0.6,2.3,2.4,3.7,19.0,MIP-1ASNBA3,onealje01
35,Wally Szczerbiak,24,MIN,SF,82,82,38.0,7.4,14.6,.508,1.1,2.3,.455,6.4,12.3,.517,.544,2.8,3.3,.831,1.5,3.3,4.8,3.1,0.8,0.3,2.2,2.3,18.7,AS,szczewa02
36,Nick Van Exel,30,2TM,SG,72,46,34.7,7.0,17.0,.409,1.7,4.9,.340,5.3,12.2,.436,.457,2.8,3.5,.801,0.4,3.1,3.5,6.6,0.6,0.2,2.2,1.4,18.4,,vanexni01
36,Nick Van Exel,30,DEN,PG,45,44,38.6,8.3,20.3,.408,1.9,5.6,.337,6.4,14.7,.435,.454,3.0,3.9,.782,0.4,3.3,3.8,8.1,0.7,0.2,2.6,1.5,21.4,,vanexni01
36,Nick Van Exel,30,DAL,SG,27,2,28.0,4.8,11.6,.411,1.3,3.6,.347,3.5,8.0,.440,.465,2.4,2.9,.844,0.3,2.8,3.1,4.2,0.5,0.1,1.5,1.3,13.2,,vanexni01
37,Eddie Jones,30,MIA,SG,81,81,39.0,6.4,14.8,.432,1.8,4.7,.390,4.5,10.1,.451,.494,3.7,4.4,.837,0.8,3.9,4.7,3.2,1.4,1.0,1.8,3.2,18.3,,jonesed02
38,Elton Brand,22,LAC,PF,80,80,37.8,6.7,12.6,.527,0.0,0.0,,6.7,12.6,.527,.527,4.9,6.6,.742,5.0,6.6,11.6,2.4,1.0,2.0,2.2,3.2,18.2,MVP-16AS,brandel01
39,Baron Davis,22,CHH,PG,82,82,40.5,6.8,16.4,.417,2.1,5.8,.356,4.7,10.5,.451,.480,2.4,4.1,.580,1.1,3.1,4.3,8.5,2.1,0.6,3.0,2.9,18.1,AS,davisba01
40,Steve Nash,27,DAL,PG,82,82,34.6,6.4,13.3,.483,1.9,4.2,.455,4.5,9.1,.495,.554,3.2,3.6,.887,0.6,2.5,3.1,7.7,0.6,0.0,2.8,2.0,17.9,MVP-14ASNBA3,nashst01
41,Pau Gasol,21,MEM,PF,82,79,36.7,6.7,13.0,.518,0.0,0.1,.200,6.7,12.9,.519,.518,4.1,5.8,.709,2.9,6.0,8.9,2.7,0.5,2.1,2.7,2.4,17.6,ROY-1,gasolpa01
42,Bonzi Wells,25,POR,SG,74,69,31.7,6.6,14.0,.469,0.9,2.3,.384,5.7,11.7,.486,.500,2.9,3.9,.741,1.6,4.4,6.0,2.8,1.5,0.3,2.6,2.8,17.0,,wellsbo01
43,Grant Hill,29,ORL,SF,14,14,36.6,5.9,13.9,.426,0.0,0.1,.000,5.9,13.8,.430,.426,4.9,5.7,.863,2.1,6.9,8.9,4.6,0.6,0.3,2.6,2.9,16.8,,hillgr01
44,Rashard Lewis,22,SEA,SF,71,70,36.4,6.4,13.7,.468,1.7,4.5,.389,4.7,9.2,.506,.531,2.3,2.8,.810,2.0,5.1,7.0,1.7,1.5,0.6,1.4,2.5,16.8,,lewisra02
45,Lamond Murray,28,CLE,SF,71,68,32.6,6.1,13.9,.436,1.4,3.4,.424,4.6,10.5,.440,.487,3.0,3.7,.817,1.1,4.1,5.2,2.2,1.0,0.6,2.0,2.1,16.6,,murrala01
46,Andre Miller,25,CLE,PG,81,81,37.3,5.9,12.9,.454,0.3,1.1,.253,5.6,11.8,.472,.464,4.5,5.5,.817,1.3,3.3,4.7,10.9,1.6,0.4,3.0,2.8,16.5,,millean02
47,Reggie Miller,36,IND,SG,79,79,36.6,5.2,11.6,.453,2.3,5.6,.406,3.0,5.9,.498,.552,3.7,4.1,.911,0.3,2.5,2.8,3.2,1.1,0.1,1.5,1.8,16.5,,millere01
48,Alonzo Mourning,31,MIA,C,75,74,32.7,6.0,11.5,.516,0.0,0.0,.333,5.9,11.5,.517,.517,3.8,5.7,.657,2.4,6.0,8.4,1.2,0.4,2.5,2.4,3.4,15.7,AS,mournal01
49,Mike Miller,21,ORL,SF,63,53,33.7,5.6,12.7,.438,1.8,4.8,.383,3.7,7.9,.471,.510,2.2,2.9,.762,0.8,3.6,4.3,3.1,0.7,0.4,1.7,2.3,15.2,,millemi01
50,Derrick Coleman,34,PHI,PF,58,58,35.9,5.7,12.7,.450,0.5,1.4,.337,5.2,11.2,.465,.469,3.2,3.9,.815,2.9,5.9,8.8,1.7,0.7,0.9,2.1,2.7,15.1,,colemde01
51,Wesley Person,30,CLE,SG,78,78,35.8,6.0,12.1,.495,1.8,4.1,.444,4.2,8.0,.521,.570,1.3,1.6,.798,0.6,3.1,3.8,2.2,1.0,0.5,0.9,1.2,15.1,,persowe01
52,Kenyon Martin,24,NJN,PF,73,73,34.3,6.1,13.2,.463,0.2,0.9,.224,5.9,12.3,.480,.470,2.5,3.7,.678,1.5,3.8,5.3,2.6,1.2,1.7,2.4,3.6,14.9,,martike01
53,Donyell Marshall,28,UTA,SF,58,42,30.2,5.9,11.4,.519,0.2,0.7,.310,5.7,10.7,.533,.529,2.8,3.9,.708,2.7,4.9,7.6,1.7,0.9,1.2,2.1,2.6,14.8,,marshdo01
54,Keith Van Horn,26,NJN,SF,81,81,30.4,5.8,13.4,.433,1.2,3.6,.345,4.6,9.8,.465,.479,1.9,2.4,.800,1.7,5.8,7.5,2.0,0.8,0.5,1.8,2.7,14.8,,vanhoke01
55,Jason Williams,26,MEM,PG,65,65,34.4,5.8,15.2,.382,2.0,6.6,.295,3.8,8.5,.449,.446,1.2,1.6,.792,0.3,2.7,3.0,8.0,1.7,0.1,3.3,1.6,14.8,,willija02
56,Jason Kidd,28,NJN,PG,82,82,37.3,5.4,13.9,.391,1.4,4.4,.321,4.0,9.4,.424,.442,2.5,3.0,.814,1.6,5.7,7.3,9.9,2.1,0.2,3.5,1.7,14.7,MVP-2ASNBA1,kiddja01
57,Juwan Howard,28,2TM,PF,81,72,32.5,5.7,12.4,.460,0.0,0.0,.000,5.7,12.4,.461,.460,3.2,4.2,.761,2.8,4.8,7.6,2.1,0.6,0.6,1.9,3.3,14.6,,howarju01
57,Juwan Howard,28,DAL,PF,53,44,31.3,5.1,11.0,.462,0.0,0.0,.000,5.1,11.0,.462,.462,2.7,3.6,.754,2.6,4.8,7.4,1.8,0.5,0.6,1.5,3.2,12.9,,howarju01
57,Juwan Howard,28,DEN,PF,28,28,34.9,6.9,15.0,.457,0.0,0.0,.000,6.9,15.0,.458,.457,4.2,5.4,.770,3.0,4.9,7.9,2.7,0.6,0.6,2.6,3.4,17.9,,howarju01
58,Jeff McInnis,27,LAC,PG,81,80,37.4,5.7,13.8,.413,0.9,2.9,.321,4.8,11.0,.437,.446,2.3,2.7,.836,0.6,2.1,2.6,6.2,0.8,0.1,1.8,2.5,14.6,,mcinnje01
59,Clifford Robinson,35,DET,PF,80,80,35.7,5.7,13.4,.425,1.4,3.8,.378,4.2,9.6,.443,.478,1.8,2.6,.694,1.0,3.8,4.8,2.5,1.1,1.2,1.9,3.0,14.6,,robincl02
60,Antonio Davis,33,TOR,PF,77,77,38.7,5.3,12.5,.426,0.0,0.0,.000,5.3,12.5,.426,.426,3.8,4.6,.818,3.3,6.3,9.6,2.0,0.7,1.1,2.1,2.9,14.5,,davisan01
61,Brent Barry,30,SEA,SG,81,81,37.5,5.0,9.8,.508,2.0,4.8,.424,2.9,5.0,.588,.611,2.4,2.9,.846,0.7,4.7,5.4,5.3,1.8,0.5,2.0,2.2,14.4,,barrybr01
