Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Rick Barry,22,SFW,SF,78,,40.7,13.0,28.7,.451,9.7,10.9,.884,9.2,3.6,3.3,35.6,MVP-5ASNBA1,barryri01
2,Oscar Robertson,28,CIN,PG,79,,43.9,10.6,21.5,.493,9.3,10.7,.873,6.2,10.7,2.9,30.5,MVP-4ASNBA1,roberos01
3,Jerry West,28,LAL,PG,66,,40.5,9.8,21.0,.464,9.1,10.4,.878,5.9,6.8,2.4,28.7,ASNBA1,westje01
4,Elgin Baylor,32,LAL,SF,70,,38.7,10.2,23.7,.429,6.3,7.7,.813,12.8,3.1,3.0,26.6,ASNBA1,bayloel01
5,Wilt Chamberlain,30,PHI,C,81,,45.5,9.7,14.2,.683,4.8,10.8,.441,24.2,7.8,1.8,24.1,MVP-1ASNBA1,chambwi01
6,Hal Greer,30,PHI,SG,80,,38.6,8.7,19.1,.459,4.6,5.8,.788,5.3,3.8,3.8,22.1,ASNBA2,greerha01
7,Sam Jones,33,BOS,SG,72,,32.3,8.9,19.5,.454,4.4,5.2,.857,4.7,3.0,2.7,22.1,NBA2,jonessa01
8,John Havlicek,26,BOS,SF,81,,32.1,8.4,19.0,.444,4.5,5.4,.828,6.6,3.4,2.6,21.4,AS,havlijo01
9,Willis Reed,24,NYK,PF,78,76,36.2,8.1,16.6,.489,4.6,6.2,.735,14.6,1.6,3.8,20.9,ASNBA2,reedwi01
10,Gus Johnson,28,BAL,SF,73,,36.0,8.5,18.9,.450,3.7,5.2,.708,11.7,2.7,3.8,20.7,,johnsgu01
11,Don Ohl,30,BAL,SG,58,,34.9,7.8,17.3,.451,4.8,6.1,.780,3.3,2.9,2.6,20.3,AS,ohldo01
12,Dave Bing,23,DET,PG,80,,34.5,8.3,19.0,.436,3.4,4.6,.738,4.5,4.1,2.7,20.0,ROY-1,bingda01
13,Bailey Howell,30,BOS,PF,81,,30.9,7.9,15.3,.512,4.3,5.8,.741,8.4,1.3,3.7,20.0,AS,howelba01
14,Chet Walker,26,PHI,SF,81,,33.2,6.9,14.2,.488,5.5,7.2,.766,8.1,2.3,2.9,19.3,AS,walkech01
15,Walt Bellamy,27,NYK,C,79,78,38.1,7.2,13.7,.521,4.7,7.3,.636,13.5,2.6,3.5,19.0,,bellawa01
16,Nate Thurmond,25,SFW,C,65,,42.5,7.2,16.4,.437,4.3,6.8,.629,21.3,2.6,2.8,18.7,MVP-2AS,thurmna01
17,Billy Cunningham,23,PHI,SF,81,,26.8,6.9,15.0,.459,4.7,6.9,.686,7.3,2.5,3.2,18.5,,cunnibi01
18,Lou Hudson,22,STL,SF,80,,30.6,7.8,16.6,.467,2.9,4.1,.706,5.4,1.2,3.5,18.4,ROY-2,hudsolo01
19,Dave DeBusschere,26,DET,SF,78,,37.1,6.8,16.4,.415,4.6,6.6,.705,11.8,2.8,3.8,18.2,AS,debusda01
20,Kevin Loughery,26,BAL,SG,76,,33.9,6.8,17.2,.398,4.5,5.4,.825,4.6,3.8,3.9,18.2,,loughke01
21,Bob Boozer,29,CHI,PF,80,,30.6,6.7,13.8,.487,4.5,5.8,.781,8.5,1.1,2.7,18.0,,boozebo01
22,Guy Rodgers,31,CHI,PG,81,,37.8,6.6,17.0,.391,4.7,5.9,.806,4.3,11.2,3.0,18.0,AS,rodgegu01
23,Zelmo Beaty,27,STL,C,48,,34.6,6.8,14.5,.473,4.1,5.4,.758,10.7,1.3,3.9,17.8,,beatyze01
24,Jerry Lucas,26,CIN,PF,81,,43.9,7.1,15.5,.459,3.5,4.4,.791,19.1,3.3,3.5,17.8,ASNBA2,lucasje01
25,Eddie Miles,26,DET,SG,81,,29.9,7.2,16.8,.427,3.2,4.2,.772,3.7,2.2,2.7,17.6,,milesed01
26,Bill Bridges,27,STL,PF,79,,39.6,6.4,14.0,.455,4.6,6.6,.702,15.1,2.8,4.1,17.4,AS,bridgbi01
27,Jerry Sloan,24,CHI,SG,80,,36.8,6.6,15.2,.432,4.3,5.3,.796,9.1,2.1,3.7,17.4,AS,sloanje01
28,Lenny Wilkens,29,STL,PG,78,,38.1,5.7,13.3,.432,5.9,7.5,.787,5.3,5.7,3.6,17.4,AS,wilkele01
29,Dick Barnett,30,NYK,SG,67,43,29.4,6.8,14.2,.478,3.4,4.4,.783,3.4,2.4,2.8,17.0,,barnedi01
30,Adrian Smith,30,CIN,SG,81,,32.5,6.2,14.2,.438,4.2,4.7,.903,2.5,2.3,3.4,16.6,,smithad01
31,Ray Scott,28,2TM,C,72,,34.0,6.4,15.9,.400,3.6,5.1,.699,10.6,2.2,3.0,16.3,,scottra01
31,Ray Scott,28,DET,C,45,,32.8,5.6,15.1,.370,3.5,4.6,.757,9.0,1.9,2.9,14.7,,scottra01
31,Ray Scott,28,BAL,PF,27,,35.9,7.6,17.1,.445,3.7,5.9,.625,13.2,2.8,3.1,19.0,,scottra01
32,Howard Komives,25,NYK,PG,65,63,35.1,6.2,15.3,.404,3.3,3.9,.858,2.8,6.2,3.3,15.7,,komivho01
33,Dick Van Arsdale,23,NYK,SG,79,79,36.6,5.2,11.6,.449,4.7,6.4,.729,7.0,3.1,3.3,15.1,,vanardi01
34,Leroy Ellis,26,BAL,C,81,,36.3,6.1,14.4,.425,2.6,3.5,.738,12.0,2.1,3.2,14.9,,ellisle01
35,Happy Hairston,24,CIN,SF,79,,30.9,5.8,12.2,.479,3.2,4.8,.660,8.0,0.8,3.5,14.9,,hairsha01
36,Larry Siegfried,27,BOS,PG,73,,25.9,5.0,11.4,.442,4.0,4.8,.847,3.1,3.4,2.8,14.1,,siegfla01
37,Paul Neumann,29,SFW,PG,78,,31.0,4.9,11.7,.424,4.0,5.0,.800,3.5,4.4,3.4,13.9,,neumapa01
38,Joe Caldwell,25,STL,SF,81,,27.9,5.7,13.3,.426,2.5,3.8,.649,5.5,2.0,2.8,13.8,,caldwjo01
39,Richie Guerin,34,STL,SG,80,,28.4,4.9,11.3,.436,3.8,5.2,.731,2.4,4.3,3.1,13.7,,gueriri01
40,Bill Russell,32,BOS,C,81,,40.7,4.9,10.7,.454,3.5,5.8,.610,21.0,5.8,3.2,13.3,MVP-3ASNBA2,russebi01
41,Wali Jones,24,PHI,PG,81,,27.8,5.2,12.1,.431,2.8,3.3,.838,3.3,3.7,3.0,13.2,,joneswa02
42,Dave Stallworth,25,NYK,SF,76,8,24.9,5.0,10.7,.466,3.0,4.2,.716,6.2,1.9,3.0,13.0,,stallda01
43,Jeff Mullins,24,SFW,SG,77,,23.8,5.5,11.9,.458,1.9,2.8,.701,5.0,2.9,2.5,12.9,,mullije01
44,Rudy LaRusso,29,LAL,PF,45,,28.7,4.7,11.3,.415,3.5,5.0,.696,7.8,1.7,3.3,12.8,,larusru01
45,Erwin Mueller,22,CHI,C,80,,26.7,5.3,12.0,.441,2.1,3.3,.658,6.2,1.6,2.8,12.7,,mueller01
46,Gail Goodrich,23,LAL,SG,77,,23.1,4.6,10.1,.454,3.3,4.4,.751,3.3,2.7,2.5,12.4,,goodrga01
47,Fred Hetzel,24,SFW,PF,77,,27.6,4.8,12.1,.400,2.5,3.1,.810,8.3,1.4,3.0,12.2,,hetzefr01
48,Tom Van Arsdale,23,DET,SG,79,,27.0,4.4,11.2,.391,3.4,4.4,.784,4.3,2.4,3.1,12.2,,vanarto01
49,Luke Jackson,25,PHI,PF,81,,29.3,4.8,10.9,.438,2.4,3.2,.759,8.9,1.4,3.4,12.0,,jackslu01
50,George Lee,30,SFW,,1,,5.0,3.0,4.0,.750,6.0,7.0,.857,0.0,0.0,0.0,12.0,,leege01
