Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
1,Atlanta Hawks,,2-1,4-0,1-3,4-0,2-0,2-0,2-2,2-0,1-1,1-3,2-0,0-2,1-3,3-1,0-2,1-2,2-2,2-2,3-1,0-2,1-1,2-0,1-1,1-1,4-0,0-2,2-0,4-0
2,Boston Celtics,1-2,,1-2,1-3,1-3,1-1,1-1,2-2,1-1,1-1,0-4,2-0,1-1,0-4,2-2,1-1,2-2,2-2,2-2,3-1,0-2,1-1,1-1,0-2,1-1,3-0,0-2,2-0,3-2
3,Charlotte Hornets,0-4,2-1,,1-3,2-2,2-0,2-0,3-1,1-1,2-0,3-1,2-0,1-1,3-1,3-1,1-1,2-2,1-3,3-1,2-1,1-1,2-0,1-1,1-1,1-1,4-0,1-1,2-0,2-2
4,Chicago Bulls,3-1,3-1,3-1,,2-2,1-1,2-0,3-1,2-0,2-0,2-2,2-0,1-1,2-1,4-0,1-1,4-0,4-0,3-1,2-1,1-1,1-1,2-0,2-0,1-1,4-0,0-2,2-0,3-1
5,Cleveland Cavaliers,0-4,3-1,2-2,2-2,,1-1,2-0,3-1,2-0,1-1,2-2,2-0,1-1,1-3,2-2,2-0,3-1,1-2,2-2,3-1,2-0,1-1,2-0,0-2,0-2,3-1,1-1,2-0,1-2
6,Dallas Mavericks,0-2,1-1,0-2,1-1,1-1,,3-1,0-2,1-3,0-4,1-1,1-3,0-4,0-2,0-2,2-2,0-2,1-1,0-2,0-2,0-4,0-4,0-4,0-4,2-2,1-1,0-4,4-0,1-1
7,Denver Nuggets,0-2,1-1,0-2,0-2,0-2,1-3,,0-2,1-3,0-4,0-2,2-2,0-4,0-2,0-2,1-3,0-2,0-2,0-2,0-2,0-4,2-2,1-3,0-4,0-4,0-2,0-4,1-3,1-1
8,Detroit Pistons,2-2,2-2,1-3,1-3,1-3,2-0,2-0,,2-0,1-1,1-3,2-0,0-2,1-2,2-2,0-2,2-2,2-2,1-2,3-1,1-1,0-2,1-1,1-1,0-2,4-0,0-2,0-2,2-2
9,Golden State Warriors,0-2,1-1,1-1,0-2,0-2,3-1,3-1,0-2,,1-3,0-2,1-3,1-3,0-2,0-2,0-4,0-2,1-1,1-1,0-2,0-4,1-3,2-2,1-3,1-3,0-2,0-4,1-3,0-2
10,Houston Rockets,1-1,1-1,0-2,0-2,1-1,4-0,4-0,1-1,3-1,,1-1,4-0,1-3,0-2,1-1,1-3,1-1,1-1,0-2,1-1,1-3,1-3,4-0,2-2,1-3,2-0,0-4,3-1,1-1
11,Indiana Pacers,3-1,4-0,1-3,2-2,2-2,1-1,2-0,3-1,2-0,1-1,,2-0,0-2,3-1,4-0,2-0,2-1,2-1,3-1,4-0,1-1,1-1,2-0,0-2,0-2,4-0,1-1,2-0,4-0
12,Los Angeles Clippers,0-2,0-2,0-2,0-2,0-2,3-1,2-2,0-2,3-1,0-4,0-2,,0-4,0-2,0-2,0-4,1-1,0-2,0-2,1-1,0-4,0-4,3-1,1-3,0-4,1-1,1-3,1-3,0-2
13,Los Angeles Lakers,2-0,1-1,1-1,1-1,1-1,4-0,4-0,2-0,3-1,3-1,2-0,4-0,,1-1,2-0,4-0,1-1,1-1,1-1,0-2,2-2,2-2,4-0,4-0,1-3,2-0,3-1,4-0,1-1
14,Miami Heat,3-1,4-0,1-3,1-2,3-1,2-0,2-0,2-1,2-0,2-0,1-3,2-0,1-1,,3-1,1-1,3-1,2-2,3-1,4-0,0-2,2-0,2-0,0-2,0-2,4-0,1-1,2-0,2-2
15,Milwaukee Bucks,1-3,2-2,1-3,0-4,2-2,2-0,2-0,2-2,2-0,1-1,0-4,2-0,0-2,1-3,,1-1,0-4,3-1,2-1,2-2,0-2,2-0,2-0,0-2,1-1,3-1,0-2,1-1,1-2
16,Minnesota Timberwolves,2-0,1-1,1-1,1-1,0-2,2-2,3-1,2-0,4-0,3-1,0-2,4-0,0-4,1-1,1-1,,2-0,1-1,0-2,2-0,3-1,1-3,3-1,1-3,1-3,1-1,1-3,4-0,0-2
17,New Jersey Nets,2-1,2-2,2-2,0-4,1-3,2-0,2-0,2-2,2-0,1-1,1-2,1-1,1-1,1-3,4-0,0-2,,2-2,3-1,3-1,1-1,1-1,2-0,1-1,0-2,3-1,0-2,2-0,1-3
18,New York Knicks,2-2,2-2,3-1,0-4,2-1,1-1,2-0,2-2,1-1,1-1,1-2,2-0,1-1,2-2,1-3,1-1,2-2,,4-0,2-2,2-0,1-1,1-1,0-2,1-1,3-1,0-2,2-0,1-3
19,Orlando Magic,2-2,2-2,1-3,1-3,2-2,2-0,2-0,2-1,1-1,2-0,1-3,2-0,1-1,1-3,1-2,2-0,1-3,0-4,,4-0,0-2,2-0,0-2,0-2,1-1,3-1,0-2,2-0,3-1
20,Philadelphia 76ers,1-3,1-3,1-2,1-2,1-3,2-0,2-0,1-3,2-0,1-1,0-4,1-1,2-0,0-4,2-2,0-2,1-3,2-2,0-4,,1-1,1-1,1-1,0-2,0-2,2-2,0-2,2-0,3-1
21,Phoenix Suns,2-0,2-0,1-1,1-1,0-2,4-0,4-0,1-1,4-0,3-1,1-1,4-0,2-2,2-0,2-0,1-3,1-1,0-2,2-0,1-1,,2-2,3-1,3-1,2-2,2-0,1-3,4-0,1-1
22,Portland Trail Blazers,1-1,1-1,0-2,1-1,1-1,4-0,2-2,2-0,3-1,3-1,1-1,4-0,2-2,0-2,0-2,3-1,1-1,1-1,0-2,1-1,2-2,,3-1,2-2,0-4,2-0,3-1,2-2,1-1
23,Sacramento Kings,0-2,1-1,1-1,0-2,0-2,4-0,3-1,1-1,2-2,0-4,0-2,1-3,0-4,0-2,0-2,1-3,0-2,1-1,2-0,1-1,1-3,1-3,,0-4,1-3,1-1,2-2,2-2,1-1
24,San Antonio Spurs,1-1,2-0,1-1,0-2,2-0,4-0,4-0,1-1,3-1,2-2,2-0,3-1,0-4,2-0,2-0,3-1,1-1,2-0,2-0,2-0,1-3,2-2,4-0,,2-2,2-0,1-3,4-0,1-1
25,Seattle SuperSonics,1-1,1-1,1-1,1-1,2-0,2-2,4-0,2-0,3-1,3-1,2-0,4-0,3-1,2-0,1-1,3-1,2-0,1-1,1-1,2-0,2-2,4-0,3-1,2-2,,2-0,2-2,4-0,1-1
26,Toronto Raptors,0-4,0-3,0-4,0-4,1-3,1-1,2-0,0-4,2-0,0-2,0-4,1-1,0-2,0-4,1-3,1-1,1-3,1-3,1-3,2-2,0-2,0-2,1-1,0-2,0-2,,0-2,1-1,0-3
