Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,28,2TM,C,73,,45.2,14.6,28.5,.510,5.6,12.1,.464,22.9,3.4,2.0,34.7,MVP-5ASNBA2,chambwi01
1,Wilt Chamberlain,28,SFW,C,38,,45.9,16.7,33.6,.499,5.5,13.2,.416,23.5,3.1,2.0,38.9,,chambwi01
1,Wilt Chamberlain,28,PHI,C,35,,44.5,12.2,23.1,.528,5.7,10.9,.526,22.3,3.8,2.0,30.1,,chambwi01
2,Jerry West,26,LAL,PG,74,,41.4,11.1,22.4,.497,8.8,10.7,.821,6.0,4.9,3.0,31.0,MVP-3ASNBA1,westje01
3,Oscar Robertson,26,CIN,PG,75,,45.6,10.8,22.4,.480,8.9,10.6,.839,9.0,11.5,2.7,30.4,MVP-2ASNBA1,roberos01
4,Elgin Baylor,30,LAL,SF,74,,41.3,10.3,25.7,.401,6.5,8.2,.792,12.8,3.8,3.2,27.1,ASNBA1,bayloel01
5,Sam Jones,31,BOS,SG,80,,36.1,10.3,22.7,.452,5.4,6.5,.820,5.1,2.8,2.2,25.9,MVP-4ASNBA2,jonessa01
6,Walt Bellamy,25,BAL,C,80,,41.3,9.2,18.0,.509,6.4,9.4,.685,14.6,2.4,3.3,24.8,AS,bellawa01
7,Bob Pettit,32,STL,PF,50,,35.1,7.9,18.5,.429,6.6,8.1,.820,12.4,2.6,3.3,22.5,ASNBA2,pettibo01
8,Jerry Lucas,24,CIN,PF,66,,43.4,8.5,17.0,.498,4.5,5.5,.814,20.0,2.4,3.2,21.4,ASNBA1,lucasje01
9,Hal Greer,28,PHI,SG,70,,37.1,7.7,17.8,.433,4.8,5.9,.811,5.1,4.5,3.6,20.2,ASNBA2,greerha01
10,Willis Reed,22,NYK,C,80,80,38.0,7.9,18.2,.432,3.8,5.1,.742,14.7,1.7,4.2,19.5,ROY-1AS,reedwi01
11,Bailey Howell,28,BAL,PF,80,,37.2,6.4,13.0,.495,6.3,7.9,.801,10.9,2.6,4.3,19.2,,howelba01
12,Gus Johnson,26,BAL,SF,76,,38.1,7.6,18.1,.418,3.4,5.1,.676,13.0,3.6,3.4,18.6,ASNBA2,johnsgu01
13,Don Ohl,28,BAL,SG,77,,36.6,7.4,16.8,.438,3.7,5.0,.732,4.4,3.2,3.6,18.4,AS,ohldo01
14,John Havlicek,24,BOS,SG,75,,28.9,7.6,18.9,.401,3.1,4.2,.744,4.9,2.7,2.7,18.3,,havlijo01
15,Terry Dischinger,24,DET,SG,80,,33.7,7.1,14.4,.493,4.0,5.3,.755,6.0,2.5,3.2,18.2,AS,dischte01
16,Zelmo Beaty,25,STL,C,80,,36.5,6.3,13.1,.482,4.3,6.0,.715,12.1,1.4,4.1,16.9,,beatyze01
17,Dave DeBusschere,24,DET,PF,79,,35.1,6.4,15.1,.425,3.9,5.5,.700,11.1,3.2,3.1,16.7,,debusda01
18,Nate Thurmond,23,SFW,PF,77,,41.2,6.7,16.1,.419,3.1,4.6,.658,18.1,2.0,3.0,16.5,AS,thurmna01
19,Lenny Wilkens,27,STL,PG,78,,36.6,5.6,13.4,.414,5.3,7.2,.746,4.7,5.5,3.6,16.5,AS,wilkele01
20,Jim Barnes,23,NYK,PF,75,69,34.5,6.1,14.3,.424,3.3,5.1,.662,9.7,1.2,4.2,15.5,ROY-3,barneji01
21,Ray Scott,26,DET,PF,66,,32.8,6.1,16.5,.368,3.3,4.8,.701,9.6,3.6,3.2,15.5,,scottra01
22,Adrian Smith,28,CIN,SG,80,,34.3,5.8,12.7,.456,3.6,4.3,.830,2.8,3.0,2.5,15.1,,smithad01
23,Luke Jackson,23,PHI,PF,76,,34.1,5.5,13.3,.414,3.8,5.3,.713,12.9,1.2,3.3,14.8,ROY-2AS,jackslu01
24,Guy Rodgers,29,SFW,SG,79,,34.2,5.9,15.5,.380,2.8,4.1,.686,4.1,7.2,3.2,14.6,,rodgegu01
25,Jack Twyman,30,CIN,SF,80,,28.0,6.0,13.5,.443,2.5,3.0,.828,4.8,1.7,3.0,14.5,,twymaja01
26,Richie Guerin,32,STL,SG,57,,29.4,5.2,11.6,.446,4.1,5.3,.767,2.6,4.8,3.4,14.4,,gueriri01
27,Bob Boozer,27,NYK,SF,80,51,26.7,5.3,12.0,.440,3.6,4.7,.768,7.6,1.4,2.3,14.2,,boozebo01
28,Rudy LaRusso,27,LAL,PF,77,,33.6,4.9,10.7,.461,4.2,5.4,.773,9.4,2.6,3.4,14.1,,larusru01
29,Bill Russell,30,BOS,C,78,,44.4,5.5,12.6,.438,3.1,5.5,.573,24.1,5.3,2.6,14.1,MVP-1ASNBA1,russebi01
30,Dick Barnett,28,LAL,SG,74,,27.4,5.1,12.3,.413,3.6,4.6,.799,2.7,2.1,2.8,13.8,,barnedi01
31,Eddie Miles,24,DET,PG,76,,27.3,5.8,13.1,.442,2.2,2.9,.744,3.4,2.1,2.6,13.7,,milesed01
32,Tom Heinsohn,30,BOS,SF,67,,25.5,5.4,14.2,.383,2.7,3.4,.795,6.0,2.3,3.8,13.6,AS,heinsto01
33,Larry Costello,33,PHI,PG,64,,30.7,4.8,10.9,.445,3.8,4.3,.877,2.6,4.3,3.8,13.5,AS,costela01
34,Chet Walker,24,PHI,SF,79,,27.7,4.8,11.8,.403,3.6,4.9,.742,6.7,1.7,2.5,13.2,,walkech01
35,Cliff Hagan,33,STL,SF,77,,22.6,5.1,11.7,.436,2.8,3.5,.799,3.6,1.8,2.4,13.0,,hagancl01
36,Kevin Loughery,24,BAL,PG,80,,30.2,5.1,12.0,.424,2.7,3.5,.754,2.9,3.7,4.0,12.8,,loughke01
37,Paul Neumann,27,2TM,PG,76,,26.8,4.8,10.2,.473,3.1,4.0,.772,2.6,3.1,2.9,12.7,,neumapa01
37,Paul Neumann,27,PHI,PG,40,,27.5,5.3,10.9,.491,3.7,4.6,.804,2.6,3.5,3.0,14.4,,neumapa01
37,Paul Neumann,27,SFW,PG,36,,25.9,4.2,9.4,.450,2.4,3.3,.723,2.7,2.6,2.8,10.8,,neumapa01
38,Wayne Embry,27,CIN,C,74,,30.3,4.8,10.4,.456,3.2,5.0,.644,10.0,1.2,4.0,12.7,AS,embrywa01
39,Tom Meschery,26,SFW,SF,79,,30.5,4.6,11.6,.394,3.5,4.7,.751,8.3,1.3,3.5,12.7,,meschto01
40,Dave Gambee,27,PHI,SF,80,,24.9,4.5,10.8,.412,3.7,4.6,.813,5.9,1.4,3.5,12.6,,gambeda01
41,Howard Komives,23,NYK,PG,80,63,29.7,4.8,12.8,.374,2.7,3.2,.835,2.4,3.3,3.1,12.2,ROY-4,komivho01
42,Reggie Harding,22,DET,C,78,,34.6,5.2,12.7,.410,1.6,2.7,.612,11.6,2.3,3.3,12.0,,hardire01
43,Tom Sanders,26,BOS,PF,80,,30.7,4.7,10.9,.429,2.4,3.2,.745,8.3,1.2,4.0,11.8,,sandeto01
44,Chico Vaughn,24,STL,SG,75,,26.2,4.6,10.8,.424,2.4,3.2,.752,2.3,2.1,2.6,11.6,,vaughch01
45,Bill Bridges,25,STL,PF,79,,29.9,4.6,11.9,.386,2.4,3.5,.676,10.8,2.4,3.5,11.5,,bridgbi01
46,Johnny Green,31,NYK,PF,78,33,22.1,4.4,9.4,.469,2.1,3.9,.548,7.0,1.7,2.5,11.0,AS,greenjo01
47,Rod Thorn,23,DET,SG,74,,23.9,4.3,10.1,.427,2.4,3.3,.724,3.6,2.2,1.6,11.0,,thornro01
48,Joe Caldwell,23,DET,SF,66,,23.4,4.4,11.8,.374,2.0,3.2,.614,6.7,1.8,2.6,10.7,ROY-4,caldwjo01
49,Willie Naulls,30,BOS,SF,71,,20.6,4.3,11.1,.384,2.0,2.5,.813,4.7,1.0,3.2,10.5,,naullwi01
50,Leroy Ellis,24,LAL,C,80,,25.3,3.9,8.8,.444,2.5,3.6,.697,8.2,0.6,2.5,10.3,,ellisle01
51,Al Attles,28,SFW,PG,73,,23.7,3.5,9.1,.384,2.3,3.8,.624,3.3,2.8,3.3,9.3,,attleal01
52,Johnny Egan,26,NYK,PG,74,26,22.5,3.5,7.1,.488,2.2,2.7,.814,1.9,3.4,1.9,9.2,,eganjo01
53,Dave Budd,26,NYK,SF,62,4,19.2,3.2,6.6,.482,2.0,2.7,.712,5.0,1.0,2.4,8.3,,buddda01
54,Len Chappell,24,NYK,C,43,3,15.2,3.4,8.5,.395,1.6,2.3,.680,3.3,0.3,1.7,8.3,,chapple01
55,K.C. Jones,32,BOS,PG,78,,31.2,3.2,8.2,.396,1.8,2.9,.630,4.1,5.6,3.4,8.3,,joneskc01
56,McCoy McLemore,22,SFW,SF,78,,22.2,3.1,9.3,.337,2.0,2.8,.714,6.3,1.0,2.9,8.3,,mclemmc01
57,Red Kerr,32,PHI,C,80,,22.6,3.3,8.9,.370,1.6,2.3,.696,6.9,2.5,1.7,8.2,,kerrre01
58,Connie Dierking,28,2TM,C,68,,19.0,3.2,7.9,.405,1.5,2.5,.595,6.4,1.1,2.4,7.9,,dierkco01
58,Connie Dierking,28,PHI,C,38,,19.2,3.2,8.2,.389,1.4,2.2,.651,6.3,1.1,2.7,7.8,,dierkco01
58,Connie Dierking,28,SFW,C,30,,18.8,3.2,7.6,.427,1.5,2.8,.541,6.5,1.0,2.1,8.0,,dierkco01
59,Wayne Hightower,25,2TM,PF,75,,20.6,2.6,7.6,.344,2.6,3.4,.768,5.6,0.7,2.7,7.8,,hightwa01
59,Wayne Hightower,25,SFW,PF,48,,21.6,2.8,8.3,.343,2.8,3.6,.769,5.1,0.8,3.0,8.4,,hightwa01
59,Wayne Hightower,25,BAL,PF,27,,18.9,2.2,6.4,.345,2.3,3.0,.765,6.4,0.6,2.3,6.7,,hightwa01
60,Bucky Bockhorn,31,CIN,SG,19,,22.3,3.2,8.3,.382,1.5,2.1,.718,2.9,2.4,2.7,7.8,,bockhbu01
