Rk,Team,ATL,BAL,BOS,CHI,CIN,DET,LAL,MIL,NYK,PHI,PHO,SDR,SEA,SFW
1,Atlanta Hawks,,2-4,6-0,5-2,3-3,3-3,4-3,3-3,4-2,3-3,2-4,4-2,5-2,4-3
2,Baltimore Bullets,4-2,,5-2,5-1,4-3,5-2,4-2,3-3,1-5,3-4,3-3,6-0,2-4,5-1
3,Boston Celtics,0-6,2-5,,3-3,3-3,4-3,2-4,1-6,4-3,2-4,2-4,4-2,5-1,2-4
4,Chicago Bulls,2-5,1-5,3-3,,3-3,3-3,4-2,4-2,0-6,3-3,5-2,3-4,4-3,4-2
5,Cincinnati Royals,3-3,3-4,3-3,3-3,,4-2,2-4,2-5,2-5,4-3,3-3,4-2,1-5,2-4
6,Detroit Pistons,3-3,2-5,3-4,3-3,2-4,,3-3,1-6,1-6,1-5,3-3,3-3,3-3,3-3
7,Los Angeles Lakers,3-4,2-4,4-2,2-4,4-2,3-3,,3-3,2-4,4-2,3-4,5-2,6-0,5-2
8,Milwaukee Bucks,3-3,3-3,6-1,2-4,5-2,6-1,3-3,,2-4,5-2,6-0,6-0,5-1,4-2
9,New York Knicks,2-4,5-1,3-4,6-0,5-2,6-1,4-2,4-2,,5-2,6-0,5-1,4-2,5-1
10,Philadelphia 76ers,3-3,4-3,4-2,3-3,3-4,5-1,2-4,2-5,2-5,,4-2,4-2,0-6,6-0
11,Phoenix Suns,4-2,3-3,4-2,2-5,3-3,3-3,4-3,0-6,0-6,2-4,,7-0,4-3,3-3
12,San Diego Rockets,2-4,0-6,2-4,4-3,2-4,3-3,2-5,0-6,1-5,2-4,0-7,,4-2,5-2
13,Seattle SuperSonics,2-5,4-2,1-5,3-4,5-1,3-3,0-6,1-5,2-4,6-0,3-4,2-4,,4-3
14,San Francisco Warriors,3-4,1-5,4-2,2-4,4-2,3-3,2-5,2-4,1-5,0-6,3-3,2-5,3-4,
