Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
114,Rich Kelley,24,NOJ,C,82,,25.8,3.7,7.3,.505,2.7,3.5,.779,3.0,6.2,9.3,2.8,1.1,1.6,2.7,3.6,10.2,,kelleri01
115,Tom Owens,28,POR,C,82,,20.9,3.8,7.8,.490,2.5,3.4,.741,2.4,4.2,6.6,2.0,0.4,0.5,1.9,3.2,10.1,,owensto01
116,Bill Robinzine,25,KCK,PF,82,,21.3,3.7,8.3,.451,2.5,3.3,.760,2.1,4.5,6.6,0.9,0.9,0.1,2.1,3.4,10.0,,robinbi01
117,Nate Williams,27,2TM,SG,73,,17.1,4.3,9.9,.431,1.4,1.7,.835,0.9,1.9,2.8,1.0,0.8,0.5,1.1,2.5,9.9,,willina01
117,Nate Williams,27,NOJ,SG,27,,16.1,3.3,7.9,.421,1.1,1.4,.838,1.0,2.3,3.3,1.3,0.8,0.4,0.9,2.3,7.8,,willina01
117,Nate Williams,27,GSW,SG,46,,17.7,4.8,11.1,.435,1.5,1.8,.833,0.8,1.7,2.5,0.9,0.8,0.5,1.3,2.6,11.2,,willina01
118,Tom McMillen,25,ATL,C,68,,24.8,4.1,8.4,.493,1.7,2.1,.800,2.2,3.9,6.1,1.2,0.5,0.2,1.6,3.4,9.9,,mcmilto01
119,Armond Hill,24,ATL,PG,82,82,30.9,3.7,8.9,.415,2.3,2.7,.848,0.7,2.1,2.8,5.2,1.8,0.2,2.9,3.7,9.7,,hillar01
120,Alex English,24,MIL,SF,82,,18.9,4.2,7.7,.542,1.3,1.7,.727,1.8,3.1,4.8,1.6,0.5,0.7,1.7,2.2,9.6,,englial01
121,Anthony Roberts,22,DEN,SF,82,,19.5,3.8,9.0,.423,1.9,2.6,.722,1.6,2.6,4.3,1.3,0.5,0.1,1.4,2.6,9.5,,roberan01
122,Butch Beard,30,NYK,PG,79,37,25.1,3.9,7.8,.502,1.6,2.0,.806,1.0,2.4,3.3,4.3,1.5,0.0,1.9,2.5,9.4,,beardbu01
123,Jim McElroy,24,NOJ,PG,74,,23.8,3.9,8.2,.473,1.7,2.3,.737,0.6,1.4,2.0,3.9,0.8,0.5,1.9,1.5,9.4,,mcelrji01
124,Quinn Buckner,23,MIL,PG,82,82,25.3,3.8,8.2,.468,1.6,2.5,.645,1.0,2.1,3.0,5.6,2.3,0.2,2.8,3.5,9.3,,bucknqu01
125,Ray Williams,23,NYK,PG,81,10,19.1,3.8,8.5,.443,1.8,2.6,.705,1.0,1.5,2.6,4.5,1.3,0.2,3.0,2.6,9.3,,willira01
126,Steve Mix,30,PHI,SF,82,20,22.2,3.5,6.8,.520,2.1,2.7,.795,1.2,2.5,3.6,2.1,1.1,0.0,1.6,1.9,9.2,,mixst01
