Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Michael Jordan,26,CHI,SG,82,82,39.0,12.6,24.0,.526,1.1,3.0,.376,11.5,21.0,.548,.550,7.2,8.5,.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,MVP-3DPOY-5ASNBA1,jordami01
2,Karl Malone,26,UTA,PF,82,82,38.1,11.1,19.8,.562,0.2,0.5,.372,11.0,19.3,.567,.567,8.5,11.1,.762,2.8,8.3,11.1,2.8,1.5,0.6,3.7,3.2,31.0,MVP-4ASNBA1,malonka01
3,Patrick Ewing,27,NYK,C,82,82,38.6,11.2,20.4,.551,0.0,0.0,.250,11.2,20.4,.552,.551,6.1,7.9,.775,2.9,8.0,10.9,2.2,1.0,4.0,3.4,4.0,28.6,MVP-5DPOY-5ASNBA1,ewingpa01
4,Tom Chambers,30,PHO,PF,81,81,37.6,10.0,20.0,.501,0.3,1.1,.279,9.7,18.9,.513,.508,6.9,8.0,.861,1.5,5.6,7.0,2.3,1.1,0.6,2.7,3.2,27.2,MVP-8ASNBA2,chambto01
5,Dominique Wilkins,30,ATL,SF,80,79,36.1,10.1,20.9,.484,0.7,2.3,.322,9.4,18.6,.504,.502,5.7,7.1,.807,2.7,3.8,6.5,2.5,1.6,0.6,2.2,1.8,26.7,AS,wilkido01
6,Charles Barkley,26,PHI,SF,79,79,39.1,8.9,14.9,.600,0.3,1.2,.217,8.7,13.7,.632,.608,7.1,9.4,.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,MVP-2ASNBA1,barklch01
7,Chris Mullin,26,GSW,SF,78,78,36.3,8.7,16.3,.536,1.1,3.0,.372,7.6,13.3,.573,.570,6.5,7.3,.889,1.7,4.3,5.9,4.1,1.6,0.6,3.1,1.8,25.1,ASNBA3,mullich01
8,Reggie Miller,24,IND,SG,82,82,38.9,8.1,15.7,.514,1.8,4.4,.414,6.2,11.3,.552,.572,6.6,7.6,.868,1.2,2.4,3.6,3.8,1.3,0.2,2.7,2.1,24.6,AS,millere01
9,Larry Bird,33,BOS,SF,75,75,39.3,9.6,20.2,.473,0.9,2.6,.333,8.7,17.6,.494,.495,4.3,4.6,.930,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,MVP-10ASNBA2,birdla01
10,Jeff Malone,28,WSB,SG,75,74,34.2,10.4,21.2,.491,0.0,0.1,.167,10.4,21.1,.492,.491,3.4,3.9,.877,0.7,2.0,2.7,3.2,0.6,0.1,1.7,1.5,24.3,,malonje01
11,Hakeem Olajuwon,27,HOU,C,82,82,38.1,9.8,19.6,.501,0.0,0.1,.167,9.8,19.5,.502,.501,4.7,6.5,.713,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3,MVP-7DPOY-2ASNBA2,olajuha01
12,David Robinson,24,SAS,C,82,81,36.6,8.4,15.9,.531,0.0,0.0,.000,8.4,15.8,.532,.531,7.5,10.2,.732,3.7,8.3,12.0,2.0,1.7,3.9,3.1,3.2,24.3,MVP-6ROY-1ASNBA3,robinda01
13,Dale Ellis,29,SEA,SG,55,49,37.0,9.1,18.4,.497,1.7,4.7,.375,7.4,13.7,.538,.544,3.5,4.3,.818,1.6,2.7,4.3,2.0,1.1,0.1,2.2,2.3,23.5,,ellisda01
14,Clyde Drexler,27,POR,SG,73,73,36.8,9.2,18.6,.494,0.4,1.5,.283,8.8,17.1,.512,.505,4.6,5.9,.774,2.8,4.1,6.9,5.9,2.0,0.7,2.6,3.0,23.3,MVP-12ASNBA3,drexlcl01
15,Tony Campbell,27,MIN,SG,82,81,38.6,8.8,19.3,.457,0.1,0.7,.167,8.7,18.6,.468,.460,5.5,6.9,.787,2.5,3.0,5.5,2.6,1.4,0.4,3.1,3.2,23.2,,campbto01
16,Ricky Pierce,30,MIL,SG,59,0,29.0,8.5,16.7,.510,0.8,2.3,.346,7.7,14.5,.535,.533,5.2,6.2,.839,1.1,1.7,2.8,2.3,0.8,0.1,2.2,2.7,23.0,6MOY-1,piercri01
17,Ron Harper,26,2TM,SG,35,35,39.1,8.6,18.2,.473,0.4,1.5,.275,8.2,16.7,.490,.484,5.2,6.6,.788,2.1,3.8,5.9,5.2,2.3,1.2,2.9,3.0,22.8,,harpero01
17,Ron Harper,26,CLE,SG,7,7,37.4,8.7,19.7,.442,0.1,0.7,.200,8.6,19.0,.451,.446,4.4,5.9,.756,2.7,4.1,6.9,7.0,2.0,1.3,2.6,3.6,22.0,,harpero01
17,Ron Harper,26,LAC,SG,28,28,39.5,8.6,17.8,.481,0.5,1.6,.283,8.1,16.2,.501,.494,5.4,6.8,.795,2.0,3.7,5.6,4.8,2.4,1.1,2.9,2.9,23.0,,harpero01
