Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WSB
1,Atlanta Hawks,,4-0,3-1,0-4,3-1,1-1,1-1,2-2,1-1,1-1,1-3,2-0,0-2,2-2,2-2,1-1,4-0,2-1,2-2,2-1,0-2,2-0,2-0,0-2,0-2,4-0,1-1,2-0,1-3
2,Boston Celtics,0-4,,2-2,0-3,1-3,0-2,1-1,2-1,0-2,1-1,0-4,2-0,0-2,3-1,3-1,2-0,2-2,0-4,1-3,4-0,1-1,0-2,2-0,0-2,0-2,3-1,0-2,1-1,2-2
3,Charlotte Hornets,1-3,2-2,,1-3,3-1,2-0,2-0,1-3,0-2,0-2,1-3,1-1,2-0,2-2,3-1,1-1,0-3,3-0,0-4,3-1,2-0,1-1,1-1,0-2,0-2,3-1,1-1,2-0,3-1
4,Chicago Bulls,4-0,3-0,3-1,,4-0,2-0,1-1,4-0,2-0,2-0,2-2,2-0,2-0,3-1,4-0,2-0,3-0,3-1,3-1,4-0,1-1,2-0,2-0,2-0,1-1,3-1,2-0,2-0,4-0
5,Cleveland Cavaliers,1-3,3-1,1-3,0-4,,2-0,1-1,2-2,2-0,1-1,2-2,2-0,2-0,1-3,4-0,2-0,1-2,3-1,1-2,4-0,2-0,1-1,1-1,0-2,0-2,3-1,0-2,2-0,3-1
6,Dallas Mavericks,1-1,2-0,0-2,0-2,0-2,,2-2,0-2,2-2,1-3,0-2,2-2,0-4,0-2,1-1,0-4,1-1,0-2,1-1,0-2,1-3,0-4,2-2,2-2,2-2,1-1,1-3,4-0,0-2
7,Denver Nuggets,1-1,1-1,0-2,1-1,1-1,2-2,,1-1,2-2,1-3,0-2,1-3,2-2,0-2,1-1,4-0,0-2,1-1,1-1,2-0,3-1,0-4,0-4,0-4,1-3,2-0,3-1,3-1,1-1
8,Detroit Pistons,2-2,1-2,3-1,0-4,2-2,2-0,1-1,,2-0,1-1,2-2,2-0,0-2,1-3,2-2,1-1,4-0,0-4,1-3,4-0,2-0,2-0,1-1,2-0,1-1,4-0,0-2,2-0,1-2
9,Golden State Warriors,1-1,2-0,2-0,0-2,0-2,2-2,2-2,0-2,,2-2,1-1,3-1,1-3,1-1,1-1,3-1,2-0,0-2,0-2,2-0,1-3,1-3,1-3,1-3,0-4,1-1,1-3,4-0,1-1
10,Houston Rockets,1-1,1-1,2-0,0-2,1-1,3-1,3-1,1-1,2-2,,2-0,4-0,3-1,0-2,2-0,2-2,2-0,0-2,0-2,2-0,3-1,2-2,2-2,1-3,0-4,2-0,2-2,4-0,1-1
11,Indiana Pacers,3-1,4-0,3-1,2-2,2-2,2-0,2-0,2-2,1-1,0-2,,2-0,1-1,3-0,3-1,1-1,1-3,1-3,2-2,3-1,1-1,1-1,0-2,1-1,2-0,4-0,0-2,2-0,3-0
12,Los Angeles Clippers,0-2,0-2,1-1,0-2,0-2,2-2,3-1,0-2,1-3,0-4,0-2,,0-4,1-1,1-1,3-1,1-1,1-1,0-2,2-0,3-1,2-2,2-2,1-3,0-4,0-2,1-3,3-1,1-1
13,Los Angeles Lakers,2-0,2-0,0-2,0-2,0-2,4-0,2-2,2-0,3-1,1-3,1-1,4-0,,2-0,2-0,3-1,2-0,1-1,1-1,1-1,3-1,2-2,3-1,1-3,2-2,2-0,2-2,4-0,1-1
14,Miami Heat,2-2,1-3,2-2,1-3,3-1,2-0,2-0,3-1,1-1,2-0,0-3,1-1,0-2,,3-0,1-1,5-0,1-3,1-3,3-1,1-1,0-2,1-1,1-1,0-2,2-1,0-2,1-1,2-2
15,Milwaukee Bucks,2-2,1-3,1-3,0-4,0-4,1-1,1-1,2-2,1-1,0-2,1-3,1-1,0-2,0-3,,1-1,1-3,2-2,1-3,2-1,0-2,2-0,0-2,1-1,0-2,2-2,0-2,1-1,1-3
16,Minnesota Timberwolves,1-1,0-2,1-1,0-2,0-2,4-0,0-4,1-1,1-3,2-2,1-1,1-3,1-3,1-1,1-1,,1-1,0-2,0-2,1-1,1-3,0-4,3-1,1-3,0-4,1-1,1-3,2-2,0-2
17,New Jersey Nets,0-4,2-2,3-0,0-3,2-1,1-1,2-0,0-4,0-2,0-2,3-1,1-1,0-2,0-5,3-1,1-1,,2-2,0-4,2-2,0-2,1-1,1-1,0-2,0-2,2-2,0-2,2-0,2-2
18,New York Knicks,1-2,4-0,0-3,1-3,1-3,2-0,1-1,4-0,2-0,2-0,3-1,1-1,1-1,3-1,2-2,2-0,2-2,,1-3,3-1,0-2,0-2,0-2,1-1,1-1,4-0,1-1,1-1,3-1
