Rk,Team,BOS,CIN,DET,MNL,NYK,PHW,STL,SYR
1,Boston Celtics,,7-2,8-1,9-0,7-5,6-6,5-4,7-5
2,Cincinnati Royals,2-7,,6-6,8-4,4-5,6-3,3-9,4-5
3,Detroit Pistons,1-8,6-6,,6-6,4-5,5-4,6-6,5-4
4,Minneapolis Lakers,0-9,4-8,6-6,,1-8,3-6,3-9,2-7
5,New York Knicks,5-7,5-4,5-4,8-1,,4-8,3-6,5-7
6,Philadelphia Warriors,6-6,3-6,4-5,6-3,8-4,,7-2,3-9
7,St. Louis Hawks,4-5,9-3,6-6,9-3,6-3,2-7,,5-4
8,Syracuse Nationals,5-7,5-4,4-5,7-2,7-5,9-3,4-5,
