Rk,Team,BOS,FTW,MNL,NYK,PHW,ROC,STL,SYR
1,Boston Celtics,,4-5,7-2,5-7,5-7,5-4,5-4,8-4
2,Fort Wayne Pistons,5-4,,5-7,5-4,4-5,7-5,7-5,4-5
3,Minneapolis Lakers,2-7,7-5,,5-4,3-6,7-5,6-7,4-5
4,New York Knicks,7-5,4-5,4-5,,6-6,6-3,4-5,4-9
5,Philadelphia Warriors,7-5,5-4,6-3,6-6,,6-3,6-3,9-3
6,Rochester Royals,4-5,5-7,5-7,3-6,3-6,,6-6,5-4
7,St. Louis Hawks,4-5,5-7,7-6,5-4,3-6,6-6,,3-6
8,Syracuse Nationals,4-8,5-4,5-4,9-4,3-9,4-5,6-3,
