Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
1,Atlanta Hawks,,3-0,3-0,3-1,2-1,0-1,,1-2,,1-0,3-1,1-0,,0-3,1-2,,1-2,2-1,2-2,2-1,1-0,,,,,2-1,,1-0,2-1
2,Boston Celtics,0-3,,1-2,2-1,2-2,,1-0,0-3,,,0-3,1-0,,3-0,0-3,0-1,1-2,1-2,1-2,1-2,,0-1,0-1,,,1-2,,1-0,3-1
3,Charlotte Hornets,0-3,2-1,,2-1,2-1,,,3-0,0-1,,1-2,,0-1,1-2,2-2,,3-0,1-3,1-2,1-2,1-0,1-0,0-1,,,2-1,1-0,,2-1
4,Chicago Bulls,1-3,1-2,1-2,,0-3,0-1,,0-3,,,0-3,1-0,,1-2,1-3,,2-1,1-2,0-3,1-2,,,,0-1,0-1,1-2,0-1,1-0,1-2
5,Cleveland Cavaliers,1-2,2-2,1-2,3-0,,,,1-2,1-0,0-1,0-3,,1-0,0-3,1-2,,3-0,1-2,1-2,1-2,1-0,,,1-0,,2-2,0-1,,1-2
6,Dallas Mavericks,1-0,,,1-0,,,2-1,0-1,2-2,2-2,,3-0,0-3,0-1,,1-2,0-1,,1-0,,1-3,0-3,2-2,1-3,0-3,,0-3,2-1,
7,Denver Nuggets,,0-1,,,,1-2,,,1-3,0-4,0-1,3-0,1-2,0-1,1-0,0-3,1-0,,,,0-3,0-3,0-3,0-4,2-2,,1-2,3-1,0-1
8,Detroit Pistons,2-1,3-0,0-3,3-0,2-1,1-0,,,,,2-1,,,2-1,2-1,0-1,2-1,2-1,0-4,1-3,1-0,,,0-1,1-0,2-1,1-0,,2-1
9,Golden State Warriors,,,1-0,,0-1,2-2,3-1,,,0-3,1-0,2-1,1-2,,0-1,2-2,,,0-1,,1-2,2-2,1-2,0-3,1-2,,0-4,3-0,1-0
10,Houston Rockets,0-1,,,,1-0,2-2,4-0,,3-0,,,3-1,1-2,0-1,,2-1,1-0,,0-1,,2-2,2-1,3-0,0-3,2-1,1-0,0-3,4-0,
