Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Bob Pettit,26,STL,PF,72,39.9,10.0,22.8,.438,9.3,12.2,.759,16.4,3.1,2.8,29.2,MVP-1ASNBA1,pettibo01
2,Paul Arizin,30,PHW,SF,70,40.0,9.0,20.9,.431,8.4,10.3,.813,9.1,1.7,3.8,26.4,MVP-5ASNBA2,arizipa01
3,Jack Twyman,24,CIN,SF,72,37.7,9.9,23.5,.420,6.1,7.8,.783,9.1,2.9,3.8,25.8,MVP-10AS,twymaja01
4,Elgin Baylor,24,MNL,SF,70,40.8,8.6,21.2,.408,7.6,9.8,.777,15.0,4.1,3.9,24.9,MVP-3ROY-1ASNBA1,bayloel01
5,Cliff Hagan,27,STL,SF,72,37.5,9.0,19.7,.456,5.8,7.4,.774,10.9,3.4,3.8,23.7,MVP-9ASNBA2,hagancl01
6,Dolph Schayes,30,SYR,PF,72,36.7,7.0,18.1,.387,7.3,8.5,.864,13.4,2.5,3.9,21.3,MVP-6ASNBA2,schaydo01
7,Kenny Sears,25,NYK,PF,71,35.2,6.9,14.1,.490,7.1,8.3,.861,9.3,1.9,3.3,21.0,MVP-8AS,searske01
8,Bill Sharman,32,BOS,SG,72,33.1,7.8,19.1,.408,4.8,5.1,.932,4.1,2.5,2.4,20.4,ASNBA1,sharmbi01
9,Bob Cousy,30,BOS,PG,65,37.0,7.4,19.4,.384,5.1,5.9,.855,5.5,8.6,2.1,20.0,MVP-4ASNBA1,cousybo01
10,George Yardley,30,2TM,SF,61,30.1,7.3,17.1,.428,5.2,6.7,.779,7.1,1.1,2.6,19.8,AS,yardlge01
10,George Yardley,30,DET,SF,46,30.8,7.6,18.3,.415,5.6,6.9,.816,7.1,0.9,2.7,20.8,,yardlge01
10,George Yardley,30,SYR,SF,15,28.0,6.4,13.3,.482,3.9,6.1,.648,6.9,1.7,2.5,16.7,,yardlge01
11,Tom Heinsohn,24,BOS,PF,66,31.7,7.0,18.1,.390,4.7,5.9,.798,9.7,2.5,4.1,18.8,,heinsto01
12,Richie Guerin,26,NYK,SG,71,36.0,6.2,14.7,.424,5.7,7.1,.802,7.3,5.1,3.6,18.2,MVP-11ASNBA2,gueriri01
13,Red Kerr,26,SYR,C,72,37.1,7.0,15.8,.441,3.9,5.1,.766,14.0,2.0,2.5,17.8,AS,kerrre01
14,Gene Shue,27,DET,PG,72,38.1,6.4,16.6,.388,4.7,5.8,.803,4.7,3.2,1.8,17.6,MVP-14AS,shuege01
15,Bill Russell,24,BOS,C,70,42.6,6.5,14.2,.457,3.7,6.1,.598,23.0,3.2,2.3,16.7,MVP-2ASNBA1,russebi01
16,Larry Costello,27,SYR,PG,70,39.3,5.9,13.5,.437,4.0,5.0,.802,5.2,5.4,3.8,15.8,MVP-7AS,costela01
17,Willie Naulls,24,NYK,SF,68,30.3,6.0,15.8,.378,3.8,4.6,.830,10.6,1.5,3.4,15.7,,naullwi01
18,Frank Ramsey,27,BOS,SG,72,28.0,5.3,14.1,.378,4.7,6.1,.782,6.8,2.0,3.7,15.4,,ramsefr01
19,Woody Sauldsberry,24,PHW,C,72,38.1,7.0,19.2,.363,1.5,2.4,.625,11.5,1.0,3.8,15.4,AS,sauldwo01
20,Joe Graboski,29,PHW,PF,72,34.5,5.5,15.5,.353,3.8,5.0,.750,10.4,2.1,3.5,14.7,,grabojo01
21,Clyde Lovellette,29,STL,C,70,22.8,5.7,12.6,.454,2.9,3.6,.820,8.6,1.3,3.1,14.4,,lovelcl01
22,Phil Jordon,25,DET,PF,72,28.6,5.5,13.4,.413,3.2,4.2,.762,8.3,1.2,2.7,14.3,,jordoph01
23,Tom Gola,26,PHW,SG,64,36.5,4.8,12.1,.401,4.4,5.6,.787,11.1,4.2,3.8,14.1,MVP-11,golato01
24,Vern Mikkelsen,30,MNL,PF,72,29.7,4.9,12.6,.390,4.0,4.9,.806,7.9,2.2,3.4,13.8,,mikkeve01
25,Dick Garmaker,26,MNL,SG,72,34.6,4.9,12.3,.395,3.9,5.1,.772,4.5,2.9,3.1,13.7,AS,garmadi01
26,Walter Dukes,28,DET,C,72,32.5,4.4,12.6,.352,4.1,6.3,.657,13.3,0.9,4.6,13.0,,dukeswa01
27,Johnny McCarthy,24,CIN,PG,47,38.9,5.2,14.0,.373,2.5,3.7,.667,4.8,4.8,3.4,12.9,,mccarjo01
28,Larry Foust,30,MNL,C,72,26.8,4.2,10.7,.390,3.9,5.1,.765,8.7,1.3,3.2,12.3,AS,foustla01
29,Ed Conlin,25,2TM,SG,72,27.2,4.6,12.4,.369,2.7,3.8,.719,5.5,1.8,2.6,11.9,,conlied01
29,Ed Conlin,25,SYR,,57,28.1,4.6,12.6,.365,2.7,3.7,.739,5.3,2.0,2.7,11.9,,conlied01
29,Ed Conlin,25,DET,SG,15,23.6,4.5,11.7,.389,2.7,4.2,.651,6.1,1.1,2.1,11.8,,conlied01
30,Wayne Embry,21,CIN,C,66,24.1,4.1,10.6,.387,3.1,4.8,.656,9.0,1.5,3.5,11.4,,embrywa01
31,Hal Greer,22,SYR,SG,68,23.9,4.5,10.0,.454,2.0,2.6,.778,2.9,1.5,2.8,11.1,,greerha01
32,Sam Jones,25,BOS,SG,71,20.6,4.3,9.9,.434,2.1,2.8,.770,6.0,1.4,1.4,10.7,,jonessa01
33,Guy Rodgers,23,PHW,PG,45,34.8,4.7,11.9,.394,1.4,2.5,.545,6.2,5.8,2.9,10.7,,rodgegu01
34,Dave Piontek,24,CIN,PF,72,23.3,4.2,11.3,.375,2.2,3.2,.687,5.3,1.7,2.3,10.6,,piontda01
35,Carl Braun,31,NYK,PG,72,27.2,4.0,9.5,.420,2.5,3.0,.826,3.5,4.8,2.5,10.5,,braunca01
36,Ray Felix,28,NYK,C,72,22.1,3.6,9.7,.371,3.2,4.5,.713,7.9,0.7,3.8,10.4,,felixra01
37,Jim Palmer,25,CIN,C,67,24.2,3.8,9.4,.404,2.7,3.7,.724,7.0,1.0,3.1,10.3,,palmeji01
38,Bucky Bockhorn,25,CIN,SG,71,31.7,4.1,10.9,.381,1.9,2.8,.704,6.5,2.9,3.0,10.2,,bockhbu01
39,Al Bianchi,26,SYR,PG,72,24.7,4.0,10.5,.377,2.1,2.9,.723,2.8,2.2,3.6,10.0,MVP-14,biancal01
40,Bob Hopkins,24,SYR,PF,67,22.7,3.7,9.1,.403,2.6,3.5,.752,6.5,1.0,2.7,10.0,,hopkibo01
41,Frank Selvy,26,NYK,SG,68,21.3,3.4,8.9,.385,3.0,3.9,.767,3.6,1.4,1.7,9.8,,selvyfr01
