Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
42,Slater Martin,33,STL,PG,71,35.3,3.5,9.9,.347,2.8,3.6,.776,3.6,4.7,3.2,9.7,ASNBA2,martisl01
43,Hot Rod Hundley,24,MNL,PG,71,23.4,3.6,10.1,.360,2.3,3.1,.752,3.5,2.9,2.0,9.6,,hundlho01
44,Slick Leonard,26,MNL,PG,58,27.6,3.6,9.5,.373,2.1,2.8,.750,3.1,3.2,2.1,9.2,,leonasl01
45,Dick McGuire,33,DET,PG,71,29.1,3.3,7.6,.427,2.7,3.6,.740,4.0,6.2,2.1,9.2,MVP-11AS,mcguidi01
46,Jim Krebs,23,MNL,C,72,21.9,3.8,9.4,.399,1.3,1.7,.748,6.8,0.7,2.9,8.8,,krebsji01
47,Charlie Tyra,23,NYK,C,69,23.0,3.5,8.8,.396,1.9,2.8,.679,7.0,0.5,2.6,8.8,,tyrach01
48,Jack George,30,2TM,PG,71,26.5,3.3,9.5,.346,2.2,2.9,.754,4.1,3.1,2.1,8.7,,georgja01
48,Jack George,30,PHW,PG,46,30.2,3.7,10.9,.341,2.4,3.3,.730,4.6,3.6,2.1,9.8,,georgja01
48,Jack George,30,NYK,PG,25,19.8,2.5,6.9,.358,1.7,2.0,.824,3.3,2.2,2.0,6.6,,georgja01
49,Si Green,25,2TM,PG,46,24.1,3.2,9.0,.352,2.3,3.5,.650,5.5,2.5,2.8,8.6,,greensi01
49,Si Green,25,CIN,,20,33.3,5.0,13.4,.373,2.5,3.7,.685,7.0,4.3,3.3,12.5,,greensi01
49,Si Green,25,STL,PG,26,17.0,1.8,5.7,.313,2.1,3.3,.621,4.3,1.1,2.4,5.6,,greensi01
50,Joe Holup,24,DET,SF,68,22.1,3.1,8.5,.360,2.2,2.9,.760,5.2,1.1,3.5,8.4,,holupjo01
51,Earl Lloyd,30,DET,SF,72,24.9,3.3,9.3,.349,1.9,2.5,.753,6.9,1.3,4.0,8.4,,lloydea01
52,Togo Palazzi,26,SYR,SF,71,14.8,3.4,8.6,.392,1.6,2.2,.728,3.7,0.9,2.5,8.4,,palazto01
53,Jim Loscutoff,28,BOS,SF,66,25.5,3.7,10.4,.353,0.9,1.3,.738,7.0,0.9,4.3,8.3,,loscuji01
54,Archie Dees,22,CIN,PF,68,18.4,2.9,8.3,.356,2.3,3.0,.779,5.0,0.8,1.7,8.2,,deesar01
55,Jack McMahon,30,STL,SG,72,31.0,3.4,9.6,.358,1.3,2.2,.615,2.3,4.1,3.1,8.2,,mcmahja01
56,Ron Sobie,24,NYK,PG,50,17.1,2.9,8.0,.360,2.2,2.7,.842,3.1,1.6,1.7,8.0,,sobiero01
57,Chuck Noble,27,DET,SG,65,14.4,2.9,8.6,.338,1.3,1.7,.735,1.8,1.8,1.9,7.1,,noblech01
58,Dick Farley,26,DET,SG,70,18.3,2.5,6.4,.395,2.0,2.7,.737,2.8,1.8,1.9,7.0,,farledi01
59,Andy Johnson,26,PHW,SF,67,17.3,2.6,7.0,.373,1.7,2.9,.602,3.2,1.3,2.6,6.9,,johnsan01
60,Med Park,25,2TM,SG,62,18.2,2.3,5.8,.402,1.9,2.4,.767,3.0,1.7,1.5,6.5,,parkme01
60,Med Park,25,STL,SG,29,7.9,1.2,2.9,.405,0.6,0.8,.750,1.3,1.0,0.8,3.0,,parkme01
60,Med Park,25,CIN,SG,33,27.2,3.4,8.4,.401,2.9,3.8,.770,4.5,2.4,2.2,9.7,,parkme01
61,Ed Fleming,25,MNL,SG,71,15.9,2.3,5.9,.387,1.9,2.7,.721,4.0,1.3,2.1,6.5,,flemied01
62,Shellie McMillon,22,DET,PF,48,14.6,2.6,6.0,.439,1.1,2.2,.529,5.9,0.5,2.3,6.4,,mcmilsh01
63,Neil Johnston,29,PHW,C,28,14.0,1.9,5.9,.329,2.5,3.1,.784,5.0,0.8,1.8,6.3,,johnsne01
64,Mike Farmer,22,NYK,SF,72,21.5,2.4,6.9,.353,1.2,1.4,.838,4.4,0.9,2.1,6.0,,farmemi01
65,Chuck Share,31,STL,C,72,23.8,2.0,5.3,.386,1.9,2.6,.755,9.1,1.4,3.6,6.0,,sharech01
66,Vern Hatton,23,2TM,PG,64,17.3,2.3,6.5,.356,1.2,1.6,.733,2.8,1.1,1.7,5.9,,hattove01
66,Vern Hatton,23,CIN,,22,29.9,3.0,9.4,.319,1.5,2.3,.667,3.7,1.4,2.5,7.5,,hattove01
66,Vern Hatton,23,PHW,PG,42,10.8,2.0,5.0,.393,1.0,1.3,.796,2.3,1.0,1.3,5.0,,hattove01
67,Boo Ellis,22,MNL,PF,72,16.7,2.3,5.3,.430,1.4,2.0,.708,5.3,0.8,1.9,5.9,,ellisbo01
68,Al Ferrari,25,STL,SG,72,16.5,1.9,5.3,.348,2.0,2.8,.729,2.0,1.7,2.2,5.7,,ferraal01
69,Ernie Beck,27,PHW,SG,70,14.5,2.3,6.0,.390,0.6,0.9,.662,2.5,1.3,1.8,5.3,,becker01
70,Phil Rollins,25,2TM,,44,15.7,1.9,5.3,.359,1.4,2.0,.700,2.7,2.3,1.1,5.2,,rolliph01
70,Phil Rollins,25,PHW,,23,10.9,1.3,3.8,.333,1.2,2.0,.622,1.3,1.9,0.8,3.7,,rolliph01
70,Phil Rollins,25,CIN,PG,21,21.0,2.6,6.9,.375,1.7,2.1,.778,4.1,2.8,1.4,6.8,,rolliph01
71,Guy Sparrow,26,2TM,PF,67,12.6,1.9,6.1,.318,1.2,2.1,.565,3.6,1.0,2.4,5.0,,sparrgu01
71,Guy Sparrow,26,NYK,,44,13.8,2.2,7.0,.312,1.3,2.2,.582,4.3,1.0,2.6,5.7,,sparrgu01
71,Guy Sparrow,26,PHW,PF,23,10.2,1.4,4.3,.337,0.9,1.7,.525,2.5,1.0,1.9,3.8,,sparrgu01
72,Hub Reed,22,STL,C,65,14.6,2.1,4.9,.429,0.8,1.1,.746,4.9,0.5,2.6,5.0,,reedhu01
73,George Dempsey,29,2TM,PG,57,12.2,1.6,3.8,.428,1.4,1.9,.764,2.8,1.2,1.7,4.6,,dempsge01
73,George Dempsey,29,PHW,PG,23,12.3,1.6,3.3,.480,1.0,1.4,.697,2.6,1.4,1.3,4.1,,dempsge01
73,George Dempsey,29,SYR,PG,34,12.1,1.6,4.1,.400,1.7,2.1,.795,2.9,1.1,1.9,5.0,,dempsge01
74,Connie Dierking,22,SYR,C,64,11.3,1.6,4.5,.362,1.3,2.2,.593,3.6,0.5,2.3,4.6,,dierkco01
75,Ed Macauley,30,STL,C,14,14.0,1.6,5.4,.293,1.5,2.5,.600,2.9,0.9,1.4,4.6,,macaued01
76,Bennie Swain,25,BOS,PF,58,12.2,1.7,4.2,.406,1.2,1.9,.609,4.5,0.5,2.2,4.6,,swainbe01
77,Steve Hamilton,24,MNL,SF,67,12.6,1.6,4.4,.371,1.1,1.6,.679,3.3,0.5,2.1,4.4,,hamilst01
78,Paul Seymour,31,SYR,SG,21,12.7,1.5,4.7,.327,1.2,1.4,.897,1.9,1.7,1.2,4.3,,seymopa01
79,Larry Staverman,22,CIN,PF,57,11.9,1.8,3.8,.470,0.8,1.0,.763,3.8,0.9,1.8,4.3,,stavela01
80,Gene Conley,28,BOS,PF,50,13.3,1.7,5.2,.328,0.7,1.3,.578,5.5,0.4,2.3,4.2,,conlege01
81,Lou Tsioropoulos,28,BOS,SF,35,13.9,1.7,5.4,.316,0.7,0.9,.758,3.1,0.6,2.1,4.1,,tsiorlo01
82,Win Wilfong,25,STL,PG,63,11.8,1.6,4.5,.347,1.0,1.3,.756,1.9,0.8,1.6,4.1,,wilfowi01
83,Jack Parr,22,CIN,C,66,15.7,1.7,4.7,.355,0.7,1.1,.603,4.2,0.8,2.1,4.0,,parrja01
84,Lennie Rosenbluth,26,PHW,SF,29,7.1,1.5,5.0,.297,0.7,1.0,.724,1.9,0.2,0.7,3.7,,rosenle01
85,Tom Marshall,28,CIN,SF,18,15.1,1.3,4.4,.291,1.0,1.6,.621,2.9,1.5,1.2,3.6,,marshto01
86,Barney Cable,23,DET,PF,31,8.7,1.4,4.1,.341,0.7,0.9,.793,2.8,0.4,1.0,3.5,,cableba01
87,K.C. Jones,26,BOS,PG,49,12.4,1.3,3.9,.339,0.8,1.4,.603,2.6,1.4,1.2,3.5,,joneskc01
88,Pete Brennan,22,NYK,,16,8.5,0.8,2.7,.302,0.9,1.6,.560,1.9,0.4,0.9,2.5,,brennpe01
89,Jerry Bird,23,NYK,,11,4.1,1.1,2.9,.375,0.1,0.1,1.000,1.1,0.4,0.6,2.3,,birdje01
90,Tommy Kearns,22,SYR,,1,7.0,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,1.0,2.0,,kearnto01
91,Dave Gambee,21,STL,SF,2,3.5,0.5,0.5,1.000,0.0,0.0,,1.0,0.0,1.0,1.0,,gambeda01
92,Brendan McCann,23,NYK,PG,1,7.0,0.0,3.0,.000,0.0,0.0,,1.0,1.0,1.0,0.0,,mccanbr01
