Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
51,Happy Hairston,31,LAL,PF,77,,34.2,5.0,9.9,.507,4.5,5.8,.771,4.4,9.2,13.5,2.7,0.8,0.2,3.4,14.5,,hairsha01
52,Norm Van Lier,26,CHI,PG,80,78,35.8,5.3,13.1,.406,3.6,4.6,.778,1.4,3.3,4.7,6.9,2.0,0.1,3.5,14.3,MVP-9ASNBA2,vanlino01
53,Sam Lacey,25,KCO,C,79,,39.3,5.9,12.4,.476,2.3,3.1,.749,3.7,9.6,13.4,3.8,1.6,2.3,3.2,14.2,,laceysa01
54,Herm Gilliam,27,ATL,PG,62,,32.3,6.2,13.6,.454,1.7,2.2,.791,1.0,3.3,4.3,5.7,2.2,0.3,3.1,14.1,,gillihe01
55,Bill Bradley,30,NYK,SF,82,82,34.3,6.1,13.6,.451,1.8,2.0,.874,0.7,2.4,3.1,3.0,0.5,0.3,3.4,14.0,,bradlbi01
56,Earl Monroe,29,NYK,SG,41,41,29.1,5.9,12.5,.468,2.3,2.8,.823,0.5,2.4,3.0,2.7,0.8,0.5,2.4,14.0,,monroea01
57,Kevin Porter,23,CAP,PG,81,,28.9,5.9,12.3,.478,2.2,3.1,.723,1.0,1.2,2.2,5.8,1.2,0.1,3.9,14.0,,porteke01
58,Rick Roberson,26,POR,C,69,,29.9,5.3,11.6,.457,3.0,4.6,.649,3.6,6.5,10.2,1.9,0.9,0.8,3.7,13.5,,roberri01
59,Jerry Sloan,31,CHI,SG,77,77,37.1,5.4,12.0,.447,2.5,3.5,.711,1.9,5.3,7.2,1.9,2.4,0.1,3.5,13.2,,sloanje01
60,Walt Bellamy,34,ATL,C,77,,31.7,5.1,10.4,.486,3.0,5.0,.608,3.4,6.2,9.6,2.5,0.7,0.6,3.0,13.1,,bellawa01
61,Archie Clark,32,CAP,PG,56,,31.9,5.6,12.1,.467,1.8,2.3,.786,0.8,1.7,2.5,5.1,1.1,0.1,2.2,13.1,,clarkar01
62,Don Kojis,35,KCO,SF,77,,27.2,5.2,10.9,.478,2.7,3.5,.772,1.6,3.3,5.0,1.4,1.0,0.2,2.0,13.1,,kojisdo01
63,Nate Thurmond,32,GSW,C,62,,39.7,5.0,11.2,.444,3.1,4.6,.666,4.0,10.1,14.2,2.7,0.7,2.9,2.9,13.0,MVP-8AS,thurmna01
64,Oscar Robertson,35,MIL,PG,70,,35.4,4.8,11.0,.438,3.0,3.6,.835,1.0,3.0,4.0,6.4,1.1,0.1,1.9,12.7,,roberos01
65,Connie Hawkins,31,2TM,SF,79,,34.9,5.1,10.2,.501,2.4,3.2,.761,2.2,4.9,7.2,5.2,1.4,1.0,2.8,12.6,,hawkico01
65,Connie Hawkins,31,PHO,SF,8,,27.9,4.5,9.3,.486,2.3,3.4,.667,1.8,3.6,5.4,3.5,1.0,0.4,2.5,11.3,,hawkico01
65,Connie Hawkins,31,LAL,SF,71,,35.7,5.2,10.3,.502,2.4,3.2,.772,2.3,5.1,7.4,5.3,1.5,1.1,2.9,12.8,,hawkico01
66,John Brisker,26,SEA,SF,35,,20.5,5.1,11.3,.449,2.3,2.9,.820,1.7,2.5,4.2,1.6,0.8,0.2,2.0,12.5,,briskjo01
67,Dwight Davis,24,CLE,PF,76,,32.6,4.9,11.3,.436,2.6,3.6,.719,2.3,6.2,8.5,2.4,0.8,1.0,3.8,12.5,,davisdw01
68,Elmore Smith,24,LAL,C,81,,36.1,5.4,11.7,.457,1.8,3.1,.590,2.5,8.7,11.2,1.9,0.9,4.9,3.8,12.5,,smithel01
69,Jack Marin,29,2TM,SF,74,,24.1,4.8,9.6,.501,2.1,2.4,.855,0.8,2.3,3.1,2.3,0.6,0.4,2.9,11.7,,marinja01
69,Jack Marin,29,HOU,SF,47,,23.4,4.5,9.4,.474,1.7,2.1,.837,0.6,1.6,2.3,2.6,0.5,0.2,2.6,10.7,,marinja01
69,Jack Marin,29,BUF,SF,27,,25.2,5.4,9.9,.545,2.6,3.0,.877,1.1,3.4,4.5,1.7,0.9,0.7,3.4,13.4,,marinja01
70,Jim Barnett,29,GSW,SG,77,,21.9,4.5,9.8,.464,2.4,2.9,.814,1.0,1.9,2.9,2.7,0.7,0.1,1.9,11.5,,barneji02
71,Don Nelson,33,BOS,SF,82,,21.3,4.4,8.7,.508,2.6,3.3,.788,1.1,3.1,4.2,2.0,0.2,0.2,2.3,11.5,,nelsodo01
72,Paul Silas,30,BOS,PF,82,,31.7,4.1,9.4,.440,3.2,4.1,.783,4.1,7.1,11.2,2.3,0.8,0.2,3.0,11.5,,silaspa01
73,Jim Fox,30,SEA,C,78,,27.9,4.1,8.6,.478,3.1,3.8,.823,3.1,6.0,9.2,2.9,0.7,0.3,3.2,11.3,,foxji01
74,Clem Haskins,30,PHO,SG,81,,22.5,4.5,9.8,.460,2.1,2.5,.842,1.0,1.8,2.7,3.2,1.0,0.2,2.0,11.1,,haskicl01
75,Phil Jackson,28,NYK,PF,82,21,25.0,4.4,9.2,.477,2.3,3.0,.776,1.5,4.3,5.8,1.6,0.5,0.8,3.4,11.1,,jacksph01
76,Willis Reed,31,NYK,C,19,17,26.3,4.4,9.7,.457,2.2,2.8,.792,2.5,4.9,7.4,1.6,0.6,1.1,2.6,11.1,,reedwi01
77,Ron Behagen,23,KCO,PF,80,,25.7,4.5,10.3,.432,2.0,2.7,.764,2.4,4.7,7.1,1.7,0.7,0.5,3.6,11.0,ROY-2,behagro01
78,Zaid Abdul-Aziz,27,HOU,C,79,,31.1,4.3,9.3,.459,2.4,3.0,.804,3.3,8.4,11.7,2.1,1.0,1.3,2.9,10.9,,abdulza01
79,Dick Gibbs,25,SEA,SF,71,,21.5,4.3,9.9,.431,2.3,2.8,.806,1.3,1.9,3.1,1.1,0.5,0.3,2.7,10.8,,gibbsdi01
80,Curtis Rowe,24,DET,PF,82,,30.5,4.6,9.4,.494,1.4,2.1,.698,2.0,4.2,6.3,1.7,0.6,0.4,2.2,10.7,,rowecu01
81,Don Chaney,27,BOS,SG,81,,27.9,4.3,9.3,.464,1.8,2.2,.828,2.6,2.1,4.7,2.2,1.0,0.8,3.0,10.4,,chanedo01
82,Don Adams,26,DET,SF,74,,31.1,4.1,10.0,.408,2.1,2.7,.761,1.8,4.3,6.1,1.9,1.5,0.2,3.3,10.3,,adamsdo01
83,Butch Beard,26,GSW,PG,79,,27.0,4.0,7.8,.512,2.2,3.0,.739,1.7,3.2,4.9,3.8,1.3,0.1,3.1,10.2,,beardbu01
84,Mike Bantom,22,PHO,PF,76,,26.1,4.1,10.4,.399,1.9,2.8,.662,2.3,4.6,6.8,2.1,0.7,0.6,3.8,10.1,,bantomi01
85,Larry Jones,31,PHI,PG,72,60,26.1,3.7,8.6,.423,2.7,3.3,.838,1.0,1.6,2.6,3.2,1.2,0.3,1.6,10.0,,jonesla01
86,Jim Washington,30,ATL,PF,73,,34.5,4.1,8.4,.485,1.8,2.7,.684,2.8,7.2,10.1,2.1,0.7,1.0,3.4,10.0,,washiji01
87,Leroy Ellis,33,PHI,C,81,81,35.0,4.0,8.9,.452,1.8,2.4,.750,3.6,7.4,11.0,2.3,1.1,1.1,2.8,9.9,,ellisle01
88,Cliff Meely,26,HOU,PF,77,,22.8,4.3,10.0,.427,1.2,1.8,.643,1.3,4.4,5.7,1.6,0.7,1.0,3.0,9.7,,meelycl01
89,Larry Steele,24,POR,SG,81,,32.7,4.0,8.4,.478,1.7,2.1,.789,1.1,2.7,3.8,4.0,2.7,0.4,3.6,9.7,,steella01
90,Freddie Boyd,23,PHI,PG,75,26,24.2,3.8,9.5,.402,1.9,2.6,.723,0.2,1.0,1.2,3.3,0.8,0.1,2.3,9.5,,boydfr01
91,Pat Riley,28,LAL,SG,72,,18.9,4.0,9.3,.430,1.5,2.0,.764,0.5,1.3,1.8,2.1,0.8,0.0,2.4,9.5,,rileypa01
92,Howard Porter,25,CHI,SF,73,4,16.8,4.1,9.0,.450,1.3,1.6,.800,1.2,2.7,3.9,0.4,0.3,0.5,1.6,9.4,,porteho01
93,John Brown,22,ATL,SF,77,,22.3,3.6,8.2,.438,2.1,2.8,.751,2.3,3.4,5.7,1.5,0.4,0.2,3.1,9.3,,brownjo01
94,Clifford Ray,25,CHI,C,80,72,32.9,3.9,7.7,.511,1.5,2.5,.608,3.6,8.7,12.2,3.1,0.7,2.2,3.5,9.3,MVP-11,raycl01
95,George Trapp,25,DET,PF,82,,18.2,4.1,8.5,.481,1.2,1.6,.739,1.2,2.6,3.8,1.0,0.6,0.4,2.8,9.3,,trappge01
96,Jon McGlocklin,30,MIL,SG,79,,24.2,4.2,8.8,.475,0.9,1.0,.900,0.4,1.3,1.8,3.1,0.5,0.1,1.6,9.2,,mcglojo01
97,Curtis Perry,25,MIL,PF,81,,29.5,4.0,9.0,.446,1.0,1.7,.582,3.0,5.7,8.7,2.3,1.3,1.2,3.7,9.0,,perrycu01
98,Stu Lantz,27,DET,SG,50,,19.6,3.1,7.2,.427,2.8,3.3,.848,0.7,1.6,2.3,1.9,0.8,0.1,1.6,8.9,,lantzst01
99,John Mengelt,24,DET,SG,77,,20.2,3.2,7.2,.446,2.4,3.0,.795,0.5,2.2,2.7,1.9,0.9,0.1,2.1,8.8,,mengejo01
100,John Block,29,KCO,PF,82,,21.7,3.4,7.7,.434,2.0,2.5,.796,1.6,3.2,4.7,1.1,0.8,0.4,2.8,8.7,,blockjo01
101,Bob Weiss,31,CHI,SG,79,11,21.6,3.3,7.1,.466,1.8,2.2,.835,0.4,0.9,1.3,3.8,1.3,0.2,2.0,8.5,,weissbo01
102,Bill Bridges,34,LAL,PF,65,,27.9,3.3,7.9,.421,1.8,2.5,.707,3.0,4.7,7.7,2.3,0.9,0.5,3.4,8.4,,bridgbi01
103,Dean Meminger,25,NYK,SG,78,50,26.7,3.5,6.9,.508,1.3,2.1,.644,1.6,2.0,3.6,2.1,0.8,0.1,2.1,8.3,,meminde01
104,Corky Calhoun,23,PHO,SF,77,,28.7,3.5,7.5,.461,1.3,1.7,.760,1.5,3.8,5.3,1.8,0.9,0.4,3.3,8.2,,calhoco01
105,Doug Collins,22,PHI,SG,25,0,17.4,2.9,7.8,.371,2.2,2.9,.764,0.3,1.6,1.8,1.6,0.5,0.1,2.6,8.0,,collido01
106,Dwight Jones,21,ATL,PF,74,,19.6,3.2,6.8,.474,1.6,2.1,.744,2.0,4.2,6.1,1.2,0.4,0.9,2.7,8.0,,jonesdw01
107,Willie Norwood,26,DET,SF,74,,15.9,3.3,6.5,.510,1.3,1.9,.664,1.3,1.8,3.1,0.8,0.8,0.1,2.1,8.0,,norwowi01
108,Slick Watts,22,SEA,PG,62,,23.0,3.2,8.2,.388,1.6,2.5,.645,1.2,1.8,2.9,5.7,1.9,0.2,3.3,8.0,ROY-3,wattssl01
109,Steve Patterson,25,CLE,C,76,,25.1,3.4,7.9,.437,0.9,1.5,.616,2.9,5.2,8.1,2.2,0.6,0.8,2.5,7.8,,pattest01
110,Lloyd Neal,23,POR,PF,80,,19.0,3.1,6.3,.490,1.5,2.1,.696,1.9,4.3,6.2,1.1,0.6,0.9,2.4,7.6,,nealll01
111,Nick Weatherspoon,23,CAP,SF,65,,18.7,3.1,7.4,.412,1.5,2.1,.691,2.0,4.1,6.1,0.6,0.7,0.2,2.8,7.6,,weathni01
112,Henry Bibby,24,NYK,PG,66,1,14.9,3.2,7.0,.452,1.1,1.3,.830,0.7,1.3,2.0,1.4,1.0,0.0,1.9,7.5,,bibbyhe01
113,Toby Kimball,31,PHI,PF,75,1,21.2,2.9,6.1,.474,1.7,2.5,.686,2.5,4.9,7.4,1.0,0.7,0.3,2.7,7.5,,kimbato01
114,Ed Ratleff,23,HOU,SF,81,,21.9,3.1,7.2,.434,1.3,1.6,.798,1.1,2.4,3.5,2.2,1.1,0.3,2.2,7.5,,ratleed01
115,Kenny McIntosh,25,SEA,SF,69,,29.8,3.2,8.3,.389,0.9,1.6,.607,1.6,3.6,5.2,1.4,0.8,0.4,2.6,7.4,,mcintke01
116,Steve Bracey,23,ATL,PG,75,,19.5,3.2,6.9,.463,0.9,1.3,.719,0.3,1.6,1.9,3.1,0.8,0.1,2.1,7.3,,bracest01
117,John Gianelli,23,NYK,C,70,41,20.3,3.0,6.2,.479,1.3,1.7,.760,1.6,3.3,4.9,1.1,0.3,0.6,2.3,7.3,,gianejo01
118,Charles Johnson,24,GSW,PG,59,,17.8,3.3,7.9,.415,0.6,0.9,.691,0.8,2.1,3.0,1.7,1.1,0.1,1.9,7.2,,johnsch01
119,Gary Melchionni,23,PHO,PG,69,,18.1,2.9,6.4,.460,1.3,1.6,.860,0.7,1.4,2.1,2.1,0.6,0.1,1.2,7.2,,melchga01
120,Bob Rule,29,CLE,C,26,,20.8,2.9,7.4,.396,1.3,1.8,.739,1.7,2.3,4.0,1.8,0.5,0.4,2.7,7.2,,rulebo01
121,Paul Westphal,23,BOS,SG,82,,14.2,2.9,5.8,.501,1.4,1.9,.732,0.6,1.1,1.7,2.1,0.5,0.4,2.1,7.2,,westppa01
122,Chris Ford,25,DET,SG,82,,25.1,3.2,7.3,.444,0.7,0.9,.740,1.3,2.4,3.7,3.4,1.8,0.2,1.9,7.1,,fordch01
123,Jim Cleamons,24,CLE,PG,81,,20.3,2.9,6.7,.433,1.1,1.6,.699,0.8,2.1,2.8,2.8,0.8,0.2,1.9,7.0,,cleamji01
124,Bernie Fryer,24,POR,SG,80,,20.9,2.8,6.1,.460,1.3,1.7,.793,0.8,1.2,2.0,3.5,1.2,0.1,2.3,7.0,,fryerbe01
125,Don May,28,PHI,SF,56,4,14.5,2.7,6.6,.414,1.6,1.8,.873,0.4,2.0,2.4,1.1,0.4,0.1,2.4,7.0,,maydo01
126,John Hummer,25,2TM,PF,53,0,21.1,2.7,5.8,.472,1.1,2.3,.476,1.6,3.8,5.3,2.0,0.5,0.4,2.2,6.5,,hummejo01
126,John Hummer,25,CHI,PF,18,0,10.3,1.3,2.6,.500,0.8,1.6,.500,0.7,1.3,2.1,0.7,0.2,0.1,1.7,3.3,,hummejo01
126,John Hummer,25,SEA,PF,35,,26.7,3.5,7.4,.467,1.3,2.7,.469,2.0,5.0,7.0,2.7,0.7,0.6,2.5,8.2,,hummejo01
127,Ollie Johnson,24,POR,SF,79,,21.7,2.6,5.5,.482,1.0,1.2,.819,1.5,2.6,4.1,2.1,0.8,0.4,2.3,6.3,,johnsol01
128,Bud Stallworth,24,SEA,SF,67,,15.2,2.8,7.1,.392,0.7,1.1,.623,0.8,1.8,2.6,0.5,0.3,0.2,1.9,6.3,,stallbu01
129,Ron Williams,29,MIL,PG,71,,15.9,2.7,5.5,.489,0.8,1.0,.882,0.3,0.7,1.0,2.2,0.7,0.0,1.6,6.3,,williro01
130,Larry Cannon,26,PHI,SG,19,0,17.6,2.6,6.7,.386,1.0,1.5,.679,0.8,1.1,1.9,2.7,0.4,0.2,2.5,6.2,,cannola01
131,Jerry Lucas,33,NYK,C,73,14,22.3,2.7,5.8,.462,0.9,1.3,.698,0.8,4.3,5.1,3.2,0.4,0.3,1.8,6.2,,lucasje01
132,Jim Brewer,22,CLE,PF,82,,22.7,2.6,6.7,.383,1.0,1.5,.650,2.5,3.9,6.4,1.8,0.6,0.4,2.3,6.1,,breweji01
133,George Johnson,25,GSW,C,66,,19.6,2.6,5.4,.483,0.9,1.6,.551,2.9,5.0,7.9,1.1,0.5,1.9,2.7,6.1,,johnsge02
134,Bob Kauffman,27,BUF,PF,74,,17.6,2.3,4.9,.467,1.4,2.0,.713,1.3,3.1,4.4,1.9,0.5,0.2,2.1,6.1,,kauffbo01
135,Cornell Warner,25,2TM,C,72,,19.5,2.4,4.8,.499,1.2,1.6,.746,1.5,4.0,5.5,1.0,0.4,0.6,2.8,6.0,,warneco01
135,Cornell Warner,25,CLE,C,5,,9.8,0.4,2.6,.154,0.8,0.8,1.000,1.0,2.4,3.4,0.8,0.0,0.4,1.4,1.6,,warneco01
135,Cornell Warner,25,MIL,C,67,,20.2,2.6,5.0,.512,1.2,1.6,.736,1.5,4.2,5.7,1.0,0.4,0.6,2.9,6.3,,warneco01
136,Mickey Davis,23,MIL,SF,73,,13.9,2.3,4.6,.504,1.3,1.5,.830,1.1,2.0,3.1,1.2,0.4,0.1,1.3,5.9,,davismi02
137,Clyde Lee,29,GSW,PF,54,,30.4,2.4,5.3,.454,1.1,2.0,.579,3.5,7.6,11.1,1.3,0.5,0.3,3.3,5.9,MVP-17,leecl01
138,Wes Unseld,27,CAP,C,56,,30.8,2.6,5.9,.438,0.6,1.0,.655,2.7,6.5,9.2,2.8,1.0,0.3,2.2,5.9,,unselwe01
139,Larry McNeill,23,KCO,PF,54,,9.6,2.0,4.1,.482,1.8,2.6,.707,1.1,1.6,2.7,0.4,0.6,0.1,1.4,5.8,,mcneila01
140,Matt Guokas,29,3TM,SG,75,,24.9,2.6,5.3,.492,0.5,0.8,.650,0.4,1.2,1.6,3.2,0.7,0.3,2.0,5.7,,guokama02
140,Matt Guokas,29,KCO,SG,9,,35.0,4.6,9.2,.494,0.9,1.3,.667,0.2,2.1,2.3,4.0,0.9,0.1,2.3,10.0,,guokama02
140,Matt Guokas,29,HOU,SG,39,,25.8,2.4,5.2,.458,0.5,0.7,.750,0.4,1.1,1.5,3.4,0.7,0.4,1.9,5.3,,guokama02
140,Matt Guokas,29,BUF,SG,27,,20.3,2.3,4.1,.555,0.4,0.7,.500,0.4,1.0,1.5,2.6,0.7,0.2,2.1,4.9,,guokama02
141,Mo Layton,25,POR,PG,22,,14.9,2.5,5.1,.491,0.6,1.2,.538,0.3,1.2,1.5,2.3,0.4,0.0,2.0,5.6,,laytomo01
142,Stan Love,24,LAL,PF,51,,13.7,2.3,5.5,.428,1.0,1.3,.766,1.1,2.3,3.3,0.9,0.5,0.4,2.6,5.6,,lovest01
143,Bill Chamberlain,24,PHO,SF,28,,13.1,2.0,4.6,.438,1.4,2.0,.696,1.2,1.7,2.9,1.3,0.7,0.4,2.6,5.5,,chambbi01
144,Barry Clemens,30,CLE,SF,71,,12.9,2.3,4.9,.471,0.9,1.0,.849,0.6,1.7,2.3,1.1,0.5,0.0,1.9,5.5,,clemeba01
