Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
1,Bob McAdoo,22,BUF,C,74,,43.0,12.2,22.3,.547,6.2,7.8,.793,3.8,11.3,15.1,2.3,1.2,3.3,3.4,30.6,MVP-2ASNBA2,mcadobo01
2,Pete Maravich,26,ATL,SG,76,,38.2,10.8,23.6,.457,6.2,7.5,.826,1.3,3.6,4.9,5.2,1.5,0.2,3.4,27.7,MVP-17AS,maravpe01
3,Kareem Abdul-Jabbar,26,MIL,C,81,,43.8,11.7,21.7,.539,3.6,5.2,.702,3.5,11.0,14.5,4.8,1.4,3.5,2.9,27.0,MVP-1ASNBA1,abdulka01
4,Lou Hudson,29,ATL,SF,65,,39.8,10.4,20.9,.500,4.5,5.4,.836,1.9,3.4,5.4,3.3,2.5,0.4,3.2,25.4,AS,hudsolo01
5,Charlie Scott,25,PHO,PG,52,,38.5,10.3,22.5,.459,4.7,6.1,.781,1.2,3.0,4.3,5.2,1.9,0.4,3.7,25.4,AS,scottch01
6,Gail Goodrich,30,LAL,SG,82,,37.3,9.6,21.6,.442,6.2,7.2,.864,1.2,1.9,3.0,5.2,1.5,0.1,2.8,25.3,ASNBA1,goodrga01
7,Rick Barry,29,GSW,SF,80,,36.5,10.0,21.8,.456,5.2,5.8,.899,1.3,5.5,6.8,6.1,2.1,0.5,3.3,25.1,MVP-7ASNBA1,barryri01
8,Rudy Tomjanovich,25,HOU,SF,80,,40.3,9.9,18.4,.536,4.8,5.7,.848,2.9,6.1,9.0,3.1,1.1,0.8,2.9,24.5,MVP-17AS,tomjaru01
9,Geoff Petrie,25,POR,PG,73,,38.4,10.1,21.1,.481,4.0,4.7,.853,0.9,2.0,2.8,4.3,1.2,0.2,2.7,24.3,AS,petrige01
10,Spencer Haywood,24,SEA,PF,75,,40.5,9.3,20.3,.457,5.0,6.1,.814,4.2,9.2,13.4,3.2,0.9,1.4,2.6,23.5,MVP-17ASNBA2,haywosp01
11,John Havlicek,33,BOS,SF,76,,40.7,9.0,19.8,.456,4.6,5.5,.832,1.8,4.6,6.4,5.9,1.3,0.4,2.6,22.6,MVP-9ASNBA1,havlijo01
12,Bob Lanier,25,DET,C,81,,37.6,9.2,18.3,.504,4.0,5.0,.797,3.3,9.9,13.3,4.2,1.4,3.0,3.4,22.5,MVP-3AS,laniebo01
13,Sidney Wicks,24,POR,PF,75,,38.0,9.1,19.9,.459,4.2,5.5,.762,2.6,6.5,9.1,4.3,1.2,0.8,2.9,22.5,AS,wickssi01
14,Austin Carr,25,CLE,SG,81,,38.3,9.2,20.8,.445,3.4,4.0,.856,1.7,1.9,3.6,3.8,1.1,0.2,2.3,21.9,AS,carrau01
15,Phil Chenier,23,CAP,SG,76,,38.7,9.2,21.1,.434,3.6,4.4,.820,1.5,3.6,5.1,3.1,2.0,0.9,1.8,21.9,MVP-11AS,cheniph01
16,Bob Love,31,CHI,PF,82,76,40.1,8.9,21.4,.417,3.9,4.8,.818,2.2,3.8,6.0,1.6,1.0,0.3,2.7,21.8,MVP-15,lovebo01
17,Fred Carter,28,PHI,SG,78,78,39.0,9.1,21.0,.430,3.3,4.6,.709,1.1,3.7,4.8,5.7,1.4,0.3,3.5,21.4,,cartefr01
18,Elvin Hayes,28,CAP,PF,81,,44.5,8.5,20.1,.423,4.4,6.1,.721,4.4,13.7,18.1,2.0,1.1,3.0,3.1,21.4,MVP-5ASNBA2,hayesel01
19,Walt Frazier,28,NYK,PG,80,80,41.7,8.4,17.9,.472,3.7,4.4,.838,1.5,5.2,6.7,6.9,2.0,0.2,2.7,20.5,MVP-6ASNBA1,fraziwa01
20,Cazzie Russell,29,GSW,SF,82,,31.4,9.0,18.7,.482,2.5,3.0,.835,1.7,2.6,4.3,2.3,0.7,0.2,2.4,20.5,,russeca01
21,Calvin Murphy,25,HOU,PG,81,,36.1,8.3,15.9,.522,3.8,4.4,.868,0.6,1.7,2.3,7.4,1.9,0.0,3.8,20.4,,murphca01
22,Jerry West,35,LAL,PG,31,,31.2,7.5,16.7,.447,5.3,6.4,.833,1.0,2.8,3.7,6.6,2.6,0.7,2.6,20.3,AS,westje01
23,Tom Van Arsdale,30,PHI,SF,78,78,39.0,7.9,18.4,.428,3.8,4.5,.851,1.1,3.9,5.0,2.6,0.8,0.0,3.8,19.6,,vanarto01
24,Chet Walker,33,CHI,SF,82,82,32.5,7.0,14.4,.486,5.4,6.1,.875,1.6,3.4,5.0,2.4,0.8,0.0,2.5,19.3,AS,walkech01
25,Jimmy Walker,29,2TM,SG,75,,39.4,7.8,16.5,.469,3.6,4.4,.820,0.5,2.2,2.7,4.1,1.1,0.1,2.3,19.2,,walkeji01
25,Jimmy Walker,29,HOU,SG,3,,12.7,2.3,4.0,.583,0.0,0.3,.000,0.0,0.7,0.7,1.3,0.0,0.0,1.3,4.7,,walkeji01
25,Jimmy Walker,29,KCO,SG,72,,40.6,8.0,17.1,.468,3.8,4.6,.822,0.5,2.3,2.8,4.2,1.1,0.1,2.3,19.8,,walkeji01
26,Dave Cowens,25,BOS,C,80,,41.9,8.1,18.4,.437,2.9,3.4,.832,3.3,12.4,15.7,4.4,1.2,1.3,3.7,19.0,MVP-4AS,cowenda01
27,Bob Dandridge,26,MIL,SF,71,,35.5,8.2,16.3,.503,2.5,3.0,.818,1.6,5.1,6.7,2.8,1.6,0.6,3.8,18.9,,dandrbo01
28,Dave Bing,30,DET,PG,81,,38.6,7.2,16.5,.436,4.4,5.4,.813,1.3,2.1,3.5,6.9,1.3,0.2,2.7,18.8,MVP-11ASNBA2,bingda01
29,Jim McMillian,25,BUF,SF,82,,40.5,7.3,14.8,.494,4.0,4.6,.858,2.6,4.8,7.4,3.1,1.6,0.3,2.3,18.6,,mcmilji01
30,Mike Newlin,25,HOU,SG,76,,34.1,6.7,15.0,.448,5.0,5.8,.856,1.0,2.4,3.4,4.8,1.1,0.1,3.4,18.4,,newlimi01
31,Dave DeBusschere,33,NYK,PF,71,71,38.0,7.9,17.1,.461,2.3,3.1,.756,1.9,8.8,10.7,3.6,0.9,0.5,3.1,18.1,MVP-11AS,debusda01
32,Dick Snyder,29,SEA,SG,74,,36.1,7.7,16.1,.481,2.6,3.0,.866,1.2,2.9,4.1,3.6,1.2,0.4,3.5,18.1,,snydedi01
33,Jo Jo White,27,BOS,PG,82,,39.5,7.9,17.6,.449,2.3,2.8,.837,1.2,3.1,4.3,5.5,1.3,0.3,2.3,18.1,AS,whitejo01
34,Dick Van Arsdale,30,PHO,SG,78,,36.3,6.6,13.2,.500,4.6,5.4,.853,0.8,2.0,2.8,4.2,1.2,0.2,3.1,17.8,,vanardi01
35,Lucius Allen,26,MIL,PG,72,,33.2,7.3,14.8,.495,3.0,3.8,.788,1.2,2.8,4.0,5.2,1.9,0.3,3.0,17.6,MVP-15,allenlu01
36,Tiny Archibald,25,KCO,PG,35,,36.3,6.3,14.1,.451,4.9,6.0,.820,0.6,1.8,2.4,7.6,1.6,0.2,2.2,17.6,,architi01
37,Neal Walk,25,PHO,C,82,,31.1,7.0,15.2,.460,2.9,3.6,.791,2.9,7.3,10.2,4.0,0.9,0.7,3.1,16.8,,walkne01
38,Fred Brown,25,SEA,SG,82,,30.5,7.0,15.0,.471,2.4,2.8,.863,1.4,3.5,4.9,5.0,1.7,0.2,3.4,16.5,,brownfr01
39,John Johnson,26,POR,SF,69,,33.1,6.7,14.3,.464,3.1,3.8,.812,2.3,5.1,7.5,4.1,1.0,0.4,3.2,16.4,,johnsjo01
40,Lenny Wilkens,36,CLE,PG,74,,33.6,6.2,13.4,.465,3.9,4.9,.801,1.1,2.7,3.7,7.1,1.3,0.2,2.2,16.4,,wilkele01
41,Jeff Mullins,31,GSW,SG,77,,32.4,7.0,14.9,.473,2.2,2.5,.875,1.1,2.5,3.6,4.0,0.9,0.3,2.8,16.2,,mullije01
42,Mike Riordan,28,CAP,SF,81,,39.9,7.1,15.1,.472,1.7,2.1,.782,1.5,3.2,4.7,3.3,1.3,0.2,2.9,15.9,,riordmi01
43,Randy Smith,25,BUF,SG,82,,33.5,6.5,13.2,.492,2.5,3.5,.712,1.1,2.8,3.8,4.7,2.5,0.0,3.2,15.5,,smithra01
44,Nate Williams,23,KCO,SF,82,,30.6,6.6,14.2,.462,2.4,2.9,.818,1.4,2.8,4.2,2.2,1.8,0.4,3.5,15.5,,willina01
45,Jim Price,24,LAL,PG,82,,32.0,6.6,14.6,.449,2.3,2.9,.799,1.5,3.1,4.6,4.5,1.9,0.4,2.8,15.4,,priceji01
46,Gar Heard,25,BUF,PF,81,,35.7,6.5,14.9,.435,2.4,3.6,.650,3.3,8.4,11.7,2.2,1.7,2.8,3.7,15.3,,heardga01
47,Ernie DiGregorio,23,BUF,PG,81,,35.9,6.5,15.6,.421,2.1,2.4,.902,0.6,2.1,2.7,8.2,0.7,0.1,3.0,15.2,ROY-1,digreer01
48,Steve Mix,26,PHI,PF,82,82,36.2,6.0,12.7,.475,2.8,3.5,.792,3.7,6.8,10.5,1.9,2.6,0.5,3.7,14.9,,mixst01
49,Bingo Smith,27,CLE,SF,82,,31.9,6.5,14.4,.455,1.7,2.1,.822,1.6,3.7,5.3,2.4,1.1,0.4,3.0,14.8,,smithbi02
50,Keith Erickson,29,PHO,SF,66,,30.8,6.0,12.5,.477,2.7,3.3,.801,1.4,4.8,6.3,3.1,1.0,0.3,2.9,14.6,,erickke01
