Rk,Team,BAL,BOS,CIN,DET,LAL,NYK,PHI,SFW,STL
1,Baltimore Bullets,,1-9,2-8,7-3,3-7,7-3,5-5,3-7,3-7
2,Boston Celtics,9-1,,5-7,7-1,6-3,10-2,10-2,5-3,7-2
3,Cincinnati Royals,8-2,7-5,,7-2,4-4,11-1,9-3,5-4,4-4
4,Detroit Pistons,3-7,1-7,2-7,,5-7,4-5,3-5,3-9,2-10
5,Los Angeles Lakers,7-3,3-6,4-4,7-5,,6-2,5-4,5-7,5-7
6,New York Knicks,3-7,2-10,1-11,5-4,2-6,,4-8,1-8,4-4
7,Philadelphia 76ers,5-5,2-10,3-9,5-3,4-5,8-4,,4-4,3-6
8,San Francisco Warriors,7-3,3-5,4-5,9-3,7-5,8-1,4-4,,6-6
9,St. Louis Hawks,7-3,2-7,4-4,10-2,7-5,4-4,6-3,6-6,
