Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,George Gervin,26,SAS,SF,80,,36.1,11.8,21.9,.541,5.9,7.1,.826,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6,MVP-2ASNBA1,gervige01
2,World B. Free,25,SDC,PG,78,,37.9,10.2,21.2,.481,8.4,11.1,.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8,MVP-6NBA2,freewo01
3,Marques Johnson,22,MIL,SF,77,,36.1,10.6,19.4,.550,4.3,5.7,.760,2.8,4.9,7.6,3.0,1.5,1.2,2.2,2.4,25.6,ASNBA1,johnsma01
4,Bob McAdoo,27,2TM,C,60,32,37.2,9.9,18.8,.529,4.9,7.5,.656,2.2,6.5,8.7,2.8,1.2,1.1,3.6,3.2,24.8,,mcadobo01
4,Bob McAdoo,27,NYK,PF,40,32,39.9,10.7,19.8,.541,5.5,8.4,.651,2.4,7.1,9.5,3.2,1.6,1.2,3.8,3.4,26.9,,mcadobo01
4,Bob McAdoo,27,BOS,C,20,,31.9,8.4,16.7,.500,3.9,5.8,.670,1.8,5.3,7.1,2.0,0.6,1.0,3.2,2.8,20.6,,mcadobo01
5,Moses Malone,23,HOU,C,82,82,41.3,8.7,16.2,.540,7.3,9.9,.739,7.2,10.5,17.6,1.8,1.0,1.5,4.0,2.7,24.8,MVP-1ASNBA1,malonmo01
6,David Thompson,24,DEN,SG,76,,35.1,9.1,17.8,.512,5.8,7.7,.753,1.4,2.2,3.6,3.0,0.9,1.1,2.4,2.4,24.0,MVP-8AS,thompda01
7,Paul Westphal,28,PHO,SG,81,,32.6,9.9,18.5,.535,4.2,5.0,.837,0.4,1.5,2.0,6.5,1.4,0.3,2.9,2.0,24.0,ASNBA1,westppa01
8,Kareem Abdul-Jabbar,31,LAL,C,80,,39.5,9.7,16.8,.577,4.4,5.9,.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,MVP-4ASNBA2,abdulka01
9,Artis Gilmore,29,CHI,C,82,82,39.8,9.2,16.0,.575,5.3,7.2,.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7,AS,gilmoar01
10,Walter Davis,24,PHO,SF,79,,30.8,9.7,17.2,.561,4.3,5.2,.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6,MVP-10ASNBA2,daviswa03
11,Bob Lanier,30,DET,C,53,,34.6,9.2,17.9,.515,5.2,6.9,.749,3.1,6.2,9.3,2.6,0.9,1.4,3.3,3.4,23.6,AS,laniebo01
12,Julius Erving,28,PHI,SF,78,76,35.9,9.2,18.7,.491,4.8,6.4,.745,2.5,4.7,7.2,4.6,1.7,1.3,4.0,2.7,23.1,AS,ervinju01
13,John Drew,24,ATL,SF,79,,30.5,8.2,17.4,.473,6.3,8.6,.731,2.8,3.8,6.6,1.5,1.6,0.2,2.7,4.2,22.7,,drewjo01
14,Pete Maravich,31,NOJ,SG,49,,37.2,8.9,21.1,.421,4.8,5.7,.841,0.7,1.8,2.5,5.0,1.2,0.4,4.1,2.1,22.6,AS,maravpe01
15,George McGinnis,28,DEN,PF,76,,33.6,7.9,16.8,.474,6.7,10.1,.665,3.4,8.0,11.4,3.7,1.7,0.7,4.6,4.2,22.6,AS,mcginge01
16,John Williamson,27,NJN,SG,74,,33.1,8.6,18.5,.465,5.0,5.9,.854,0.7,1.9,2.6,3.4,1.2,0.2,3.1,2.9,22.2,,willijo01
17,Larry Kenon,26,SAS,PF,81,,36.4,9.2,18.3,.504,3.6,4.3,.845,3.2,6.5,9.8,4.1,1.9,0.2,3.7,2.4,22.1,AS,kenonla01
18,Campy Russell,27,CLE,SF,74,,38.6,8.1,17.1,.476,5.6,7.1,.797,2.0,4.8,6.8,4.7,1.3,0.3,3.5,3.0,21.9,AS,russeca02
19,Elvin Hayes,33,WSB,PF,82,,37.9,8.8,18.0,.487,4.3,6.5,.654,3.8,8.3,12.1,1.7,0.9,2.3,2.9,3.8,21.8,MVP-3ASNBA1,hayesel01
