Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
20,Otis Birdsong,23,KCK,SG,82,82,34.6,9.0,17.8,.509,3.6,5.0,.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7,AS,birdsot01
21,Bernard King,22,NJN,SF,82,,34.9,8.7,16.6,.522,4.3,7.5,.564,3.1,5.1,8.2,3.6,1.4,0.5,3.9,4.0,21.6,,kingbe01
22,Truck Robinson,27,2TM,PF,69,,36.8,8.2,16.7,.491,4.7,6.7,.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3.0,21.1,,robintr01
22,Truck Robinson,27,NOJ,PF,43,,41.4,9.2,19.0,.485,5.7,7.9,.723,3.2,10.2,13.4,1.7,0.7,1.5,3.3,3.0,24.2,,robintr01
22,Truck Robinson,27,PHO,PF,26,,29.1,6.5,12.8,.508,3.0,4.7,.642,2.2,6.5,8.7,1.5,0.7,0.5,3.5,2.9,16.0,,robintr01
23,Spencer Haywood,29,2TM,PF,68,18,34.7,8.8,17.7,.494,3.4,4.3,.791,2.5,5.3,7.8,1.9,0.6,1.2,2.9,3.5,20.9,,haywosp01
23,Spencer Haywood,29,NYK,PF,34,18,30.1,7.3,15.0,.489,3.1,4.3,.733,1.9,4.1,6.1,1.6,0.3,0.9,2.6,3.2,17.8,,haywosp01
23,Spencer Haywood,29,NOJ,PF,34,,39.4,10.2,20.5,.497,3.6,4.3,.849,3.1,6.5,9.6,2.1,0.9,1.6,3.3,3.8,24.0,,haywosp01
24,Randy Smith,30,SDC,SG,82,82,37.9,8.5,18.6,.455,3.6,4.4,.813,1.2,2.4,3.6,4.8,2.2,0.1,3.1,2.2,20.5,,smithra01
25,Bob Dandridge,31,WSB,SF,78,,33.7,8.1,16.2,.499,4.2,5.1,.825,1.4,4.3,5.7,4.7,0.9,0.7,2.8,3.3,20.4,MVP-5ASNBA2,dandrbo01
26,Maurice Lucas,26,POR,PF,69,,35.7,8.2,17.5,.470,3.9,5.0,.783,2.8,7.6,10.4,3.1,1.0,1.2,3.4,3.7,20.4,AS,lucasma01
27,Calvin Murphy,30,HOU,PG,82,,35.9,8.6,17.4,.496,3.0,3.2,.928,1.0,1.2,2.1,4.3,1.4,0.1,2.3,3.5,20.2,AS,murphca01
28,Phil Smith,26,GSW,SG,59,,38.8,8.3,16.6,.501,3.3,4.3,.761,0.8,2.8,3.6,4.4,1.7,0.4,2.9,2.7,19.9,,smithph01
29,Brian Winters,26,MIL,SG,79,,32.6,8.4,17.0,.493,3.0,3.5,.856,0.6,1.6,2.2,4.8,1.1,0.5,3.3,3.1,19.8,,wintebr01
30,Doug Collins,27,PHI,SG,47,44,33.9,7.6,15.3,.499,4.3,5.3,.814,0.8,1.9,2.6,4.1,1.1,0.4,2.8,3.0,19.5,AS,collido01
31,Gus Williams,25,SEA,PG,76,,29.8,8.0,16.1,.495,3.2,4.2,.775,1.5,1.8,3.2,4.0,2.1,0.4,2.5,2.1,19.2,,willigu01
32,Cedric Maxwell,23,BOS,SF,80,,37.1,5.9,10.1,.584,7.2,9.0,.802,3.4,6.5,9.9,2.9,1.2,0.9,3.4,3.3,19.0,,maxwece01
33,Rudy Tomjanovich,30,HOU,PF,74,,35.7,8.4,16.2,.517,2.3,3.0,.760,2.3,5.4,7.7,1.9,0.6,0.2,1.9,2.5,19.0,AS,tomjaru01
34,M.L. Carr,28,DET,SF,80,,40.1,7.3,14.3,.514,4.0,5.4,.743,2.7,4.6,7.4,3.3,2.5,0.6,3.2,3.5,18.7,,carrml01
35,Jamaal Wilkes,25,LAL,SF,82,82,35.5,7.6,15.1,.504,3.3,4.4,.751,2.0,5.4,7.4,2.8,1.6,0.3,2.7,3.4,18.6,,wilkeja01
36,Tom Owens,29,POR,C,82,82,34.0,7.3,13.4,.548,3.9,4.9,.794,3.2,5.8,9.0,3.7,0.7,0.7,3.0,4.0,18.5,,owensto01
37,Johnny Davis,23,IND,PG,79,,37.6,7.2,15.7,.456,4.0,5.0,.793,0.9,1.5,2.4,5.7,1.2,0.3,2.7,2.2,18.3,,davisjo01
38,Scott Wedman,26,KCK,SF,73,,34.2,7.7,14.4,.534,3.0,3.7,.797,1.8,3.4,5.3,2.0,1.0,0.4,1.5,3.3,18.3,,wedmasc01
39,Alvan Adams,24,PHO,C,77,,30.7,7.4,13.9,.530,3.0,3.8,.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8,,adamsal01
40,Adrian Dantley,23,LAL,SF,60,,29.6,6.2,12.2,.510,4.9,5.7,.854,2.2,3.5,5.7,2.3,1.1,0.2,2.6,2.7,17.3,,dantlad01
41,Ricky Sobers,26,IND,SG,81,,34.9,6.8,14.7,.463,3.7,4.2,.882,1.5,2.3,3.7,5.6,1.7,0.3,3.8,3.9,17.3,,soberri01
42,Ray Williams,24,NYK,PG,81,53,29.3,7.1,15.5,.457,3.1,3.9,.802,1.3,2.3,3.6,6.2,1.6,0.2,3.5,3.4,17.3,,willira01
43,Robert Parish,25,GSW,C,76,,31.7,7.3,14.6,.499,2.6,3.7,.698,3.5,8.6,12.1,1.5,1.3,2.9,3.1,4.0,17.2,,parisro01
44,Norm Nixon,23,LAL,PG,82,82,38.4,7.6,14.0,.542,1.9,2.5,.775,0.6,2.2,2.8,9.0,2.5,0.2,2.8,3.0,17.1,,nixonno01
45,Austin Carr,30,CLE,SG,82,,33.1,6.7,14.2,.475,3.6,4.4,.816,1.9,1.6,3.5,2.6,0.9,0.2,2.1,2.6,17.0,,carrau01
46,Dan Issel,30,DEN,C,81,,33.9,6.6,12.7,.517,3.9,5.2,.754,3.0,6.1,9.1,3.1,0.8,0.6,2.1,2.9,17.0,,isselda01
47,Jim McElroy,25,NOJ,PG,79,,34.2,6.8,13.9,.491,3.3,4.3,.762,0.8,1.9,2.7,5.7,1.9,0.6,3.0,2.3,16.9,,mcelrji01
48,James Edwards,23,IND,C,82,82,31.0,6.5,13.0,.501,3.6,5.4,.676,2.2,6.3,8.5,1.1,0.7,1.3,2.0,4.4,16.7,,edwarja01
49,Dave Cowens,30,BOS,C,68,,37.0,7.2,14.9,.483,2.2,2.8,.807,2.2,7.4,9.6,3.6,1.1,0.8,2.6,3.9,16.6,,cowenda01
50,Toby Knight,23,NYK,SF,82,70,32.5,7.4,14.3,.519,1.8,2.5,.704,2.5,4.2,6.7,1.5,0.7,0.7,2.0,3.8,16.6,,knighto01
51,Reggie Theus,21,CHI,PG,82,80,33.6,6.5,13.6,.480,3.2,4.2,.761,1.1,1.7,2.8,5.2,1.1,0.2,3.7,3.3,16.3,ROY-2,theusre01
52,John Long,22,DET,SG,82,,30.5,7.1,15.1,.469,1.9,2.3,.826,1.5,1.7,3.2,1.5,1.2,0.2,1.7,2.7,16.1,,longjo01
53,John Lucas,25,GSW,PG,82,82,37.7,6.5,14.0,.462,3.2,3.9,.822,0.8,2.2,3.0,9.3,1.9,0.1,3.1,2.8,16.1,,lucasjo01
54,Alex English,25,IND,SF,81,,33.3,7.0,13.6,.511,2.1,2.8,.752,3.1,5.0,8.1,3.3,0.9,1.0,2.4,2.6,16.0,,englial01
55,Eddie Johnson,23,ATL,SG,78,,30.9,6.4,12.6,.510,3.1,3.7,.832,0.8,1.3,2.2,4.6,1.6,0.1,2.7,3.1,16.0,,johnsed02
56,James Silas,29,SAS,PG,79,,27.5,5.9,11.7,.505,4.2,5.1,.831,0.4,1.9,2.3,3.5,1.0,0.3,2.5,2.7,16.0,,silasja01
57,Phil Ford,22,KCK,PG,79,,34.5,5.9,12.7,.465,4.1,5.1,.813,0.4,1.9,2.3,8.6,2.2,0.1,4.1,3.1,15.9,MVP-8ROY-1NBA2,fordph01
58,Dennis Johnson,24,SEA,SG,80,,34.0,6.0,13.9,.434,3.8,4.9,.781,1.8,2.9,4.7,3.5,1.3,1.2,2.4,2.6,15.9,AS,johnsde01
59,Rich Kelley,25,NOJ,C,80,,33.8,5.5,10.9,.506,4.7,5.7,.814,3.8,9.0,12.8,3.6,1.6,2.1,3.6,3.9,15.7,,kelleri01
60,Jack Sikma,23,SEA,C,82,82,36.1,5.8,12.6,.460,4.0,4.9,.814,2.8,9.5,12.4,3.2,1.0,0.8,3.1,3.6,15.6,MVP-7AS,sikmaja01
61,Junior Bridgeman,25,MIL,SG,82,,23.9,6.6,13.0,.506,2.3,2.8,.829,1.4,2.2,3.6,2.0,1.1,0.5,1.7,2.2,15.5,,bridgju01
62,Kevin Grevey,25,WSB,SF,65,,28.6,6.4,14.2,.453,2.7,3.4,.772,1.4,2.2,3.6,2.4,0.7,0.2,1.8,2.4,15.5,,greveke01
63,Chris Ford,30,2TM,SG,81,,33.8,6.6,14.1,.471,2.1,2.8,.758,1.5,1.9,3.4,4.6,1.4,0.3,2.6,2.6,15.4,,fordch01
63,Chris Ford,30,DET,SG,3,,36.0,4.3,11.7,.371,2.3,2.7,.875,3.0,3.0,6.0,1.7,0.3,0.3,3.3,3.0,11.0,,fordch01
63,Chris Ford,30,BOS,SG,78,,33.7,6.7,14.2,.474,2.1,2.8,.753,1.5,1.8,3.3,4.7,1.5,0.3,2.6,2.6,15.6,,fordch01
64,Mickey Johnson,26,CHI,PF,82,74,31.6,6.0,13.5,.449,3.3,4.0,.830,2.4,5.3,7.6,4.6,1.1,0.7,3.8,3.5,15.4,,johnsmi01
65,Kevin Porter,28,DET,PG,82,82,37.4,6.5,13.5,.481,2.3,3.2,.722,0.8,1.8,2.5,13.4,1.9,0.1,4.1,3.7,15.4,,porteke01
66,Lionel Hollins,25,POR,PG,64,,30.7,6.3,13.8,.454,2.7,3.5,.778,0.5,1.8,2.3,5.1,1.8,0.4,3.5,3.1,15.3,,hollili01
67,Dan Roundfield,25,ATL,PF,80,,31.7,5.8,11.5,.504,3.8,5.3,.714,4.1,6.7,10.8,1.6,1.1,2.2,2.6,4.5,15.3,,roundda01
68,Sonny Parker,23,GSW,SF,79,,36.6,6.5,12.9,.502,2.2,2.8,.788,2.1,3.5,5.6,3.7,1.8,0.4,2.4,2.4,15.2,,parkeso01
69,Eric Money,23,2TM,PG,70,0,28.3,6.3,12.8,.497,2.4,3.4,.717,1.0,1.3,2.3,4.7,1.2,0.2,3.4,2.9,15.1,,moneyer01
69,Eric Money,23,NJN,PG,47,,30.5,6.9,14.4,.481,2.9,3.9,.743,1.2,1.5,2.7,5.3,1.6,0.2,3.5,2.8,16.7,,moneyer01
69,Eric Money,23,PHI,PG,23,0,23.7,5.2,9.4,.548,1.5,2.3,.630,0.7,1.0,1.6,3.6,0.6,0.1,3.0,3.0,11.8,,moneyer01
70,Mike Bantom,27,IND,PF,81,,31.2,6.0,12.8,.465,2.8,4.2,.672,2.8,5.2,8.0,2.8,1.2,0.8,2.4,3.9,14.7,,bantomi01
71,Mychal Thompson,24,POR,C,73,,29.4,6.3,12.8,.490,2.1,3.7,.572,2.7,5.6,8.3,2.4,0.9,1.8,2.8,3.7,14.7,,thompmy01
72,Mitch Kupchak,24,WSB,PF,66,,24.3,5.6,10.4,.539,3.4,4.5,.743,2.3,4.2,6.5,1.3,0.3,0.3,1.8,2.1,14.6,,kupchmi01
73,Billy Knight,26,2TM,SF,79,,26.5,5.6,10.6,.528,3.2,3.7,.841,1.2,3.2,4.4,1.9,0.8,0.1,2.8,2.0,14.3,,knighbi01
73,Billy Knight,26,BOS,SF,40,,28.0,5.5,10.9,.502,3.0,3.7,.808,1.0,3.3,4.3,1.7,0.8,0.1,3.2,2.2,13.9,,knighbi01
73,Billy Knight,26,IND,SF,39,,25.0,5.7,10.2,.556,3.4,3.8,.873,1.4,3.1,4.5,2.2,0.8,0.1,2.5,1.9,14.7,,knighbi01
74,Fred Brown,30,SEA,PG,77,,25.5,5.8,12.4,.469,2.4,2.7,.888,0.5,1.7,2.2,3.4,1.5,0.3,2.1,1.8,14.0,,brownfr01
75,Nick Weatherspoon,28,SDC,SF,82,,32.2,5.8,12.2,.480,2.1,2.9,.739,2.2,3.4,5.5,1.6,1.0,0.5,2.2,3.5,13.8,,weathni01
76,Rick Barry,34,HOU,SF,80,,32.1,5.8,12.5,.461,2.0,2.1,.947,0.5,3.0,3.5,6.3,1.2,0.5,2.5,2.4,13.5,,barryri01
77,Lonnie Shelton,23,SEA,PF,76,,28.4,5.9,11.3,.519,1.7,2.5,.693,2.4,3.8,6.2,1.4,1.0,1.0,2.5,3.5,13.5,,sheltlo01
78,Jim Chones,29,CLE,C,82,82,34.8,5.8,13.1,.440,1.9,2.6,.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4,,choneji01
79,Bill Robinzine,26,KCK,PF,82,,26.6,5.6,10.2,.548,2.2,3.0,.732,2.7,5.1,7.8,1.3,1.3,0.2,2.2,4.5,13.4,,robinbi01
80,Ron Brewer,23,POR,SG,81,,30.3,5.4,10.8,.494,2.6,3.2,.820,1.1,1.7,2.8,2.0,1.3,1.0,1.9,2.2,13.3,,brewero01
81,Darryl Dawkins,22,PHI,C,78,12,26.1,5.5,10.7,.517,2.0,3.0,.672,1.6,6.5,8.1,1.6,0.4,1.8,2.5,3.8,13.1,,dawkida01
82,Terry Tyler,22,DET,PF,82,,31.2,5.6,11.5,.482,1.8,2.7,.658,2.6,5.3,7.9,1.1,1.3,2.5,1.7,3.1,12.9,,tylerte01
83,Gail Goodrich,35,NOJ,SG,74,,28.8,5.2,11.5,.449,2.4,2.8,.853,0.9,1.6,2.5,4.8,1.2,0.2,2.5,2.4,12.7,,goodrga01
84,Wilbur Holland,27,CHI,SG,82,56,30.3,5.4,11.5,.473,1.7,2.1,.801,1.0,2.1,3.1,4.0,1.5,0.1,2.3,2.9,12.6,,hollawi01
85,Jo Jo White,32,2TM,PG,76,,30.8,5.3,12.0,.444,1.8,2.1,.880,0.6,2.1,2.6,4.6,1.1,0.1,2.8,2.3,12.5,,whitejo01
85,Jo Jo White,32,BOS,PG,47,,31.0,5.4,12.7,.428,1.7,1.9,.888,0.5,2.3,2.7,4.6,1.1,0.1,3.0,2.1,12.5,,whitejo01
85,Jo Jo White,32,GSW,PG,29,,30.4,5.1,10.8,.475,2.1,2.4,.870,0.7,1.8,2.5,4.6,0.9,0.1,2.4,2.5,12.3,,whitejo01
86,Eddie Jordan,24,NJN,PG,82,,27.6,4.9,11.7,.418,2.6,3.3,.777,0.9,1.7,2.6,4.5,2.5,0.5,3.0,2.5,12.4,,jordaed01
87,Kent Benson,24,MIL,C,82,,26.0,5.0,9.7,.518,2.2,3.0,.735,2.3,4.8,7.1,2.5,1.1,1.0,1.9,3.4,12.3,,bensoke01
88,Earl Monroe,34,NYK,SG,64,24,21.8,5.1,10.9,.471,2.0,2.4,.838,0.4,0.8,1.2,3.0,0.8,0.1,1.5,1.9,12.3,,monroea01
89,Henry Bibby,29,PHI,PG,82,38,31.0,4.5,10.6,.423,3.2,4.1,.794,0.9,2.1,3.0,4.5,0.9,0.1,2.4,2.4,12.2,,bibbyhe01
90,Bobby Jones,27,PHI,PF,80,78,28.8,4.7,8.8,.537,2.6,3.5,.755,2.5,4.2,6.6,2.5,1.3,1.2,2.1,3.1,12.1,,jonesbo01
91,Terry Furlow,24,2TM,SG,78,,21.6,5.0,10.3,.483,2.1,2.5,.836,1.0,1.2,2.1,2.4,0.7,0.4,1.7,1.6,12.0,,furlote01
91,Terry Furlow,24,CLE,SG,49,,22.7,5.6,11.6,.483,2.1,2.6,.824,0.9,1.1,2.0,2.1,0.8,0.3,1.8,1.6,13.3,,furlote01
91,Terry Furlow,24,ATL,SG,29,,19.9,3.9,8.1,.481,2.1,2.4,.857,1.1,1.3,2.4,2.8,0.6,0.4,1.6,1.4,9.9,,furlote01
92,Charlie Scott,30,DEN,PG,79,,33.1,5.0,10.8,.460,2.0,2.7,.749,0.7,2.0,2.7,5.4,1.0,0.4,3.2,3.6,12.0,,scottch01
93,Billy Paultz,30,SAS,C,79,,26.9,5.1,9.6,.526,1.4,2.5,.588,2.1,5.8,7.9,2.3,0.4,1.6,2.0,2.6,11.5,,paultbi01
94,Leon Douglas,24,DET,C,78,,28.4,4.4,8.9,.490,2.7,4.2,.634,3.2,5.3,8.5,0.9,0.5,0.7,2.4,4.1,11.4,,douglle01
95,Bob Wilkerson,24,DEN,SF,80,,30.3,5.0,10.9,.456,1.5,2.2,.688,1.3,3.9,5.2,3.6,1.5,0.3,2.5,2.4,11.4,,wilkebo01
96,Kermit Washington,27,SDC,PF,82,,33.7,4.3,7.6,.562,2.8,4.0,.688,3.6,6.1,9.8,1.5,1.0,1.5,2.3,3.9,11.3,,washike01
97,Marvin Webster,26,NYK,C,60,55,33.8,4.4,9.3,.473,2.5,4.4,.573,3.3,7.6,10.9,2.9,0.4,1.9,2.8,3.1,11.3,,webstma01
98,Bingo Smith,32,CLE,SG,72,,22.9,5.0,10.9,.460,1.2,1.5,.783,1.1,1.8,2.9,1.7,0.6,0.1,1.0,2.6,11.2,,smithbi02
99,Tiny Archibald,30,BOS,PG,69,,24.1,3.8,8.3,.452,3.5,4.4,.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11.0,,architi01
100,John Johnson,31,SEA,SF,82,82,29.1,4.3,10.0,.434,2.3,3.0,.760,1.5,3.5,5.0,4.4,0.7,0.3,3.1,3.0,11.0,,johnsjo01
101,Tom LaGarde,23,SEA,C,23,,25.0,4.3,7.9,.541,2.5,4.1,.600,2.7,5.6,8.3,1.4,0.3,0.8,2.0,3.3,11.0,,lagarto01
102,John Mengelt,29,CHI,SG,75,20,22.7,4.5,9.2,.491,2.0,2.4,.824,0.3,1.2,1.6,2.5,0.6,0.1,1.6,2.0,11.0,,mengejo01
103,Robert Reid,23,HOU,SF,82,,27.5,4.7,9.5,.492,1.6,2.3,.704,1.6,4.3,5.9,2.8,0.9,0.6,1.6,3.7,10.9,,reidro01
104,Wes Unseld,32,WSB,C,77,,31.2,4.5,7.8,.577,2.0,3.1,.643,3.6,7.2,10.8,4.1,0.9,0.5,2.0,2.6,10.9,,unselwe01
105,Walt Frazier,33,CLE,PG,12,,23.3,4.5,10.2,.443,1.8,2.3,.778,0.6,1.1,1.7,2.7,1.1,0.2,1.8,1.8,10.8,,fraziwa01
106,Tom Henderson,27,WSB,PG,70,,29.7,4.3,9.2,.466,2.2,2.8,.800,0.7,1.6,2.3,6.0,1.2,0.1,2.1,1.8,10.8,,hendeto01
107,Mike Mitchell,23,CLE,SF,80,,19.7,4.5,8.8,.513,1.6,2.2,.736,1.6,2.5,4.1,0.8,0.6,0.4,1.3,2.7,10.7,,mitchmi01
108,Swen Nater,29,SDC,C,79,,25.4,4.5,7.9,.569,1.7,2.1,.800,2.8,6.1,8.9,1.8,0.5,0.4,2.2,3.1,10.7,,natersw01
109,Tom Boswell,25,DEN,PF,79,,27.9,4.1,7.6,.532,2.5,3.6,.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6,,bosweto01
110,Sam Lacey,30,KCK,C,82,,32.0,4.3,8.5,.502,2.0,2.8,.739,2.2,6.4,8.6,5.2,1.3,1.7,3.0,3.8,10.6,,laceysa01
111,Purvis Short,21,GSW,PF,75,,22.7,4.9,10.3,.479,0.8,1.1,.671,1.7,2.9,4.6,1.3,0.7,0.2,1.5,3.1,10.6,,shortpu01
112,Steve Hawes,28,ATL,PF,81,,27.2,4.6,9.3,.492,1.3,1.6,.818,2.3,5.0,7.3,2.3,1.0,0.6,1.8,3.3,10.5,,hawesst01
113,Rick Robey,23,2TM,C,79,,22.3,4.1,8.5,.478,2.2,2.8,.777,2.1,4.4,6.5,1.7,0.6,0.2,2.1,2.9,10.4,,robeyri01
113,Rick Robey,23,IND,C,43,,19.7,3.3,6.9,.475,2.1,2.8,.744,1.9,4.0,5.9,1.2,0.6,0.3,2.1,2.6,8.6,,robeyri01
113,Rick Robey,23,BOS,C,36,,25.4,5.1,10.5,.481,2.3,2.9,.816,2.4,4.8,7.2,2.2,0.6,0.1,2.1,3.4,12.4,,robeyri01
114,Dave Twardzik,28,POR,PG,64,,24.5,3.2,6.0,.533,4.1,4.7,.873,0.6,1.3,1.9,2.8,1.3,0.1,2.0,2.9,10.4,,twardda01
115,Freeman Williams,22,SDC,SG,72,,16.6,4.7,9.5,.490,1.1,1.4,.776,0.7,0.7,1.4,1.2,0.6,0.0,1.4,1.2,10.4,,willifr01
116,Ernie Grunfeld,23,MIL,SF,82,,21.7,4.0,8.1,.493,2.3,3.1,.761,1.5,2.9,4.4,2.6,0.7,0.2,1.7,2.7,10.3,,grunfer01
117,Armond Hill,25,ATL,PG,82,82,30.8,3.6,8.3,.434,3.0,3.5,.854,0.5,1.5,2.0,5.9,1.2,0.2,2.5,3.6,10.2,,hillar01
118,Mike Newlin,30,HOU,SG,76,,24.1,3.7,7.6,.487,2.8,3.2,.872,0.7,1.6,2.2,3.8,0.7,0.1,2.3,2.9,10.2,,newlimi01
119,Foots Walker,27,CLE,PG,55,,31.9,3.8,8.1,.464,2.5,3.2,.783,1.1,2.5,3.6,5.8,2.4,0.3,2.3,2.8,10.1,,walkefo01
120,Aaron James,26,NOJ,SF,73,,19.4,4.3,8.6,.494,1.4,1.9,.750,1.3,2.1,3.4,1.1,0.4,0.3,1.5,2.8,10.0,,jamesaa01
121,Lou Hudson,34,LAL,SG,78,,21.6,4.2,8.2,.517,1.4,1.6,.887,0.8,1.0,1.8,1.8,0.7,0.2,1.3,1.7,9.8,,hudsolo01
122,Sidney Wicks,29,SDC,PF,79,,25.6,3.9,8.6,.462,1.9,2.9,.650,2.0,3.1,5.1,1.6,0.9,0.5,2.3,3.5,9.8,,wickssi01
123,Bob Gross,25,POR,SF,53,,27.2,3.9,8.4,.472,1.8,2.2,.807,2.0,2.7,4.7,3.5,1.3,0.9,2.3,3.0,9.7,,grossbo01
124,Jim Cleamons,29,NYK,PG,79,71,30.3,3.9,8.3,.473,1.6,2.2,.760,0.8,2.0,2.8,4.8,0.9,0.1,1.8,1.9,9.5,,cleamji01
125,Mark Olberding,22,SAS,PF,80,,23.6,3.3,6.9,.474,2.9,3.6,.803,1.2,4.2,5.4,2.6,0.7,0.2,2.0,3.5,9.4,,olberma01
126,Winford Boynes,21,NJN,SG,69,,17.0,3.7,8.6,.430,1.9,2.4,.787,0.9,1.4,2.2,1.1,0.6,0.1,1.7,1.7,9.3,,boynewi01
127,Caldwell Jones,28,PHI,C,78,75,27.8,3.9,8.2,.474,1.6,2.1,.747,2.3,7.3,9.6,1.9,0.5,2.0,2.0,3.9,9.3,,jonesca01
128,Steve Mix,31,PHI,SF,74,1,17.1,3.6,6.7,.538,2.2,2.7,.801,1.5,2.5,4.0,1.6,0.8,0.2,1.4,1.5,9.3,,mixst01
129,Larry Wright,24,WSB,PG,73,,22.7,3.8,8.1,.469,1.7,2.3,.744,0.7,1.3,1.9,4.1,0.9,0.2,1.6,2.3,9.3,,wrighla01
130,Butch Lee,22,2TM,PG,82,,21.7,3.5,7.7,.457,2.1,2.8,.761,0.4,1.1,1.5,3.6,1.0,0.0,1.9,1.8,9.2,,leebu01
130,Butch Lee,22,ATL,PG,49,,20.3,2.9,6.4,.460,1.8,2.4,.752,0.2,1.0,1.2,3.4,1.1,0.0,2.0,1.8,7.7,,leebu01
130,Butch Lee,22,CLE,PG,33,,23.7,4.4,9.7,.455,2.6,3.4,.770,0.7,1.4,2.0,3.8,0.9,0.0,1.8,1.8,11.5,,leebu01
