Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Oscar Robertson,29,CIN,PG,65,,42.5,10.2,20.3,.500,8.9,10.2,.873,6.0,9.7,3.1,29.2,MVP-5ASNBA1,roberos01
2,Dave Bing,24,DET,PG,79,,40.6,10.6,24.0,.441,6.0,8.5,.707,4.7,6.4,3.2,27.1,MVP-4ASNBA1,bingda01
3,Jerry West,29,LAL,SG,51,,37.6,9.3,18.2,.514,7.7,9.5,.811,5.8,6.1,3.0,26.3,ASNBA2,westje01
4,Elgin Baylor,33,LAL,SF,77,,39.3,9.8,22.2,.443,6.3,8.1,.786,12.2,4.6,3.0,26.0,MVP-3ASNBA1,bayloel01
5,Wilt Chamberlain,31,PHI,C,82,,46.8,10.0,16.8,.595,4.3,11.4,.380,23.8,8.6,2.0,24.3,MVP-1ASNBA1,chambwi01
6,Earl Monroe,23,BAL,SG,82,,36.7,9.0,20.0,.453,6.2,7.9,.781,5.7,4.3,3.4,24.3,ROY-1,monroea01
7,Hal Greer,31,PHI,SG,82,,39.8,9.5,19.8,.478,5.1,6.7,.769,5.4,4.5,3.5,24.1,ASNBA2,greerha01
8,Walt Hazzard,25,SEA,PG,79,,33.7,9.3,21.0,.441,5.4,7.0,.774,4.2,6.2,3.1,24.0,AS,abdulma01
9,Rudy LaRusso,30,SFW,PF,79,,35.7,7.6,17.6,.433,6.6,8.4,.790,9.4,2.3,4.3,21.8,AS,larusru01
10,Bob Boozer,30,CHI,PF,77,,38.8,8.1,16.4,.492,5.3,6.9,.768,9.8,1.6,3.0,21.5,AS,boozebo01
11,Jerry Lucas,27,CIN,PF,82,,44.1,8.6,16.6,.519,4.2,5.4,.778,19.0,3.1,3.0,21.5,ASNBA1,lucasje01
12,Sam Jones,34,BOS,SG,73,,33.0,8.5,18.5,.461,4.3,5.2,.827,4.9,3.0,2.5,21.3,AS,jonessa01
13,Zelmo Beaty,28,STL,C,82,,37.4,7.8,16.0,.488,5.5,7.0,.794,11.7,2.1,3.6,21.1,AS,beatyze01
14,Willis Reed,25,NYK,PF,81,81,35.5,8.1,16.6,.490,4.5,6.3,.721,13.2,2.0,4.2,20.8,ASNBA2,reedwi01
15,John Havlicek,27,BOS,SG,82,,35.6,8.1,18.9,.429,4.5,5.5,.812,6.7,4.7,2.9,20.7,ASNBA2,havlijo01
16,Nate Thurmond,26,SFW,C,51,,43.6,7.5,18.2,.411,5.5,8.6,.644,22.0,4.2,2.7,20.5,AS,thurmna01
17,John Block,23,SDR,C,52,,34.7,7.0,16.6,.423,6.1,7.6,.802,11.0,1.4,3.6,20.2,,blockjo01
18,Lenny Wilkens,30,STL,PG,82,,38.6,6.7,15.2,.438,6.7,8.7,.768,5.3,8.3,3.1,20.0,MVP-2AS,wilkele01
19,Archie Clark,26,LAL,PG,81,,37.5,7.8,16.2,.480,4.4,5.9,.740,4.2,4.4,2.9,19.9,AS,clarkar01
20,Bailey Howell,31,BOS,PF,82,,34.2,7.8,16.3,.481,4.1,5.6,.727,9.8,1.6,3.5,19.8,,howelba01
21,Don Kojis,29,SDR,SF,69,,36.9,7.7,17.2,.446,4.3,6.0,.726,10.3,2.6,3.8,19.7,AS,kojisdo01
22,Gus Johnson,29,BAL,SF,60,,37.9,8.0,17.2,.467,3.0,4.5,.667,13.0,2.7,3.7,19.1,AS,johnsgu01
23,Fred Hetzel,25,SFW,SF,77,,31.1,6.9,16.7,.414,5.1,6.2,.833,7.1,1.7,3.4,19.0,,hetzefr01
24,Billy Cunningham,24,PHI,SF,74,,28.1,7.0,15.9,.438,5.0,6.9,.723,7.6,2.5,3.5,18.9,,cunnibi01
