Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1,Atlanta Hawks,,3-1,2-2,0-5,0-5,2-0,2-0,1-4,1-1,2-0,1-4,1-1,0-2,2-2,3-1,2-0,3-1,2-2,2-2,2-2,2-0,0-2,1-1,0-2,1-1,1-1,2-2
2,Boston Celtics,1-3,,3-1,1-3,3-1,1-1,1-1,4-0,1-1,1-1,2-2,2-0,2-0,3-2,2-2,0-2,2-3,3-2,5-0,3-1,1-1,1-1,2-0,1-1,2-0,1-1,3-1
3,Charlotte Hornets,2-2,1-3,,0-4,2-3,1-1,1-1,1-4,1-1,0-2,3-2,0-2,1-1,1-3,2-3,1-1,1-3,0-4,3-1,3-1,1-1,0-2,1-1,2-0,1-1,0-2,2-2
4,Chicago Bulls,5-0,3-1,4-0,,3-2,2-0,2-0,4-1,1-1,1-1,3-1,2-0,1-1,4-0,3-2,2-0,4-0,4-0,3-1,3-1,1-1,2-0,2-0,1-1,2-0,1-1,4-0
5,Cleveland Cavaliers,5-0,1-3,3-2,2-3,,1-1,1-1,3-1,1-1,1-1,5-0,1-1,2-0,3-1,3-1,2-0,2-2,4-0,3-1,4-0,1-1,0-2,2-0,1-1,1-1,1-1,4-0
6,Dallas Mavericks,0-2,1-1,1-1,0-2,1-1,,3-2,0-2,0-4,4-2,1-1,1-3,0-4,1-1,1-1,3-2,0-2,0-2,1-1,0-2,2-2,0-4,1-3,0-5,0-4,1-4,0-2
7,Denver Nuggets,0-2,1-1,1-1,0-2,1-1,2-3,,0-2,0-4,2-3,0-2,0-4,1-3,0-2,1-1,2-3,1-1,0-2,2-0,2-0,1-3,1-3,2-2,1-4,1-3,1-5,1-1
8,Detroit Pistons,4-1,0-4,4-1,1-4,1-3,2-0,2-0,,1-1,2-0,2-2,0-2,2-0,2-2,3-2,1-1,2-2,2-2,4-0,3-1,0-2,2-0,2-0,1-1,1-1,1-1,3-1
9,Golden State Warriors,1-1,1-1,1-1,1-1,1-1,4-0,4-0,1-1,,2-2,2-0,3-2,3-2,1-1,2-0,4-0,2-0,1-1,2-0,1-1,3-2,2-3,5-0,2-2,3-2,1-3,2-0
10,Houston Rockets,0-2,1-1,2-0,1-1,1-1,2-4,3-2,0-2,2-2,,1-1,2-2,2-2,2-0,1-1,3-2,1-1,1-1,2-0,1-1,1-3,3-1,3-1,3-2,1-3,1-4,2-0
11,Indiana Pacers,4-1,2-2,2-3,1-3,0-5,1-1,2-0,2-2,0-2,1-1,,0-2,2-0,3-1,4-1,2-0,2-2,1-3,2-2,2-2,1-1,0-2,1-1,2-0,0-2,1-1,2-2
12,Los Angeles Clippers,1-1,0-2,2-0,0-2,1-1,3-1,4-0,2-0,2-3,2-2,2-0,,2-3,2-0,2-0,4-0,1-1,0-2,2-0,1-1,3-2,2-3,2-3,2-2,2-3,1-3,0-2
13,Los Angeles Lakers,2-0,0-2,1-1,1-1,0-2,4-0,3-1,0-2,2-3,2-2,0-2,3-2,,2-0,1-1,3-1,2-0,2-0,2-0,2-0,2-3,1-4,4-1,1-3,1-4,1-3,1-1
14,Miami Heat,2-2,2-3,3-1,0-4,1-3,1-1,2-0,2-2,1-1,0-2,1-3,0-2,0-2,,4-0,2-0,2-2,1-4,3-1,1-4,0-2,0-2,2-0,1-1,1-1,1-1,5-0
15,Milwaukee Bucks,1-3,2-2,3-2,2-3,1-3,1-1,1-1,2-3,0-2,1-1,1-4,0-2,1-1,0-4,,2-0,0-4,1-3,3-1,3-1,0-2,0-2,0-2,1-1,1-1,1-1,3-1
16,Minnesota Timberwolves,0-2,2-0,1-1,0-2,0-2,2-3,3-2,1-1,0-4,2-3,0-2,0-4,1-3,0-2,0-2,,0-2,0-2,0-2,0-2,0-4,0-4,1-3,0-6,0-4,2-3,0-2
17,New Jersey Nets,1-3,3-2,3-1,0-4,2-2,2-0,1-1,2-2,0-2,1-1,2-2,1-1,0-2,2-2,4-0,2-0,,2-3,3-1,3-2,1-1,1-1,1-1,1-1,0-2,0-2,2-3
