Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1,Atlanta Hawks,,2-2,3-2,2-2,0-5,1-1,2-0,2-3,2-0,1-1,2-2,1-1,1-1,3-1,3-2,2-0,1-3,2-2,1-3,3-1,0-2,1-1,1-1,2-0,1-1,2-0,2-2
2,Boston Celtics,2-2,,3-1,1-3,3-1,2-0,2-0,1-3,2-0,1-1,2-2,1-1,1-1,3-1,2-2,2-0,4-0,1-4,3-2,4-1,0-2,2-0,1-1,1-1,0-2,0-2,4-1
3,Charlotte Hornets,2-3,1-3,,2-3,1-3,2-0,1-1,4-1,2-0,0-2,0-5,1-1,1-1,2-2,3-1,2-0,2-2,1-3,3-1,4-0,0-2,1-1,2-0,1-1,1-1,1-1,4-0
4,Chicago Bulls,2-2,3-1,3-2,,2-3,2-0,1-1,3-1,2-0,0-2,5-0,2-0,0-2,3-1,4-1,2-0,4-0,1-3,3-1,2-2,1-1,2-0,2-0,0-2,2-0,2-0,4-0
5,Cleveland Cavaliers,5-0,1-3,3-1,3-2,,2-0,1-1,3-2,2-0,1-1,4-0,1-1,2-0,2-2,4-1,2-0,2-2,1-3,2-2,4-0,2-0,0-2,1-1,1-1,1-1,1-1,3-1
6,Dallas Mavericks,1-1,0-2,0-2,0-2,0-2,,1-5,1-1,0-4,1-4,1-1,0-4,1-3,0-2,0-2,1-4,0-2,0-2,1-1,1-1,0-4,0-4,0-4,0-5,1-3,0-5,1-1
7,Denver Nuggets,0-2,0-2,1-1,1-1,1-1,5-1,,1-1,3-1,2-3,1-1,2-2,1-3,0-2,1-1,3-2,1-1,1-1,0-2,1-1,1-3,1-3,3-1,1-4,1-3,2-3,2-0
8,Detroit Pistons,3-2,3-1,1-4,1-3,2-3,1-1,1-1,,0-2,1-1,3-2,1-1,1-1,1-3,2-2,1-1,3-1,2-2,3-1,3-1,0-2,1-1,2-0,0-2,0-2,0-2,4-0
9,Golden State Warriors,0-2,0-2,0-2,0-2,0-2,4-0,1-3,2-0,,2-2,0-2,2-3,1-4,2-0,1-1,3-1,1-1,0-2,1-1,1-1,1-4,0-5,4-1,3-1,1-4,3-1,1-1
10,Houston Rockets,1-1,1-1,2-0,2-0,1-1,4-1,3-2,1-1,2-2,,2-0,4-0,3-1,2-0,1-1,4-2,1-1,1-1,1-1,2-0,2-2,1-3,4-0,4-1,1-3,4-1,1-1
11,Indiana Pacers,2-2,2-2,5-0,0-5,0-4,1-1,1-1,2-3,2-0,0-2,,1-1,1-1,2-2,2-3,1-1,3-1,1-3,2-2,3-1,1-1,1-1,2-0,1-1,2-0,0-2,3-1
12,Los Angeles Clippers,1-1,1-1,1-1,0-2,1-1,4-0,2-2,1-1,3-2,0-4,1-1,,3-2,0-2,2-0,4-0,0-2,2-0,1-1,1-1,3-2,2-3,3-2,0-4,1-4,2-2,2-0
13,Los Angeles Lakers,1-1,1-1,1-1,2-0,0-2,3-1,3-1,1-1,4-1,1-3,1-1,2-3,,0-2,1-1,3-1,0-2,0-2,1-1,2-0,0-5,3-2,3-2,2-2,1-4,1-3,2-0
14,Miami Heat,1-3,1-3,2-2,1-3,2-2,2-0,2-0,3-1,0-2,0-2,2-2,2-0,2-0,,2-2,2-0,2-3,0-5,3-2,1-3,0-2,1-1,1-1,1-1,1-1,0-2,2-3
15,Milwaukee Bucks,2-3,2-2,1-3,1-4,1-4,2-0,1-1,2-2,1-1,1-1,3-2,0-2,1-1,2-2,,1-1,0-4,1-3,2-2,2-2,0-2,0-2,1-1,0-2,0-2,0-2,1-3
16,Minnesota Timberwolves,0-2,0-2,0-2,0-2,0-2,4-1,2-3,1-1,1-3,2-4,1-1,0-4,1-3,0-2,1-1,,1-1,0-2,0-2,0-2,0-4,1-3,1-3,1-4,0-4,1-4,1-1
17,New Jersey Nets,3-1,0-4,2-2,0-4,2-2,2-0,1-1,1-3,1-1,1-1,1-3,2-0,2-0,3-2,4-0,1-1,,1-3,3-2,3-2,1-1,0-2,2-0,1-1,1-1,1-1,4-1
18,New York Knicks,2-2,4-1,3-1,3-1,3-1,2-0,1-1,2-2,2-0,1-1,3-1,0-2,2-0,5-0,3-1,2-0,3-1,,2-2,5-0,1-1,1-1,2-0,2-0,1-1,1-1,4-1
19,Orlando Magic,3-1,2-3,1-3,1-3,2-2,1-1,2-0,1-3,1-1,1-1,2-2,1-1,1-1,2-3,2-2,2-0,2-3,2-2,,3-2,0-2,2-0,2-0,0-2,0-2,1-1,4-0
20,Philadelphia 76ers,1-3,1-4,0-4,2-2,0-4,1-1,1-1,1-3,1-1,0-2,1-3,1-1,0-2,3-1,2-2,2-0,2-3,0-5,2-3,,0-2,0-2,1-1,0-2,1-1,0-2,3-1
21,Phoenix Suns,2-0,2-0,2-0,1-1,0-2,4-0,3-1,2-0,4-1,2-2,1-1,2-3,5-0,2-0,2-0,4-0,1-1,1-1,2-0,2-0,,3-2,5-0,3-1,2-3,3-1,2-0
22,Portland Trail Blazers,1-1,0-2,1-1,0-2,2-0,4-0,3-1,1-1,5-0,3-1,1-1,3-2,2-3,1-1,2-0,3-1,2-0,1-1,0-2,2-0,2-3,,5-0,2-2,2-3,2-2,1-1
23,Sacramento Kings,1-1,1-1,0-2,0-2,1-1,4-0,1-3,0-2,1-4,0-4,0-2,2-3,2-3,1-1,1-1,3-1,0-2,0-2,0-2,1-1,0-5,0-5,,2-2,1-4,2-2,1-1
24,San Antonio Spurs,0-2,1-1,1-1,2-0,1-1,5-0,4-1,2-0,1-3,1-4,1-1,4-0,2-2,1-1,2-0,4-1,1-1,0-2,2-0,2-0,1-3,2-2,2-2,,3-1,3-3,1-1
25,Seattle SuperSonics,1-1,2-0,1-1,0-2,1-1,3-1,3-1,2-0,4-1,3-1,0-2,4-1,4-1,1-1,2-0,4-0,1-1,1-1,2-0,1-1,3-2,3-2,4-1,1-3,,2-2,2-0
26,Utah Jazz,0-2,2-0,1-1,0-2,1-1,5-0,3-2,2-0,1-3,1-4,2-0,2-2,3-1,2-0,2-0,4-1,1-1,1-1,1-1,2-0,1-3,2-2,2-2,3-3,2-2,,1-1
27,Washington Bullets,2-2,1-4,0-4,0-4,1-3,1-1,0-2,0-4,1-1,1-1,1-3,0-2,0-2,3-2,3-1,1-1,1-4,1-4,0-4,1-3,0-2,1-1,1-1,1-1,0-2,1-1,
